timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight, laserFront, laserBack, laserUp, laserLeft, laserRight
8748, -3.295633723610081e-05, -0.00018259513308294117, 0.0061728558503091335, -0.0018144594505429268, 0.0012249111896380782, 0.0018464045133441687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8758, -5.145794420968741e-05, -0.00017056355136446655, 0.006191266234964132, -0.0018858578987419605, 0.001181403174996376, 0.0018360858084633946, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 6.0, 116.0, 77.0, 32766.0, 783.0, 32766.0
8768, -7.053131412249058e-05, -0.00015956263814587146, 0.006209291983395815, -0.001928813522681594, 0.0010187776060774922, 0.0017694761045277119, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 6.0, 114.0, 77.0, 32766.0, 783.0, 32766.0
8778, -8.986677130451426e-05, -0.00015033224190119654, 0.006227397825568914, -0.0019382791360840201, 0.0008272983250208199, 0.0018520648591220379, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 6.0, 114.0, 76.0, 32766.0, 783.0, 32766.0
8788, -0.00010952186130452901, -0.00014204044418875128, 0.006246269214898348, -0.0019927334506064653, 0.0008310592966154218, 0.0019226415315642953, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 6.0, 114.0, 76.0, 32766.0, 779.0, 32766.0
8798, -0.0001306021586060524, -0.000133489171275869, 0.006601402070373297, -0.0021119401790201664, 0.0008369756396859884, 0.003803553292527795, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 6.0, 114.0, 76.0, 32766.0, 779.0, 268.0
8808, -0.0001512884336989373, -0.00012574699940159917, 0.00664032157510519, -0.0020253045950084925, 0.0007114539621397853, 0.00398071575909853, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 7.0, 114.0, 76.0, 32766.0, 779.0, 268.0
8818, -0.00017157943511847407, -0.00011831266601802781, 0.006680647376924753, -0.0020328855607658625, 0.0007754089310765266, 0.004084797576069832, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 7.0, 114.0, 76.0, 32766.0, 779.0, 268.0
8828, -0.00019244478608015925, -0.00011014671326847747, 0.006721659563481808, -0.0021401764824986458, 0.0008577802800573409, 0.00411808118224144, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 7.0, 114.0, 76.0, 32766.0, 779.0, 268.0
8838, -8.886298019206151e-05, -0.0014694267883896828, 0.006763818208128214, -0.0019963777158409357, -0.0030954985413700342, 0.004211117513477802, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 7.0, 114.0, 76.0, 32766.0, 779.0, 268.0
