timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
507398, 1.399351954460144, -2.3860092163085938, -13.72607135772705, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
507408, 1.6583671569824219, -2.447662830352783, -13.190430641174316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
507418, 1.8763412237167358, -2.501997470855713, -12.929728507995605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03681245446205139, -0.40743550658226013, 0.01618480309844017, 0.058667924255132675, -0.048996493220329285, 0.005617640912532806
507428, 1.8423341512680054, -2.498274087905884, -12.918194770812988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.036543119698762894, -0.40797773003578186, 0.0163145512342453, 0.05850484222173691, -0.054764922708272934, 0.0065233465284109116
507438, 2.080158233642578, -2.575819253921509, -12.657180786132812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03611287102103233, -0.40831613540649414, 0.016482708975672722, 0.061988715082407, -0.052482347935438156, 0.007757819723337889
507448, 2.0758888721466064, -2.562483310699463, -12.644292831420898, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0358000285923481, -0.40887266397476196, 0.015642846003174782, 0.06118522584438324, -0.057792194187641144, 0.0032357501331716776
507458, 2.214437484741211, -2.5869274139404297, -12.532095909118652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03564535453915596, -0.4093286097049713, 0.01571018248796463, 0.06020481884479523, -0.06344250589609146, 0.0038101626560091972
507468, 2.20121169090271, -2.5734925270080566, -12.520699501037598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03519156202673912, -0.4100949764251709, 0.015695704147219658, 0.06168406829237938, -0.06626337021589279, 0.0038300526794046164
507479, 2.1925768852233887, -2.6391637325286865, -12.431635856628418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03482736274600029, -0.41065096855163574, 0.015822634100914, 0.06015356257557869, -0.0647789016366005, 0.004719368647783995
507488, 2.2407286167144775, -2.708223581314087, -12.343387603759766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.034866973757743835, -0.41035085916519165, 0.014888563193380833, 0.0652838945388794, -0.06973053514957428, -0.0002237127919215709
507498, 2.243006706237793, -2.70037841796875, -12.331343650817871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03438041731715202, -0.4104965031147003, 0.015104521997272968, 0.0636599138379097, -0.059104762971401215, 0.0014652378158643842
507508, 2.2428431510925293, -2.689239025115967, -12.318840026855469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03403972461819649, -0.41137444972991943, 0.015081602148711681, 0.06212727352976799, -0.06436370313167572, 0.0017898088553920388
507518, 2.391942262649536, -2.7223153114318848, -12.268211364746094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03405943140387535, -0.41191667318344116, 0.0151217021048069, 0.06111462414264679, -0.07168590277433395, 0.0024455913808196783
507529, 2.4196910858154297, -2.7789292335510254, -12.237849235534668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03381674736738205, -0.4122540354728699, 0.015106403268873692, 0.06324630230665207, -0.07369677722454071, 0.002457572612911463
507538, 2.4523322582244873, -2.7755796909332275, -12.222161293029785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03392024710774422, -0.4121069014072418, 0.01484803855419159, 0.0626525729894638, -0.07303488254547119, 0.0011717528104782104
507548, 2.452242374420166, -2.763068199157715, -12.209517478942871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03389466926455498, -0.41251543164253235, 0.014909359626471996, 0.060135286301374435, -0.0748240202665329, 0.001929217018187046
507558, 2.4879069328308105, -2.788973569869995, -12.18504524230957, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03402886539697647, -0.41303694248199463, 0.014951939694583416, 0.056281112134456635, -0.08029388636350632, 0.0026578372344374657
507568, 2.502270221710205, -2.80161714553833, -12.17477035522461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03386212885379791, -0.41308432817459106, 0.015137595124542713, 0.05625712126493454, -0.07700372487306595, 0.004111295100301504
507578, 2.529083251953125, -2.866882085800171, -12.135891914367676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03383668512105942, -0.4129393398761749, 0.015185878612101078, 0.05712619051337242, -0.07585987448692322, 0.004660430364310741
507588, 2.5183568000793457, -2.8571934700012207, -12.125312805175781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0336383618414402, -0.41378504037857056, 0.015203943476080894, 0.05610749498009682, -0.07951546460390091, 0.00501273013651371
507598, 2.502495288848877, -2.853641986846924, -12.11539363861084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03358758985996246, -0.41416075825691223, 0.015387807972729206, 0.05254589021205902, -0.07737316936254501, 0.006274048704653978
507608, 2.5017244815826416, -2.8435447216033936, -12.103154182434082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.033010564744472504, -0.4142358601093292, 0.015603704378008842, 0.05468570441007614, -0.07122158259153366, 0.007683553732931614
507618, 2.4902234077453613, -2.8372461795806885, -12.092244148254395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03305631875991821, -0.4151059091091156, 0.015668243169784546, 0.051875099539756775, -0.07589638978242874, 0.008080719038844109
507628, 2.487093925476074, -2.8269400596618652, -12.081061363220215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03273264691233635, -0.4152671992778778, 0.01518433727324009, 0.05211876705288887, -0.07253256440162659, 0.005081680603325367
507638, 2.4844648838043213, -2.8266167640686035, -12.06959056854248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03280537948012352, -0.41594722867012024, 0.015245470218360424, 0.04963558912277222, -0.0752478539943695, 0.00547096598893404
507648, 2.46502685546875, -2.8223254680633545, -12.057511329650879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03266286104917526, -0.4164627194404602, 0.0153337512165308, 0.0490979366004467, -0.07608840614557266, 0.005965838208794594
507658, 2.461617946624756, -2.819972515106201, -12.045254707336426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032037749886512756, -0.4162987768650055, 0.01555810496211052, 0.05139562487602234, -0.07042801380157471, 0.007430244702845812
507668, 2.5835275650024414, -2.8126091957092285, -12.03654670715332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03232299163937569, -0.4165036380290985, 0.01501774787902832, 0.04984452947974205, -0.07489052414894104, 0.004299236927181482
507678, 2.800581216812134, -2.7972166538238525, -12.033188819885254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03255318105220795, -0.4161212742328644, 0.015194330364465714, 0.04752584546804428, -0.0746525377035141, 0.005801671650260687
507688, 2.7966439723968506, -2.793571949005127, -12.021623611450195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032368022948503494, -0.41685622930526733, 0.015225114300847054, 0.048173677176237106, -0.07773303240537643, 0.006115884520113468
507698, 2.7933130264282227, -2.783622980117798, -12.00956916809082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032516587525606155, -0.4175378978252411, 0.015307356603443623, 0.04607968032360077, -0.08077312260866165, 0.006653769873082638
507708, 2.784005641937256, -2.7803757190704346, -11.998847961425781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032157640904188156, -0.4179795980453491, 0.015426487661898136, 0.04774075374007225, -0.08114464581012726, 0.007357662543654442
