timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
752286, -0.14094766974449158, 0.033500488847494125, -3.0626840591430664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
752296, -0.16882745921611786, 0.038011129945516586, -3.1478142738342285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023334413766860962, -1.4149479866027832, 0.016672780737280846, -0.001781970146112144, 0.009209001436829567, -0.0026387956459075212
752307, -0.12118811905384064, 0.039803870022296906, -3.221698045730591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023827115073800087, -1.4135159254074097, 0.01665090210735798, -0.002659506630152464, 0.0037991555873304605, -0.0026208916679024696
752316, -0.10663638263940811, 0.036230579018592834, -3.2579123973846436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023936964571475983, -1.4130605459213257, 0.016616636887192726, -0.0023342876229435205, 0.0022391648963093758, -0.0025978954508900642
752326, -0.10680658370256424, 0.03068205900490284, -3.3330681324005127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023997506126761436, -1.4123470783233643, 0.0165704432874918, -0.002266124589368701, 0.0023640552535653114, -0.002543288515880704
752336, -0.15315969288349152, -0.05810501053929329, -3.398087978363037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023641344159841537, -1.4116991758346558, 0.017017653211951256, 0.008463378064334393, 0.008769354782998562, 0.00029966316651552916
752346, -0.09572891145944595, 0.013449924066662788, -3.450150728225708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02410571463406086, -1.4116873741149902, 0.017023103311657906, -0.0008751994464546442, 0.0016236556693911552, 0.00041320023592561483
752357, -0.10386195778846741, 0.018639080226421356, -3.506582021713257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.024192679673433304, -1.4115391969680786, 0.017005858942866325, -0.0019723072182387114, 0.002515125321224332, 0.0004466910322662443
752368, -0.08225378394126892, 0.01560787484049797, -3.5305824279785156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.024240361526608467, -1.411397933959961, 0.016968630254268646, -0.0015572516713291407, -0.0002307421964360401, 2.5298159016529098e-05
752378, -0.09815216064453125, 0.0068639242090284824, -3.5852808952331543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02420899271965027, -1.4111799001693726, 0.016960961744189262, -0.0012042891466990113, 0.002167187398299575, -0.0002639726735651493
752386, -0.09350187331438065, -0.1250740885734558, -3.6353142261505127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023287707939743996, -1.4111334085464478, 0.016932902857661247, 0.016590435057878494, 0.0019718599505722523, -0.0005088093457743526
752396, -0.0915522500872612, -0.15488871932029724, -3.6737091541290283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.022956637665629387, -1.4110338687896729, 0.016894366592168808, 0.020819934085011482, 0.0015893997624516487, -0.0007963983807712793
752406, -0.08870743215084076, -0.07026881724596024, -3.7121102809906006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02358860895037651, -1.4109376668930054, 0.016907330602407455, 0.008916604332625866, 0.0013362428871914744, -0.0007213989738374949
752417, -0.07792078703641891, -0.04438815638422966, -3.7476143836975098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023821484297513962, -1.410953402519226, 0.016872908920049667, 0.0051840199157595634, 2.2783915483159944e-05, -0.0009563356288708746
752428, -0.111177958548069, -0.06195100024342537, -3.7682766914367676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02370821125805378, -1.4106613397598267, 0.016257671639323235, 0.00732208089902997, 0.004826897755265236, -0.004887966439127922
752436, -0.10732485353946686, -0.036832552403211594, -3.7944517135620117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02391154319047928, -1.4105883836746216, 0.016222380101680756, 0.0037775030359625816, 0.004420462995767593, -0.004568025004118681
752446, -0.07040812820196152, -0.014395863749086857, -3.8341264724731445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.024143191054463387, -1.410826563835144, 0.016184715554118156, 0.00042131749796681106, -0.0007557565695606172, -0.004362873267382383
752456, -0.08392393589019775, -0.05207670480012894, -3.862927198410034, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02381068654358387, -1.4106462001800537, 0.016149545088410378, 0.005387202836573124, 0.0014860595110803843, -0.004255940672010183
752467, -0.06513587385416031, -0.01150804664939642, -3.873732089996338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.024237338453531265, -1.410772681236267, 0.017023367807269096, -0.0008379693608731031, -0.0011404468677937984, 0.0017613969976082444
752476, -0.06309426575899124, -0.044077444821596146, -3.9009315967559814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02398161217570305, -1.410778522491455, 0.017023276537656784, 0.002844404662027955, -0.001111694029532373, 0.0017123096622526646
752486, -0.08751139044761658, -0.05636433884501457, -3.9341025352478027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023861920461058617, -1.4104944467544556, 0.017011860385537148, 0.004242588300257921, 0.0025240322574973106, 0.001662381924688816
752496, -0.05901889503002167, -0.058170463889837265, -3.9520928859710693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02388373203575611, -1.4107446670532227, 0.016998115926980972, 0.0042172628454864025, -0.0011525795562192798, 0.0015574708813801408
752506, -0.05952552333474159, -0.0949573665857315, -3.9814822673797607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023513687774538994, -1.4107410907745361, 0.01696612872183323, 0.008880079723894596, -0.0010516843758523464, 0.001412030542269349
752518, -0.06733183562755585, -0.10385408252477646, -3.9927122592926025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023376263678073883, -1.4106377363204956, 0.017945334315299988, 0.009932423941791058, 0.00019256801169831306, 0.007494963239878416
752526, -0.06434645503759384, -0.07227266579866409, -4.012246608734131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023742325603961945, -1.4105920791625977, 0.017960401251912117, 0.005371407140046358, 5.762909495388158e-05, 0.007131320424377918
752536, -0.05331750586628914, -0.03409433737397194, -4.032504081726074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.024221155792474747, -1.4106435775756836, 0.01795627549290657, -0.00013956463953945786, -0.0011613452807068825, 0.006768682971596718
752546, -0.052197594195604324, -0.037359315901994705, -4.050841331481934, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02422037161886692, -1.4106428623199463, 0.017937228083610535, 0.00038928762660361826, -0.0012756952783092856, 0.006346132606267929
752556, -0.07096122205257416, -0.08599906414747238, -4.076233386993408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02366742677986622, -1.41044020652771, 0.017929311841726303, 0.006680434104055166, 0.0012164309155195951, 0.00606678519397974
752567, -0.0677574872970581, -0.11947615444660187, -4.083617687225342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.023193372413516045, -1.4104599952697754, 0.017957203090190887, 0.011310173198580742, 0.0010643029818311334, 0.006022572983056307
752576, -0.05754575505852699, -0.11994830518960953, -4.101118564605713, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.02319912612438202, -1.4105933904647827, 0.017965730279684067, 0.010900668799877167, -0.00046427370398305357, 0.005681151058524847
