timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, otRoll, otPitch, otYaw, otq0, otq1, otq2, otq3
260050, -1.2174290418624878, 1.253976583480835, -0.2344493269920349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260058, -1.219746470451355, 1.2237073183059692, -0.9974399209022522, 0.14903442561626434, -0.08480923622846603, 0.17431031167507172, 0.03767867758870125, -1.2471473217010498, 0.015573442913591862, 0.046952154487371445, -0.028836891055107117, -0.006068272050470114, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260069, -1.179492473602295, 1.1534662246704102, -1.264357328414917, -0.02910318225622177, 0.032576240599155426, -0.0523918978869915, 0.037049200385808945, -1.2475472688674927, 0.015393314883112907, 0.0523698590695858, -0.030703425407409668, -0.006752572953701019, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260078, -1.2686926126480103, 1.2623302936553955, -1.3984063863754272, -0.16697321832180023, -0.06354043632745743, 0.1065080314874649, 0.03674110025167465, -1.2475851774215698, 0.01624058373272419, 0.056143809109926224, -0.035866979509592056, -0.0017345958622172475, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260088, -1.271371841430664, 1.2587885856628418, -1.4497679471969604, 0.06446625292301178, -0.05614634230732918, -0.06561935693025589, 0.036121394485235214, -1.2474796772003174, 0.016335492953658104, 0.04225058853626251, -0.022908909246325493, -0.0009495503036305308, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260099, -1.273893117904663, 1.249629259109497, -1.5398640632629395, 0.15216612815856934, 0.0620630644261837, -0.003924071788787842, 0.036189157515764236, -1.2475171089172363, 0.01626800186932087, 0.04303700476884842, -0.023208169266581535, -0.0014721816405653954, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260108, -1.241647720336914, 1.2632174491882324, -1.6047723293304443, -0.08168387413024902, -0.18070265650749207, 0.10606525093317032, 0.03645100072026253, -1.2476813793182373, 0.016219401732087135, 0.04363417252898216, -0.02361728437244892, -0.0016924297669902444, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260118, -1.2055736780166626, 1.1882933378219604, -1.6576478481292725, -0.03579401969909668, 0.061140384525060654, 0.05210632458329201, 0.03674011304974556, -1.2481118440628052, 0.016054123640060425, 0.050436049699783325, -0.033120907843112946, -0.002771807601675391, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260129, -1.354060411453247, 1.1097902059555054, -1.688416600227356, -0.25949713587760925, -0.13231748342514038, -0.000725418736692518, 0.037362147122621536, -1.2474344968795776, 0.01662728749215603, 0.06282714009284973, -0.012483220547437668, 0.0004596259677782655, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260140, -1.3986543416976929, 1.1760072708129883, -1.7274583578109741, 0.01100207306444645, -0.02655680663883686, 0.09801439940929413, 0.037094391882419586, -1.2472487688064575, 0.016638431698083878, 0.05341319739818573, -0.006895527243614197, 0.0005787240224890411, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
