timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, otRoll, otPitch, otYaw, otq0, otq1, otq2, otq3
514174, 0.110227070748806, 0.30467402935028076, -0.10235980898141861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514184, 0.07998035848140717, 0.30454444885253906, -0.10501133650541306, -0.06463921815156937, 0.036726485937833786, -0.12175878882408142, 22.019771575927734, -0.8693933486938477, 0.004221588373184204, 0.000634975207503885, -0.0017160471761599183, -0.001055323053151369, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514194, 0.08020250499248505, 0.3022997975349426, -0.10512668639421463, -0.039413128048181534, 0.2335301637649536, 0.04453352838754654, 22.019779205322266, -0.8694111704826355, 0.0042107426561415195, 0.0007105980766937137, -0.0018465686589479446, -0.001113401260226965, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514204, 0.0897248238325119, 0.3043597340583801, -0.10394345968961716, 0.08654659986495972, 0.1281658262014389, 0.013488098047673702, 22.019786834716797, -0.8694301247596741, 0.004117415752261877, 0.0007609228487126529, -0.0019914221484214067, -0.0013482265640050173, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514214, 0.04783984646201134, 0.3232661187648773, -0.10877370089292526, -0.08829158544540405, 0.14195168018341064, 0.10599192976951599, 22.0197811126709, -0.8696519732475281, 0.00410424591973424, 0.0008121230057440698, -0.003269185544922948, -0.001210245885886252, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514224, 0.04891664534807205, 0.33076003193855286, -0.10744386166334152, 0.14167822897434235, -0.27820542454719543, 0.23401878774166107, 22.019344329833984, -0.8687887787818909, 0.004096152260899544, -0.0015440090792253613, 0.001725394162349403, -0.001167768961749971, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514234, 0.040149711072444916, 0.30016350746154785, -0.1057647094130516, 0.03391856327652931, 0.22427251935005188, -0.0375470332801342, 22.019119262695312, -0.8687940239906311, 0.0040834867395460606, -0.0027404213324189186, 0.0017111531924456358, -0.0012280904920771718, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514244, 0.04051670804619789, 0.2995910346508026, -0.10595963150262833, 0.07529732584953308, -0.12180523574352264, -0.10852223634719849, 22.019800186157227, -0.8685612082481384, 0.004075583536177874, 0.001038266229443252, 0.0029908299911767244, -0.0010323245078325272, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514254, 0.06259283423423767, 0.28646206855773926, -0.10352405905723572, 0.1407439410686493, 0.14391069114208221, -0.04663290083408356, 22.019813537597656, -0.8685291409492493, 0.0036245309747755527, 0.001170519506558776, 0.0032133832573890686, -0.003426875453442335, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514264, 0.044167838990688324, 0.287163108587265, -0.10353997349739075, 0.2403302788734436, -0.1616109162569046, 0.012954119592905045, 22.020042419433594, -0.8689778447151184, 0.0035913758911192417, 0.002447227481752634, 0.0006074961856938899, -0.003636629320681095, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514274, 0.05513317137956619, 0.28859877586364746, -0.10268642008304596, -0.23203037679195404, -0.01600048877298832, -0.1431151032447815, 22.020048141479492, -0.8685376644134521, 0.0035541623365134, 0.002359486650675535, 0.003068619640544057, -0.0037137523759156466, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514284, 0.06586752086877823, 0.31001582741737366, -0.10352453589439392, 0.07637470960617065, -0.25223639607429504, -0.04985269159078598, 22.019580841064453, -0.869003415107727, 0.0035205150488764048, -0.00017747785022947937, 0.0005612996174022555, -0.0037766085006296635, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514294, 0.07814966887235641, 0.3016904890537262, -0.1009683609008789, 0.13829617202281952, -0.1459382325410843, 0.1787247508764267, 22.01957893371582, -0.8689975142478943, 0.0034825222101062536, -0.0001262042933376506, 0.000616455334238708, -0.0038216079119592905, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514304, 0.07838813215494156, 0.3036385178565979, -0.10291355103254318, 0.10760586708784103, -0.04324418306350708, -0.19540387392044067, 22.019798278808594, -0.8692120313644409, 0.0044998954981565475, 0.0011091550113633275, -0.0006863651215098798, 0.0017726242076605558, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514314, 0.12001851946115494, 0.2919599711894989, -0.09817865490913391, 0.03924804553389549, 0.2812005877494812, -0.02929498627781868, 22.019807815551758, -0.8692187070846558, 0.004517702851444483, 0.0009879969293251634, -0.0006432805093936622, 0.0017892352771013975, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514324, 0.10690604150295258, 0.2907229959964752, -0.09954691678285599, 0.09306012094020844, -0.2230256348848343, -0.0035636320244520903, 22.020029067993164, -0.8701211810112, 0.00453387014567852, 0.002059339778497815, -0.005543272010982037, 0.0017052110051736236, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514334, 0.04729078337550163, 0.29576823115348816, -0.10596165806055069, 0.15709683299064636, -0.40325620770454407, 0.07189609855413437, 22.02003288269043, -0.869891345500946, 0.0045536840334534645, 0.0018386695301160216, -0.003995088394731283, 0.0016993109602481127, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514344, 0.07996144145727158, 0.29546141624450684, -0.10436621308326721, 0.08712652325630188, 0.24008089303970337, 0.008504465222358704, 22.020048141479492, -0.8685480952262878, 0.004581444896757603, 0.0016454019350931048, 0.0036507004406303167, 0.0018216957105323672, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514354, 0.06843928247690201, 0.3339604139328003, -0.10663463175296783, -0.24680227041244507, 0.11316829174757004, 0.15261048078536987, 22.02004051208496, -0.8692165017127991, 0.004356213379651308, 0.0016179056838154793, -0.00018665252719074488, 0.000690113811288029, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514364, 0.0594467893242836, 0.3020669221878052, -0.10519050061702728, -0.0417790412902832, 0.0325404591858387, -0.03736308589577675, 22.019128799438477, -0.8690211176872253, 0.004364417400211096, -0.003269840031862259, 0.0010564479744061828, 0.0007268778281286359, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514374, 0.11853943765163422, 0.3037348985671997, -0.10014813393354416, 0.025875484570860863, -0.18016737699508667, 0.056575410068035126, 22.019821166992188, -0.8687825202941895, 0.004375474061816931, 0.0005796083714812994, 0.0022222818806767464, 0.0006872572121210396, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514384, 0.08930511027574539, 0.30366644263267517, -0.10248474776744843, 0.10419126600027084, 0.172283336520195, 0.011722641997039318, 22.019794464111328, -0.8700952529907227, 0.004387657158076763, 0.0005591860390268266, -0.0052955253049731255, 0.0007476397440768778, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514394, 0.0884372815489769, 0.3035430908203125, -0.10266317427158356, -0.07469626516103745, -0.16014589369297028, -0.13891789317131042, 22.01980972290039, -0.8694474697113037, 0.004403074737638235, 0.0007387656951323152, -0.0015761218965053558, 0.0008573455270379782, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514404, 0.05002216249704361, 0.31429827213287354, -0.1063266396522522, 0.33944171667099, -0.08613583445549011, 0.24324284493923187, 22.019817352294922, -0.8694627285003662, 0.004412166774272919, 0.0007928411359898746, -0.0014780604979023337, 0.0009614534210413694, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514414, 0.08224339783191681, 0.30680426955223083, -0.10416915267705917, -0.006195547990500927, -0.3356066048145294, -0.033193159848451614, 22.019590377807617, -0.86856609582901, 0.005113678518682718, -0.0006777878734283149, 0.003650831524282694, 0.004360620863735676, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
514424, 0.0830230712890625, 0.3058724105358124, -0.10259820520877838, 0.0770137831568718, 0.12598074972629547, 0.0645449310541153, 22.019804000854492, -0.8692418932914734, 0.005162006709724665, 0.0003599390620365739, -0.00026566613814793527, 0.004407045431435108, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
