timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight, laserFront, laserBack, laserUp, laserLeft, laserRight
9478, 0.010851388797163963, -0.013090874999761581, 0.0063895490020513535, 0.05826226621866226, -0.05467671528458595, -0.01528161484748125, 0, 0, 0, 52510.0, 37977.0, 45567.0, 47105.0, 7.0, 245.0, 72.0, 32766.0, 768.0, 32766.0
9488, 0.011643745936453342, -0.013537980616092682, 0.006294135935604572, 0.05893798917531967, -0.052238449454307556, -0.0027163373306393623, 0, 0, 0, 54624.0, 42237.0, 49217.0, 35557.0, 7.0, 245.0, 72.0, 32766.0, 768.0, 32766.0
9498, 0.012826277874410152, -0.012899007648229599, 0.00621459586545825, 0.06544313579797745, -0.04872799664735794, -0.0032260925509035587, 0, 0, 0, 50229.0, 40973.0, 47489.0, 44859.0, 7.0, 245.0, 72.0, 32766.0, 788.0, 32766.0
9508, 0.014177241362631321, -0.011763287708163261, 0.006098256912082434, 0.07026603072881699, -0.03980211913585663, -0.012307592667639256, 0, 0, 0, 54364.0, 39564.0, 48028.0, 39813.0, 6.0, 245.0, 72.0, 32766.0, 788.0, 32766.0
9518, 0.017570465803146362, -0.01088517252355814, 0.0057395282201468945, 0.08636040985584259, -0.03287246450781822, -0.01916135847568512, 0, 0, 0, 48306.0, 41644.0, 52824.0, 40421.0, 6.0, 245.0, 72.0, 32766.0, 788.0, 32766.0
9528, 0.019455399364233017, -0.010893170721828938, 0.005470926873385906, 0.09376680850982666, -0.031168758869171143, -0.010633704252541065, 0, 0, 0, 57901.0, 38711.0, 42074.0, 41927.0, 6.0, 245.0, 72.0, 32766.0, 788.0, 32766.0
9538, 0.02246524766087532, -0.00965889822691679, 0.005127693060785532, 0.10693427175283432, -0.022698083892464638, -0.004269356839358807, 0, 0, 0, 47952.0, 43834.0, 54570.0, 35589.0, 6.0, 245.0, 72.0, 32766.0, 788.0, 32766.0
9548, 0.02637815847992897, -0.008469250053167343, 0.007151038385927677, 0.1245487853884697, -0.014704199507832527, 0.006016434635967016, 0, 0, 0, 54638.0, 35394.0, 47526.0, 43925.0, 11.0, 245.0, 72.0, 32766.0, 788.0, 32766.0
9558, 0.027678148820996284, -0.0074521140195429325, 0.007224672008305788, 0.12650814652442932, -0.008248881436884403, 0.010445769876241684, 0, 0, 0, 55665.0, 33022.0, 44219.0, 46068.0, 11.0, 245.0, 72.0, 32766.0, 788.0, 32766.0
9568, 0.02957206219434738, -0.0074879783205688, 0.007209912408143282, 0.1315670907497406, -0.008027767762541771, 0.007503042928874493, 0, 0, 0, 48078.0, 38424.0, 52065.0, 42198.0, 11.0, 245.0, 72.0, 32766.0, 788.0, 32766.0
