timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight
15637, 0.058689672499895096, -0.03653004392981529, 0.4187476933002472, -0.024034172296524048, 0.02886740118265152, 0.3362007439136505, 0, 0, 0, 49283.0, 47194.0, 46639.0, 50100.0, 315.0
15647, 0.05907947197556496, -0.03585777431726456, 0.4221118688583374, -0.023148715496063232, 0.02913104183971882, 0.33616364002227783, 0, 0, 0, 50501.0, 45203.0, 44898.0, 51586.0, 315.0
15657, 0.05776943638920784, -0.03585689142346382, 0.4254472553730011, -0.026176627725362778, 0.0278233140707016, 0.3320372998714447, 0, 0, 0, 47244.0, 48522.0, 47932.0, 48675.0, 315.0
15667, 0.05688822641968727, -0.03449532762169838, 0.42875513434410095, -0.027996418997645378, 0.02971472777426243, 0.33211326599121094, 0, 0, 0, 50461.0, 46125.0, 44556.0, 50289.0, 315.0
15677, 0.05677073076367378, -0.03385777026414871, 0.43209517002105713, -0.028001997619867325, 0.029803631827235222, 0.3361526429653168, 0, 0, 0, 50396.0, 44369.0, 44770.0, 51184.0, 315.0
15687, 0.056489549577236176, -0.03356289118528366, 0.43543359637260437, -0.028235578909516335, 0.029173079878091812, 0.3315325975418091, 0, 0, 0, 46672.0, 46736.0, 48406.0, 49080.0, 315.0
15697, 0.056206248700618744, -0.033274270594120026, 0.4387073814868927, -0.028423329815268517, 0.028548769652843475, 0.32322537899017334, 0, 0, 0, 48315.0, 46387.0, 45709.0, 49600.0, 315.0
15707, 0.05592099577188492, -0.032991837710142136, 0.44190549850463867, -0.028632866218686104, 0.02793697826564312, 0.3163980543613434, 0, 0, 0, 45068.0, 49575.0, 49504.0, 45569.0, 315.0
15717, 0.05454730615019798, -0.03297049179673195, 0.44504237174987793, -0.03122551366686821, 0.026735514402389526, 0.3128436505794525, 0, 0, 0, 49108.0, 47176.0, 45129.0, 48313.0, 315.0
15727, 0.05363564193248749, -0.03302557393908501, 0.4481605887413025, -0.032807935029268265, 0.025371534749865532, 0.31173819303512573, 0, 0, 0, 49070.0, 45407.0, 45453.0, 49703.0, 315.0
15737, 0.05421308055520058, -0.03316139057278633, 0.4512663781642914, -0.0309943575412035, 0.02385891042649746, 0.30637574195861816, 0, 0, 0, 46574.0, 48801.0, 47790.0, 46499.0, 315.0
15747, 0.0530875101685524, -0.03340669348835945, 0.45429369807243347, -0.03300805762410164, 0.02210293710231781, 0.3005516231060028, 0, 0, 0, 48818.0, 45221.0, 45681.0, 49380.0, 315.0
15757, 0.0513087622821331, -0.03283192589879036, 0.4572623074054718, -0.03648301213979721, 0.02213137224316597, 0.29769575595855713, 0, 0, 0, 47631.0, 47338.0, 46726.0, 47582.0, 315.0
15767, 0.04808738827705383, -0.03296705707907677, 0.46016380190849304, -0.0429786778986454, 0.020539237186312675, 0.29185304045677185, 0, 0, 0, 50445.0, 43311.0, 43059.0, 51359.0, 315.0
15777, 0.04947478696703911, -0.03168933093547821, 0.46309199929237366, -0.03933241218328476, 0.022006703540682793, 0.28722015023231506, 0, 0, 0, 47724.0, 47414.0, 46547.0, 47339.0, 315.0
15787, 0.047689616680145264, -0.03153210133314133, 0.46589645743370056, -0.042548537254333496, 0.020973116159439087, 0.2788393199443817, 0, 0, 0, 48129.0, 46454.0, 45883.0, 48484.0, 315.0
15797, 0.04726308211684227, -0.03132746368646622, 0.4686776101589203, -0.04275912418961525, 0.019954562187194824, 0.2773932218551636, 0, 0, 0, 50518.0, 43626.0, 43365.0, 50537.0, 315.0
15807, 0.046834979206323624, -0.031132616102695465, 0.47140684723854065, -0.042874254286289215, 0.019013546407222748, 0.2684561312198639, 0, 0, 0, 47259.0, 48325.0, 46848.0, 46376.0, 315.0
15817, 0.04640638083219528, -0.030947048217058182, 0.4740409851074219, -0.04285047575831413, 0.018100831657648087, 0.2583714723587036, 0, 0, 0, 48830.0, 43066.0, 45863.0, 50494.0, 315.0
15827, 0.045279938727617264, -0.030833959579467773, 0.47658365964889526, -0.044261060655117035, 0.016993725672364235, 0.25293785333633423, 0, 0, 0, 48480.0, 45864.0, 46020.0, 48596.0, 315.0
15837, 0.04496666416525841, -0.029778089374303818, 0.47910404205322266, -0.04375564679503441, 0.017891231924295425, 0.2511815130710602, 0, 0, 0, 49540.0, 43755.0, 45496.0, 50129.0, 315.0
15847, 0.044008299708366394, -0.029564443975687027, 0.4815658628940582, -0.04465257748961449, 0.017075693234801292, 0.24341534078121185, 0, 0, 0, 49992.0, 44828.0, 44400.0, 49736.0, 315.0
15857, 0.04356333985924721, -0.02939782105386257, 0.48396116495132446, -0.044340625405311584, 0.016245916485786438, 0.23564346134662628, 0, 0, 0, 47897.0, 44785.0, 47219.0, 49128.0, 315.0
15867, 0.04268321394920349, -0.029449405148625374, 0.48629507422447205, -0.04486976936459541, 0.014983408153057098, 0.23290298879146576, 0, 0, 0, 48558.0, 45738.0, 46214.0, 48769.0, 315.0
15877, 0.036801669746637344, -0.03171372041106224, 0.4884835481643677, -0.05573475733399391, 0.009206948801875114, 0.22793465852737427, 0, 0, 0, 48482.0, 45791.0, 46137.0, 49070.0, 315.0
15887, 0.03624561056494713, -0.03162563592195511, 0.49072179198265076, -0.055475760251283646, 0.008408506400883198, 0.2197122573852539, 0, 0, 0, 49411.0, 46320.0, 45419.0, 48146.0, 315.0
15897, 0.03569220006465912, -0.03154574707150459, 0.4929101765155792, -0.05520625039935112, 0.007569368463009596, 0.21796616911888123, 0, 0, 0, 48010.0, 46730.0, 47146.0, 47607.0, 315.0
15907, 0.033335112035274506, -0.030697215348482132, 0.49500805139541626, -0.05857965722680092, 0.008348658680915833, 0.21293725073337555, 0, 0, 0, 49848.0, 47801.0, 44379.0, 47480.0, 315.0
15917, 0.033255960792303085, -0.02889649197459221, 0.4971385598182678, -0.057256292551755905, 0.011067106388509274, 0.20940843224525452, 0, 0, 0, 48429.0, 46795.0, 46632.0, 47680.0, 315.0
15927, 0.03268519416451454, -0.028789395466446877, 0.49919113516807556, -0.05689692869782448, 0.010351821780204773, 0.2011069655418396, 0, 0, 0, 49278.0, 44400.0, 46200.0, 49702.0, 315.0
