timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight
83169, -14.410978317260742, -10.752371788024902, 6.937209129333496, -10.982921600341797, -2.0811898708343506, -0.8398618698120117, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83179, -14.521088600158691, -10.773126602172852, 6.928727149963379, -11.037932395935059, -2.068885564804077, -0.8746520280838013, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83189, -14.631750106811523, -10.793758392333984, 6.919895172119141, -11.093110084533691, -2.0565669536590576, -0.9099269509315491, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83199, -14.742963790893555, -10.814266204833984, 6.910709381103516, -11.148307800292969, -2.044175624847412, -0.9455218315124512, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83209, -14.780400276184082, -10.780691146850586, 6.951849937438965, -11.165448188781738, -1.998548150062561, -0.9503000974655151, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83219, -14.892337799072266, -10.800616264343262, 6.9422607421875, -11.220643997192383, -1.985730528831482, -0.9860621094703674, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83229, -14.892974853515625, -10.738197326660156, 7.008693218231201, -11.218768119812012, -1.9231187105178833, -0.9758046865463257, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83239, -15.005446434020996, -10.757368087768555, 6.998847961425781, -11.274043083190918, -1.9102129936218262, -1.011838674545288, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83249, -15.008373260498047, -10.696292877197266, 7.063854694366455, -11.273215293884277, -1.848778486251831, -1.0029323101043701, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83259, -15.04266357421875, -10.670318603515625, 7.107510566711426, -11.288381576538086, -1.8083996772766113, -1.0064198970794678, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83269, -15.07105827331543, -10.651219367980957, 7.155317783355713, -11.300607681274414, -1.7720158100128174, -1.0067943334579468, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83279, -15.081506729125977, -10.594901084899902, 7.215264320373535, -11.303780555725098, -1.714471459388733, -1.001918911933899, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83289, -15.194829940795898, -10.611982345581055, 7.2051568031311035, -11.35926628112793, -1.7010352611541748, -1.0385061502456665, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83299, -15.308707237243652, -10.628929138183594, 7.194683074951172, -11.414612770080566, -1.6875426769256592, -1.0752549171447754, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83309, -15.349956512451172, -10.57836627960205, 7.233667373657227, -11.432753562927246, -1.6345579624176025, -1.084235429763794, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83319, -15.427268981933594, -10.630524635314941, 7.248978137969971, -11.46993637084961, -1.6393262147903442, -1.1011148691177368, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83329, -15.421882629394531, -10.538714408874512, 7.319839000701904, -11.464369773864746, -1.5626851320266724, -1.0926225185394287, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83339, -15.536812782287598, -10.554274559020996, 7.308822154998779, -11.519882202148438, -1.548690676689148, -1.130028486251831, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83349, -15.536399841308594, -10.512266159057617, 7.377021789550781, -11.517054557800293, -1.4998384714126587, -1.1199711561203003, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83359, -15.651856422424316, -10.527195930480957, 7.365731239318848, -11.572473526000977, -1.4855730533599854, -1.1575952768325806, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83369, -15.767868041992188, -10.541983604431152, 7.354064464569092, -11.627909660339355, -1.471441626548767, -1.1953238248825073, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83379, -15.884434700012207, -10.55663013458252, 7.342020034790039, -11.683462142944336, -1.4572714567184448, -1.2331677675247192, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83389, -16.001558303833008, -10.571134567260742, 7.329596519470215, -11.739191055297852, -1.4430550336837769, -1.2712346315383911, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83399, -16.091552734375, -10.59078311920166, 7.336350440979004, -11.78138542175293, -1.43082857131958, -1.2965177297592163, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83409, -16.077428817749023, -10.504010200500488, 7.413980007171631, -11.771111488342285, -1.3583356142044067, -1.2843031883239746, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83419, -16.17425537109375, -10.545788764953613, 7.416630268096924, -11.81663703918457, -1.358259916305542, -1.310618281364441, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83429, -16.080188751220703, -10.472570419311523, 7.55096435546875, -11.767243385314941, -1.2912328243255615, -1.2617024183273315, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83439, -16.17445182800293, -10.402973175048828, 7.559697151184082, -11.810123443603516, -1.2294604778289795, -1.294100284576416, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83449, -16.292842864990234, -10.415194511413574, 7.546662330627441, -11.865767478942871, -1.2144670486450195, -1.3329445123672485, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83459, -16.35114860534668, -10.36154556274414, 7.574110984802246, -11.891131401062012, -1.1627845764160156, -1.3513085842132568, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83469, -16.377758026123047, -10.302706718444824, 7.623777389526367, -11.900980949401855, -1.108775019645691, -1.3573349714279175, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83479, -16.42852020263672, -10.2466459274292, 7.656393051147461, -11.922232627868652, -1.0606669187545776, -1.3759113550186157, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
83489, -16.544994354248047, -10.26694107055664, 7.6450419425964355, -11.975972175598145, -1.0469868183135986, -1.4083518981933594, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 190.0
