Timestamp,app.KFMlpOutput1,app.KFMlpOutput2,app.MlpOutput1,app.MlpOutput2
27337,0.0,0.0,0.0,0.0
27357,0.0,0.0,0.0,0.0
27377,0.0,0.0,0.0,0.0
27397,0.0,0.0,0.0,0.0
27417,0.0,0.0,0.0,0.0
27437,0.0,0.0,0.0,0.0
27457,0.0,0.0,0.0,0.0
27477,0.0,0.0,0.0,0.0
27497,0.0,0.0,0.0,0.0
27517,0.0,0.0,0.0,0.0
27537,0.0,0.0,0.0,0.0
27557,0.0,0.0,0.0,0.0
27577,0.0,0.0,0.0,0.0
27597,0.0,0.0,0.0,0.0
27617,0.0,0.0,0.0,0.0
27637,0.0,0.0,0.0,0.0
27657,0.0,0.0,0.0,0.0
27677,0.0,0.0,0.0,0.0
27697,0.0,0.0,0.0,0.0
27717,0.0,0.0,0.0,0.0
27737,0.0,0.0,0.0,0.0
27757,0.0,0.0,0.0,0.0
27777,0.0,0.0,0.0,0.0
27797,0.0,0.0,0.0,0.0
27817,0.0,0.0,0.0,0.0
27837,0.0,0.0,0.0,0.0
27857,0.0,0.0,0.0,0.0
27877,0.0,0.0,0.0,0.0
27897,0.0,0.0,0.0,0.0
27917,0.0,0.0,0.0,0.0
27937,0.0,0.0,0.0,0.0
27957,0.0,0.0,0.0,0.0
27977,0.0,0.0,0.0,0.0
27997,0.0,0.0,0.0,0.0
28017,0.0,0.0,0.0,0.0
28037,0.0,0.0,0.0,0.0
28057,0.0,0.0,0.0,0.0
28077,0.0,0.0,0.0,0.0
28097,0.0,0.0,0.0,0.0
28117,0.0,0.0,0.0,0.0
28137,0.0,0.0,0.0,0.0
28157,0.0,0.0,0.0,0.0
28177,0.0,0.0,0.0,0.0
28197,0.0,0.0,0.0,0.0
28217,0.0,0.0,0.0,0.0
28237,0.0,0.0,0.0,0.0
28257,0.0,0.0,0.0,0.0
28277,0.0,0.0,0.0,0.0
28297,0.0,0.0,0.0,0.0
28317,0.0,0.0,0.0,0.0
28337,0.0,0.0,0.0,0.0
28357,0.0,0.0,0.0,0.0
28377,0.0,0.0,0.0,0.0
28397,0.0,0.0,0.0,0.0
28417,0.0,0.0,0.0,0.0
28437,0.0,0.0,0.0,0.0
28457,0.0,0.0,0.0,0.0
28477,0.0,0.0,0.0,0.0
28497,0.0,0.0,0.0,0.0
28517,0.0,0.0,0.0,0.0
28537,0.0,0.0,0.0,0.0
28557,0.0,0.0,0.0,0.0
28577,0.0,0.0,0.0,0.0
28597,0.0,0.0,0.0,0.0
28617,0.0,0.0,0.0,0.0
28637,0.0,0.0,0.0,0.0
28657,0.0,0.0,0.0,0.0
28677,0.0,0.0,0.0,0.0
28697,0.0,0.0,0.0,0.0
28717,0.0,0.0,0.0,0.0
28737,0.0,0.0,0.0,0.0
28757,0.0,0.0,0.0,0.0
28777,0.0,0.0,0.0,0.0
28797,0.0,0.0,0.0,0.0
28817,0.0,0.0,0.0,0.0
28837,0.0,0.0,0.0,0.0
28857,0.0,0.0,0.0,0.0
28877,0.0,0.0,0.0,0.0
28897,0.0,0.0,0.0,0.0
28917,0.0,0.0,0.0,0.0
28937,0.0,0.0,0.0,0.0
28957,0.0,0.0,0.0,0.0
28977,0.0,0.0,0.0,0.0
28997,0.0,0.0,0.0,0.0
29017,0.0,0.0,0.0,0.0
29037,0.0,0.0,0.0,0.0
29057,0.0,0.0,0.0,0.0
29077,0.0,0.0,0.0,0.0
29097,0.0,0.0,0.0,0.0
29117,0.0,0.0,0.0,0.0
29137,0.0,0.0,0.0,0.0
29157,0.0,0.0,0.0,0.0
29177,0.0,0.0,0.0,0.0
29197,0.0,0.0,0.0,0.0
29217,0.0,0.0,0.0,0.0
29237,0.0,0.0,0.0,0.0
29257,0.0,0.0,0.0,0.0
29277,0.0,0.0,0.0,0.0
29297,0.0,0.0,0.0,0.0
29317,0.0,0.0,0.0,0.0
29337,0.0,0.0,0.0,0.0
29357,0.0,0.0,0.0,0.0
29377,0.0,0.0,0.0,0.0
29397,0.0,0.0,0.0,0.0
29417,0.0,0.0,0.0,0.0
29437,0.0,0.0,0.0,0.0
29457,0.0,0.0,0.0,0.0
29477,0.0,0.0,0.0,0.0
29497,0.0,0.0,0.0,0.0
29517,0.0,0.0,0.0,0.0
29537,0.0,0.0,0.0,0.0
29557,0.0,0.0,0.0,0.0
29577,0.0,0.0,0.0,0.0
