timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, yaw, laserFront
114407, 0.0, 0.0, -19.847463607788086, 0.0, 0.0, 0.3780364990234375, 0, 0, 0, 0, 0, 0
114427, 0.0, 0.0, -19.83476448059082, 0.0, 0.0, 0.6015777587890625, 0.0, 0.0, 0.0, 0.0, -1.6961740255355835, 326.0
114447, 0.0, 0.0, -19.823440551757812, 0.0, 0.0, 0.536346435546875, 0.0, 0.0, 0.0, 0.0, -1.6950963735580444, 326.0
114467, 0.0, 0.0, -19.82933235168457, 0.0, 0.0, -0.27904510498046875, 0.0, 0.0, 0.0, 0.0, -1.6963627338409424, 325.0
114487, 0.0, 0.0, -19.844493865966797, 0.0, 0.0, -0.7181167602539062, 0.0, 0.0, 0.0, 0.0, -1.6955538988113403, 325.0
114507, 0.0, 0.0, -19.850542068481445, 0.0, 0.0, -0.2864837646484375, 0.0, 0.0, 0.0, 0.0, -1.6951221227645874, 325.0
114527, 0.0, 0.0, -19.837778091430664, 0.0, 0.0, 0.6046295166015625, 0.0, 0.0, 0.0, 0.0, -1.6961933374404907, 325.0
114547, 0.0, 0.0, -19.822763442993164, 0.0, 0.0, 0.7112503051757812, 0.0, 0.0, 0.0, 0.0, -1.6976873874664307, 325.0
114567, 0.0, 0.0, -19.809043884277344, 0.0, 0.0, 0.6498336791992188, 0.0, 0.0, 0.0, 0.0, -1.6985126733779907, 324.0
114587, 0.0, 0.0, -19.80104637145996, 0.0, 0.0, 0.3787994384765625, 0.0, 0.0, 0.0, 0.0, -1.6980984210968018, 324.0
114607, 0.0, 0.0, -19.799243927001953, 0.0, 0.0, 0.08544921875, 0.0, 0.0, 0.0, 0.0, -1.698835015296936, 324.0
114627, 0.0, 0.0, -19.811290740966797, 0.0, 0.0, -0.5706787109375, 0.0, 0.0, 0.0, 0.0, -1.6994602680206299, 324.0
114647, 0.0, 0.0, -19.823646545410156, 0.0, 0.0, -0.5853652954101562, 0.0, 0.0, 0.0, 0.0, -1.6985251903533936, 324.0
