timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, yaw, laserFront
450040, 0.0, 0.0, -27.543132781982422, 0.0, 0.0, -0.08411407470703125, 0, 0, 0, 0, 0, 0
450060, 0.0, 0.0, -27.544052124023438, 0.0, 0.0, -0.043487548828125, 0.0, 0.0, 0.0, 0.0, -1.1430197954177856, 284.0
450080, 0.0, 0.0, -27.55310821533203, 0.0, 0.0, -0.42896270751953125, 0.0, 0.0, 0.0, 0.0, -1.144594669342041, 284.0
450100, 0.0, 0.0, -27.543302536010742, 0.0, 0.0, 0.46443939208984375, 0.0, 0.0, 0.0, 0.0, -1.144002079963684, 284.0
450120, 0.0, 0.0, -27.526527404785156, 0.0, 0.0, 0.7946014404296875, 0.0, 0.0, 0.0, 0.0, -1.1425256729125977, 284.0
450140, 0.0, 0.0, -27.523849487304688, 0.0, 0.0, 0.12683868408203125, 0.0, 0.0, 0.0, 0.0, -1.14304518699646, 284.0
450160, 0.0, 0.0, -27.50609588623047, 0.0, 0.0, 0.8409500122070312, 0.0, 0.0, 0.0, 0.0, -1.1438905000686646, 286.0
450180, 0.0, 0.0, -27.481847763061523, 0.0, 0.0, 1.1486053466796875, 0.0, 0.0, 0.0, 0.0, -1.1431206464767456, 286.0
450200, 0.0, 0.0, -27.463764190673828, 0.0, 0.0, 0.8565902709960938, 0.0, 0.0, 0.0, 0.0, -1.1435638666152954, 286.0
450220, 0.0, 0.0, -27.45015525817871, 0.0, 0.0, 0.644683837890625, 0.0, 0.0, 0.0, 0.0, -1.143558144569397, 286.0
450240, 0.0, 0.0, -27.44380760192871, 0.0, 0.0, 0.30059814453125, 0.0, 0.0, 0.0, 0.0, -1.1451210975646973, 286.0
450260, 0.0, 0.0, -27.446456909179688, 0.0, 0.0, -0.1255035400390625, 0.0, 0.0, 0.0, 0.0, -1.1459882259368896, 288.0
450280, 0.0, 0.0, -27.476133346557617, 0.0, 0.0, -1.4057159423828125, 0.0, 0.0, 0.0, 0.0, -1.1456005573272705, 288.0
450300, 0.0, 0.0, -27.501211166381836, 0.0, 0.0, -1.187896728515625, 0.0, 0.0, 0.0, 0.0, -1.1457700729370117, 288.0
450320, 0.0, 0.0, -27.488798141479492, 0.0, 0.0, 0.5880355834960938, 0.0, 0.0, 0.0, 0.0, -1.1443315744400024, 288.0
450340, 0.0, 0.0, -27.464717864990234, 0.0, 0.0, 1.140594482421875, 0.0, 0.0, 0.0, 0.0, -1.142918586730957, 288.0
450360, 0.0, 0.0, -27.447290420532227, 0.0, 0.0, 0.82550048828125, 0.0, 0.0, 0.0, 0.0, -1.1436097621917725, 286.0
450380, 0.0, 0.0, -27.447200775146484, 0.0, 0.0, 0.0041961669921875, 0.0, 0.0, 0.0, 0.0, -1.143129587173462, 286.0
450400, 0.0, 0.0, -27.449726104736328, 0.0, 0.0, -0.11959075927734375, 0.0, 0.0, 0.0, 0.0, -1.1434412002563477, 286.0
450420, 0.0, 0.0, -27.43670654296875, 0.0, 0.0, 0.6166458129882812, 0.0, 0.0, 0.0, 0.0, -1.143107533454895, 286.0
450440, 0.0, 0.0, -27.418888092041016, 0.0, 0.0, 0.8440017700195312, 0.0, 0.0, 0.0, 0.0, -1.1434091329574585, 286.0
450460, 0.0, 0.0, -27.412246704101562, 0.0, 0.0, 0.31452178955078125, 0.0, 0.0, 0.0, 0.0, -1.1415263414382935, 284.0
450480, 0.0, 0.0, -27.409984588623047, 0.0, 0.0, 0.1071929931640625, 0.0, 0.0, 0.0, 0.0, -1.1415088176727295, 284.0
450500, 0.0, 0.0, -27.414905548095703, 0.0, 0.0, -0.2330780029296875, 0.0, 0.0, 0.0, 0.0, -1.1418331861495972, 284.0
450520, 0.0, 0.0, -27.415775299072266, 0.0, 0.0, -0.04119873046875, 0.0, 0.0, 0.0, 0.0, -1.1420598030090332, 284.0
