timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
30944, 0.0, 0.0, -19.13056755065918, 0.0, 0.0, 0.067901611328125, 0, 0, 0, 0, 0, 0, 0, 0, 0
30964, 0.0, 0.0, -19.116941452026367, 0.0, 0.0, 0.64544677734375, 0.0, 0.0, 0.0, 0.0, -1.1474666595458984, -0.38074827194213867, 0.026602506637573242, -0.3344862759113312, 328.0
30984, 0.0, 0.0, -19.09447479248047, 0.0, 0.0, 1.064300537109375, 0.0, 0.0, 0.0, 0.0, -1.1474971771240234, -0.3808612823486328, 0.02664962410926819, -0.3357413113117218, 328.0
31004, 0.0, 0.0, -19.07212257385254, 0.0, 0.0, 1.0587692260742188, 0.0, 0.0, 0.0, 0.0, -1.147531509399414, -0.3808107376098633, 0.026760727167129517, -0.33733275532722473, 328.0
31024, 0.0, 0.0, -19.07375717163086, 0.0, 0.0, -0.0774383544921875, 0.0, 0.0, 0.0, 0.0, -1.1475563049316406, -0.38086366653442383, 0.02659168839454651, -0.33807310461997986, 328.0
31044, 0.0, 0.0, -19.081832885742188, 0.0, 0.0, -0.3826141357421875, 0.0, 0.0, 0.0, 0.0, -1.1475048065185547, -0.38074159622192383, 0.026632726192474365, -0.33825796842575073, 328.0
31064, 0.0, 0.0, -19.08733558654785, 0.0, 0.0, -0.26073455810546875, 0.0, 0.0, 0.0, 0.0, -1.147562026977539, -0.3808765411376953, 0.02663549780845642, -0.33949095010757446, 322.0
31084, 0.0, 0.0, -19.07828712463379, 0.0, 0.0, 0.42858123779296875, 0.0, 0.0, 0.0, 0.0, -1.1474895477294922, -0.3808016777038574, 0.02655857801437378, -0.3407039940357208, 322.0
31104, 0.0, 0.0, -19.068361282348633, 0.0, 0.0, 0.47016143798828125, 0.0, 0.0, 0.0, 0.0, -1.1476631164550781, -0.38072729110717773, 0.026766479015350342, -0.34183427691459656, 322.0
31124, 0.0, 0.0, -19.072267532348633, 0.0, 0.0, -0.1850128173828125, 0.0, 0.0, 0.0, 0.0, -1.1475963592529297, -0.3808474540710449, 0.026700347661972046, -0.3407928943634033, 322.0
31144, 0.0, 0.0, -19.068679809570312, 0.0, 0.0, 0.16994476318359375, 0.0, 0.0, 0.0, 0.0, -1.1475028991699219, -0.3807640075683594, 0.02659645676612854, -0.34231290221214294, 322.0
31164, 0.0, 0.0, -19.063175201416016, 0.0, 0.0, 0.26073455810546875, 0.0, 0.0, 0.0, 0.0, -1.1474666595458984, -0.380795955657959, 0.026778995990753174, -0.3424686789512634, 316.0
31184, 0.0, 0.0, -19.064950942993164, 0.0, 0.0, -0.08411407470703125, 0.0, 0.0, 0.0, 0.0, -1.1475868225097656, -0.3807826042175293, 0.026687532663345337, -0.34150782227516174, 316.0
31204, 0.0, 0.0, -19.054960250854492, 0.0, 0.0, 0.47321319580078125, 0.0, 0.0, 0.0, 0.0, -1.1475696563720703, -0.38088417053222656, 0.02652105689048767, -0.3409714698791504, 316.0
31224, 0.0, 0.0, -19.062973022460938, 0.0, 0.0, -0.3795623779296875, 0.0, 0.0, 0.0, 0.0, -1.1475372314453125, -0.3807353973388672, 0.026595979928970337, -0.3394087553024292, 316.0
31244, 0.0, 0.0, -19.075695037841797, 0.0, 0.0, -0.6025314331054688, 0.0, 0.0, 0.0, 0.0, -1.1473560333251953, -0.38077878952026367, 0.026631027460098267, -0.3407129645347595, 316.0
31264, 0.0, 0.0, -19.07976722717285, 0.0, 0.0, -0.19283294677734375, 0.0, 0.0, 0.0, 0.0, -1.1476726531982422, -0.3809361457824707, 0.026873797178268433, -0.3379819691181183, 325.0
31284, 0.0, 0.0, -19.06800079345703, 0.0, 0.0, 0.5573272705078125, 0.0, 0.0, 0.0, 0.0, -1.1474781036376953, -0.38068294525146484, 0.026738375425338745, -0.33807989954948425, 325.0
31304, 0.0, 0.0, -19.039249420166016, 0.0, 0.0, 1.361846923828125, 0.0, 0.0, 0.0, 0.0, -1.1478099822998047, -0.38111352920532227, 0.026795178651809692, -0.3384322226047516, 325.0
31324, 0.0, 0.0, -19.015439987182617, 0.0, 0.0, 1.1278152465820312, 0.0, 0.0, 0.0, 0.0, -1.1475257873535156, -0.38080883026123047, 0.026645630598068237, -0.33610251545906067, 325.0
31344, 0.0, 0.0, -18.99148178100586, 0.0, 0.0, 1.1348724365234375, 0.0, 0.0, 0.0, 0.0, -1.1475563049316406, -0.3808460235595703, 0.026687413454055786, -0.3336164951324463, 325.0
31364, 0.0, 0.0, -18.996490478515625, 0.0, 0.0, -0.237274169921875, 0.0, 0.0, 0.0, 0.0, -1.1474647521972656, -0.38085031509399414, 0.026737868785858154, -0.33443188667297363, 326.0
