timeTick, laserFront
42966, 32766.0
42986, 32766.0
43006, 32766.0
43027, 32766.0
43046, 315.0
43066, 315.0
43086, 315.0
43106, 315.0
43127, 315.0
43146, 323.0
43167, 323.0
43187, 323.0
43206, 323.0
43227, 323.0
43246, 32766.0
43266, 32766.0
43286, 32766.0
43306, 32766.0
43327, 32766.0
43346, 318.0
43366, 318.0
43386, 318.0
43406, 318.0
43426, 318.0
43446, 323.0
43466, 323.0
43486, 323.0
43506, 323.0
43527, 323.0
43546, 318.0
43566, 318.0
43586, 318.0
43606, 318.0
43628, 318.0
43646, 330.0
43666, 330.0
43686, 330.0
43706, 330.0
43727, 330.0
43746, 329.0
43766, 329.0
43786, 329.0
43806, 329.0
43827, 329.0
43846, 327.0
43866, 327.0
43887, 327.0
43906, 327.0
43927, 327.0
43946, 326.0
43967, 326.0
43987, 326.0
44006, 326.0
44027, 326.0
44047, 328.0
44068, 328.0
44086, 328.0
44106, 328.0
44128, 328.0
44146, 329.0
44166, 329.0
44187, 329.0
44206, 329.0
44227, 329.0
44246, 32766.0
44266, 32766.0
44286, 32766.0
44306, 32766.0
44327, 32766.0
44346, 319.0
44366, 319.0
44386, 319.0
44406, 319.0
44427, 319.0
44446, 328.0
44467, 328.0
44486, 328.0
44506, 328.0
44528, 328.0
44546, 318.0
44567, 318.0
44586, 318.0
44606, 318.0
44627, 318.0
44646, 332.0
44666, 332.0
44686, 332.0
44706, 332.0
44727, 332.0
44746, 328.0
44766, 328.0
44786, 328.0
44806, 328.0
44826, 328.0
44846, 32766.0
44867, 32766.0
44886, 32766.0
44906, 32766.0
44926, 32766.0
44946, 320.0
44967, 320.0
44986, 320.0
45006, 320.0
45026, 320.0
45046, 326.0
45066, 326.0
45086, 326.0
45106, 326.0
45126, 326.0
45146, 324.0
45166, 324.0
45186, 324.0
45206, 324.0
45226, 324.0
45246, 328.0
45268, 328.0
45286, 328.0
45306, 328.0
45326, 328.0
45346, 325.0
45367, 325.0
45386, 325.0
45406, 325.0
45426, 325.0
45446, 317.0
45467, 317.0
45486, 317.0
45506, 317.0
45526, 317.0
45546, 324.0
45567, 324.0
45586, 324.0
45606, 324.0
45626, 324.0
45646, 325.0
45666, 325.0
45686, 325.0
45707, 325.0
45726, 325.0
45746, 321.0
45767, 321.0
45786, 321.0
45806, 321.0
45826, 321.0
45846, 323.0
45866, 323.0
45886, 323.0
45906, 323.0
45926, 323.0
45946, 32766.0
45967, 32766.0
45986, 32766.0
46006, 32766.0
46026, 32766.0
46046, 322.0
46066, 322.0
46086, 322.0
46106, 322.0
46126, 322.0
46146, 320.0
46168, 320.0
46186, 320.0
46207, 320.0
46226, 320.0
46246, 325.0
46268, 325.0
46286, 325.0
46306, 325.0
46326, 325.0
46346, 319.0
46367, 319.0
46386, 319.0
46407, 319.0
46426, 319.0
46446, 314.0
46468, 314.0
46486, 314.0
46506, 314.0
46526, 314.0
46546, 326.0
46567, 326.0
46586, 326.0
46606, 326.0
46626, 326.0
46646, 327.0
46668, 327.0
46686, 327.0
46707, 327.0
46726, 327.0
46746, 321.0
46766, 321.0
46786, 321.0
46806, 321.0
46827, 321.0
46846, 323.0
46867, 323.0
46886, 323.0
46906, 323.0
46926, 323.0
46946, 32766.0
46967, 32766.0
46986, 32766.0
47006, 32766.0
47026, 32766.0
47046, 32766.0
47068, 32766.0
47086, 32766.0
47107, 32766.0
47128, 32766.0
47146, 322.0
47166, 322.0
47186, 322.0
47208, 322.0
47226, 322.0
47246, 323.0
47267, 323.0
47286, 323.0
47306, 323.0
47326, 323.0
47346, 325.0
47368, 325.0
47386, 325.0
47407, 325.0
47428, 325.0
47446, 326.0
47466, 326.0
47486, 326.0
47507, 326.0
47526, 326.0
47546, 327.0
47567, 327.0
47586, 327.0
47607, 327.0
47626, 327.0
47646, 32766.0
47666, 32766.0
47686, 32766.0
47706, 32766.0
47726, 32766.0
47746, 327.0
47766, 327.0
47786, 327.0
47806, 327.0
47826, 327.0
47847, 329.0
47866, 329.0
47886, 329.0
47907, 329.0
47926, 329.0
47946, 329.0
47966, 329.0
47986, 329.0
48006, 329.0
48026, 329.0
48046, 331.0
48067, 331.0
48086, 331.0
48107, 331.0
48126, 331.0
48146, 32766.0
48166, 32766.0
48186, 32766.0
48206, 32766.0
48226, 32766.0
48246, 327.0
48266, 327.0
48286, 327.0
48308, 327.0
48326, 327.0
48346, 327.0
48366, 327.0
48386, 327.0
48406, 327.0
48426, 327.0
48446, 313.0
48466, 313.0
48486, 313.0
48507, 313.0
48526, 313.0
48547, 298.0
48566, 298.0
48586, 298.0
48606, 298.0
48626, 298.0
48646, 285.0
48666, 285.0
48686, 285.0
48707, 285.0
48726, 285.0
48747, 281.0
48766, 281.0
48786, 281.0
48808, 281.0
48826, 281.0
48847, 335.0
48866, 335.0
48886, 335.0
48907, 335.0
48926, 335.0
48947, 510.0
48966, 510.0
48986, 510.0
49008, 510.0
49026, 510.0
49047, 32766.0
49066, 32766.0
49086, 32766.0
49107, 32766.0
49126, 32766.0
49146, 32766.0
49166, 32766.0
49186, 32766.0
49206, 32766.0
49226, 32766.0
49247, 32766.0
49268, 32766.0
49286, 32766.0
49307, 32766.0
49326, 32766.0
49346, 32766.0
49366, 32766.0
49386, 32766.0
49407, 32766.0
49426, 32766.0
49446, 32766.0
49466, 32766.0
49487, 32766.0
49506, 32766.0
49526, 32766.0
49546, 32766.0
49566, 32766.0
49586, 32766.0
49608, 32766.0
49626, 32766.0
49646, 32766.0
49666, 32766.0
49686, 32766.0
49707, 32766.0
49726, 32766.0
49747, 32766.0
49766, 32766.0
49786, 32766.0
49807, 32766.0
49826, 32766.0
49846, 32766.0
49866, 32766.0
49886, 32766.0
49907, 32766.0
49926, 32766.0
49948, 32766.0
49966, 32766.0
49986, 32766.0
50009, 32766.0
50026, 32766.0
50048, 32766.0
50066, 32766.0
50086, 32766.0
50106, 32766.0
50126, 32766.0
50147, 32766.0
50166, 32766.0
50186, 32766.0
50206, 32766.0
50226, 32766.0
50246, 32766.0
50266, 32766.0
50286, 32766.0
50307, 32766.0
50326, 32766.0
50347, 32766.0
50366, 32766.0
50387, 32766.0
50408, 32766.0
50426, 32766.0
50448, 32766.0
50466, 32766.0
50486, 32766.0
50506, 32766.0
50526, 32766.0
50546, 32766.0
50566, 32766.0
50586, 32766.0
50606, 32766.0
