timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, yaw, laserFront
207362, 0.0, 0.0, -19.742338180541992, 0.0, 0.0, 0.33397674560546875, 0, 0
207382, 0.0, 0.0, -19.737993240356445, 0.0, 0.0, 0.1338958740234375, -3.4083969593048096, 327.0
207402, 0.0, 0.0, -19.73379135131836, 0.0, 0.0, 0.299835205078125, -3.4099133014678955, 327.0
207422, 0.0, 0.0, -19.72264862060547, 0.0, 0.0, 0.8443832397460938, -3.409125804901123, 327.0
207442, 0.0, 0.0, -19.707937240600586, 0.0, 0.0, 0.7112503051757812, -3.4089057445526123, 327.0
207462, 0.0, 0.0, -19.69468116760254, 0.0, 0.0, 0.6855010986328125, -3.409080982208252, 323.0
207482, 0.0, 0.0, -19.68760871887207, 0.0, 0.0, 0.0904083251953125, -3.4085354804992676, 323.0
207502, 0.0, 0.0, -19.69399070739746, 0.0, 0.0, -0.7196426391601562, -3.4097113609313965, 323.0
207522, 0.0, 0.0, -19.705476760864258, 0.0, 0.0, -0.5008697509765625, -3.4098055362701416, 323.0
207542, 0.0, 0.0, -19.70474624633789, 0.0, 0.0, 0.5237579345703125, -3.4102866649627686, 323.0
207562, 0.0, 0.0, -19.69305419921875, 0.0, 0.0, 0.6977081298828125, -3.4100589752197266, 325.0
207582, 0.0, 0.0, -19.68741226196289, 0.0, 0.0, -0.0637054443359375, -3.409627676010132, 325.0
207602, 0.0, 0.0, -19.69150733947754, 0.0, 0.0, -0.35228729248046875, -3.408792495727539, 325.0
207622, 0.0, 0.0, -19.698898315429688, 0.0, 0.0, -0.42209625244140625, -3.4087026119232178, 325.0
207642, 0.0, 0.0, -19.70611572265625, 0.0, 0.0, -0.341796875, -3.409144401550293, 325.0
207662, 0.0, 0.0, -19.71196174621582, 0.0, 0.0, -0.276947021484375, -3.410477638244629, 329.0
207682, 0.0, 0.0, -19.72079849243164, 0.0, 0.0, -0.6343841552734375, -3.4114913940429688, 329.0
207702, 0.0, 0.0, -19.726177215576172, 0.0, 0.0, 0.03299713134765625, -3.4129478931427, 329.0
207722, 0.0, 0.0, -19.733816146850586, 0.0, 0.0, -0.79345703125, -3.4134223461151123, 329.0
207742, 0.0, 0.0, -19.74109649658203, 0.0, 0.0, -0.01392364501953125, -3.413930892944336, 329.0
207762, 0.0, 0.0, -19.74461555480957, 0.0, 0.0, -0.33931732177734375, -3.412968635559082, 330.0
207782, 0.0, 0.0, -19.75643539428711, 0.0, 0.0, -0.8764266967773438, -3.413968324661255, 330.0
207802, 0.0, 0.0, -19.765405654907227, 0.0, 0.0, -0.10833740234375, -3.414403200149536, 330.0
207822, 0.0, 0.0, -19.76725959777832, 0.0, 0.0, -0.087738037109375, -3.4151458740234375, 330.0
207842, 0.0, 0.0, -19.76766586303711, 0.0, 0.0, 0.03833770751953125, -3.415651798248291, 330.0
207862, 0.0, 0.0, -19.764278411865234, 0.0, 0.0, 0.304412841796875, -3.4150004386901855, 326.0
