timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX, otY, otZ, yaw, laserFront
235561, 0.0, 0.0, -20.833280563354492, 0.0, 0.0, -0.42476654052734375, 0, 0, 0, 0, 0
235581, 0.0, 0.0, -20.841909408569336, 0.0, 0.0, -0.48065185546875, -1.4733009338378906, -0.9874515533447266, 0.0218675434589386, -2.677234649658203, 295.0
235601, 0.0, 0.0, -20.84356689453125, 0.0, 0.0, 0.26683807373046875, -1.4733409881591797, -0.9876232147216797, 0.02190384268760681, -2.6783571243286133, 295.0
235621, 0.0, 0.0, -20.84146499633789, 0.0, 0.0, -0.02994537353515625, -1.4732093811035156, -0.9874534606933594, 0.021836310625076294, -2.6794912815093994, 295.0
235641, 0.0, 0.0, -20.847719192504883, 0.0, 0.0, -0.5985260009765625, -1.4732532501220703, -0.9874935150146484, 0.021578431129455566, -2.6774535179138184, 295.0
235661, 0.0, 0.0, -20.85877227783203, 0.0, 0.0, -0.5666732788085938, -1.4731178283691406, -0.9875526428222656, 0.021876603364944458, -2.6774981021881104, 295.0
235681, 0.0, 0.0, -20.871196746826172, 0.0, 0.0, -0.732421875, -1.4733428955078125, -0.9873867034912109, 0.02172750234603882, -2.6777989864349365, 295.0
235701, 0.0, 0.0, -20.882354736328125, 0.0, 0.0, -0.4566192626953125, -1.4732322692871094, -0.9874629974365234, 0.021589696407318115, -2.6786012649536133, 295.0
235721, 0.0, 0.0, -20.880319595336914, 0.0, 0.0, 0.6143569946289062, -1.4731903076171875, -0.9875030517578125, 0.0218525230884552, -2.6798806190490723, 295.0
235741, 0.0, 0.0, -20.87664794921875, 0.0, 0.0, -0.1857757568359375, -1.473175048828125, -0.9876213073730469, 0.02168974280357361, -2.6816554069519043, 295.0
235761, 0.0, 0.0, -20.879552841186523, 0.0, 0.0, -0.1232147216796875, -1.4731311798095703, -0.9875984191894531, 0.02170848846435547, -2.6818466186523438, 301.0
235781, 0.0, 0.0, -20.87482452392578, 0.0, 0.0, 0.583648681640625, -1.4731578826904297, -0.9874858856201172, 0.021754086017608643, -2.6826608180999756, 301.0
235801, 0.0, 0.0, -20.861835479736328, 0.0, 0.0, 0.77362060546875, -1.4732017517089844, -0.9875030517578125, 0.02180340886116028, -2.682394027709961, 301.0
235821, 0.0, 0.0, -20.849700927734375, 0.0, 0.0, 0.51727294921875, -1.4731559753417969, -0.987457275390625, 0.021554559469223022, -2.682466506958008, 301.0
235841, 0.0, 0.0, -20.837575912475586, 0.0, 0.0, 0.746917724609375, -1.4733123779296875, -0.9874210357666016, 0.02180999517440796, -2.682847499847412, 301.0
