timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw, laserFront
429542, -1.5584149360656738, -2.030074119567871, 0.008504797704517841, 0.00010490405111340806, 0.0020390565041452646, -3.1577998015563935e-05, 0, 0, 0, 0, 0, 0, 0, 0
429561, -1.558356761932373, -2.030057191848755, 0.008518516086041927, 0.000270575110334903, 0.005830457434058189, 0.0002651710528880358, 157328.0, 120603.9140625, 157448.6875, 156958.75, 146799.1875, 156421.375, -0.1581229865550995, 321.0
429581, -1.558332920074463, -2.0299339294433594, 0.008567124605178833, 0.0011269915848970413, 0.010521341115236282, 0.00022408462245948613, 157328.0, 120606.8984375, 157444.859375, 156965.671875, 146802.3125, 156418.890625, -0.29222461581230164, 321.0
429601, -1.55832040309906, -2.0297324657440186, 0.00854406040161848, 0.0017923408886417747, 0.01614815555512905, 7.107108103809878e-06, 157328.0, 120606.8984375, 157446.765625, 156962.03125, 146799.640625, 156421.96875, -0.37618592381477356, 321.0
429621, -1.5582753419876099, -2.0294506549835205, 0.008535098284482956, 0.002999174175783992, 0.022251371294260025, -0.00015911280934233218, 157329.90625, 120600.234375, 157446.765625, 156961.25, 146806.5625, 156410.265625, -0.47195062041282654, 321.0
429641, -1.5582281351089478, -2.029052734375, 0.00850697048008442, 0.003976707812398672, 0.02837206795811653, -0.0003588081744965166, 157329.90625, 120607.6640625, 157448.6875, 156960.6875, 146796.734375, 156424.59375, -0.5560365915298462, 321.0
429661, -1.558153748512268, -2.02860689163208, 0.00851574819535017, 0.005229330621659756, 0.03471008315682411, -0.0007030855631455779, 157329.90625, 120606.8984375, 157446.765625, 156961.25, 146809.46875, 156422.6875, -0.6108610033988953, 318.0
429682, -1.5580538511276245, -2.028050184249878, 0.008488815277814865, 0.006560092326253653, 0.04081066697835922, -0.0011710328981280327, 157329.90625, 120611.34375, 157448.6875, 156957.609375, 146796.0625, 156423.28125, -0.6744818687438965, 318.0
429701, -1.557938575744629, -2.0274722576141357, 0.0084721390157938, 0.007828589528799057, 0.04670918360352516, -0.0013742275768890977, 157331.828125, 120604.6796875, 157450.609375, 156968.171875, 146808.34375, 156422.6875, -0.7289955019950867, 318.0
429721, -1.5578023195266724, -2.026731252670288, 0.008447028696537018, 0.008762995712459087, 0.052598364651203156, -0.0016265797894448042, 157328.0, 120601.7265625, 157450.609375, 156970.671875, 146799.1875, 156428.25, -0.767466127872467, 318.0
429741, -1.557680368423462, -2.026165723800659, 0.00841725803911686, 0.010485460050404072, 0.05666641891002655, -0.0016507008112967014, 157329.90625, 120598.0078125, 157448.6875, 156961.25, 146805.890625, 156425.171875, -0.8142260313034058, 318.0
429761, -1.5575381517410278, -2.0254921913146973, 0.008382231928408146, 0.011291797272861004, 0.060648202896118164, -0.0017243250040337443, 157326.078125, 120600.9609375, 157448.6875, 156968.171875, 146796.0625, 156415.828125, -0.854728639125824, 317.0
429781, -1.557423710823059, -2.0249640941619873, 0.008375830948352814, 0.011714098043739796, 0.06318938732147217, -0.001895206980407238, 157328.0, 120603.9453125, 157448.6875, 156970.671875, 146799.84375, 156413.34375, -0.8826236724853516, 317.0
429801, -1.5573500394821167, -2.0246455669403076, 0.008408615365624428, 0.011779926717281342, 0.0644257515668869, -0.001455716323107481, 157333.734375, 120602.453125, 157450.609375, 156964.53125, 146806.5625, 156408.359375, -0.9088758230209351, 317.0
429821, -1.557310700416565, -2.024423360824585, 0.008371404372155666, 0.01205781102180481, 0.06435950100421906, -0.00150753790512681, 157329.90625, 120610.6171875, 157442.9375, 156970.09375, 146803.4375, 156425.171875, -0.9420157670974731, 317.0
429841, -1.5571973323822021, -2.0238897800445557, 0.008378228172659874, 0.012324413284659386, 0.06576117873191833, -0.0014037017244845629, 157329.90625, 120604.6796875, 157448.6875, 156960.109375, 146804.09375, 156425.765625, -0.9715372323989868, 317.0
429861, -1.5571891069412231, -2.0238821506500244, 0.008393710479140282, 0.012283394113183022, 0.06433063745498657, -0.0012454156531021, 157328.0, 120600.9921875, 157448.6875, 156963.75, 146803.4375, 156423.28125, -0.9900325536727905, 318.0
429881, -1.5571233034133911, -2.023533344268799, 0.00835817214101553, 0.012468196451663971, 0.0649380311369896, -0.0011865792330354452, 157328.0, 120606.171875, 157448.6875, 156950.703125, 146803.4375, 156437.609375, -1.015384554862976, 318.0
429901, -1.5570931434631348, -2.0235581398010254, 0.008371453732252121, 0.012723052874207497, 0.06301916390657425, -0.0009572372073307633, 157329.90625, 120603.1796875, 157446.765625, 156959.546875, 146804.546875, 156410.84375, -1.0316953659057617, 318.0
429921, -1.5571088790893555, -2.0236947536468506, 0.008380241692066193, 0.012371682561933994, 0.06086382269859314, -0.0005949249025434256, 157329.90625, 120602.453125, 157448.6875, 156963.171875, 146798.515625, 156422.6875, -1.0539138317108154, 318.0
429941, -1.5570423603057861, -2.023474931716919, 0.00840624887496233, 0.012601910158991814, 0.06063583493232727, -0.000724924961104989, 157331.828125, 120606.171875, 157452.53125, 156956.265625, 146793.609375, 156425.765625, -1.0732839107513428, 318.0
429961, -1.5570604801177979, -2.023719072341919, 0.00841618049889803, 0.012177678756415844, 0.05800744146108627, -0.0004832650884054601, 157329.90625, 120603.9453125, 157446.765625, 156965.109375, 146802.765625, 156420.203125, -1.089652180671692, 321.0
429981, -1.55701744556427, -2.0235540866851807, 0.008436750620603561, 0.0121689448133111, 0.05772345885634422, -0.000308496062643826, 157331.828125, 120602.453125, 157450.609375, 156965.109375, 146803.4375, 156415.234375, -1.1059244871139526, 321.0
