timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, laserFront
810291, 157617.75, 119040.6484375, 157746.84375, 155536.859375, 144115.59375, 154443.171875, 321.0
810301, 157617.75, 119039.9140625, 157746.84375, 155533.59375, 144119.8125, 154452.515625, 321.0
810312, 157619.671875, 119039.1640625, 157748.765625, 155526.109375, 144113.828125, 154450.03125, 321.0
810323, 157619.671875, 119039.9140625, 157748.765625, 155529.9375, 144122.265625, 154463.734375, 321.0
810334, 157621.59375, 119036.953125, 157748.765625, 155524.1875, 144114.921875, 154457.484375, 321.0
810341, 157621.59375, 119036.953125, 157748.765625, 155531.09375, 144115.59375, 154445.65625, 321.0
810351, 157619.671875, 119040.6484375, 157746.84375, 155531.09375, 144115.59375, 154445.65625, 321.0
810361, 157621.59375, 119039.9140625, 157746.84375, 155528.609375, 144118.046875, 154440.6875, 319.0
810371, 157615.828125, 119036.21875, 157742.984375, 155523.609375, 144115.59375, 154452.515625, 319.0
810381, 157617.75, 119046.5703125, 157746.84375, 155529.1875, 144119.140625, 154455.0, 319.0
810391, 157623.53125, 119042.1328125, 157744.90625, 155521.109375, 144108.9375, 154448.734375, 319.0
810401, 157621.59375, 119034.0, 157746.84375, 155524.953125, 144112.46875, 154446.25, 319.0
810411, 157619.671875, 119037.6953125, 157746.84375, 155528.609375, 144117.375, 154452.515625, 319.0
810431, 157619.671875, 119032.515625, 157746.84375, 155530.515625, 144121.578125, 154444.453125, 319.0
810441, 157623.53125, 119039.1640625, 157741.046875, 155531.09375, 144113.15625, 154451.21875, 319.0
810451, 157621.59375, 119040.6484375, 157742.984375, 155532.4375, 144114.921875, 154455.0, 319.0
810461, 157617.75, 119031.78125, 157746.84375, 155528.609375, 144113.15625, 154456.875, 320.0
810471, 157617.75, 119042.8671875, 157744.90625, 155526.6875, 144115.59375, 154455.0, 320.0
810481, 157619.671875, 119039.1640625, 157742.984375, 155526.6875, 144121.578125, 154448.140625, 320.0
810491, 157621.59375, 119036.21875, 157742.984375, 155519.203125, 144108.9375, 154445.65625, 320.0
810501, 157619.671875, 119035.484375, 157746.84375, 155531.09375, 144113.15625, 154462.453125, 320.0
810511, 157621.59375, 119038.4296875, 157750.703125, 155528.609375, 144111.375, 154455.0, 320.0
810521, 157611.984375, 119038.4296875, 157744.90625, 155524.765625, 144114.921875, 154448.140625, 320.0
810531, 157617.75, 119037.6953125, 157744.90625, 155533.59375, 144117.375, 154453.796875, 320.0
810541, 157617.75, 119039.9140625, 157742.984375, 155533.59375, 144117.375, 154453.796875, 320.0
810551, 157619.671875, 119039.1796875, 157746.84375, 155529.765625, 144108.9375, 154452.515625, 320.0
810561, 157617.75, 119032.515625, 157742.984375, 155531.6875, 144117.375, 154455.0, 322.0
810572, 157615.828125, 119041.3984375, 157746.84375, 155530.515625, 144106.484375, 154452.515625, 322.0
810581, 157615.828125, 119041.3984375, 157748.765625, 155528.609375, 144113.15625, 154452.515625, 322.0
810591, 157619.671875, 119039.9140625, 157748.765625, 155521.6875, 144114.921875, 154458.671875, 322.0
810601, 157621.59375, 119036.953125, 157744.90625, 155530.515625, 144108.25, 154455.0, 322.0
810612, 157617.75, 119039.9140625, 157746.84375, 155535.515625, 144106.484375, 154446.25, 322.0
810621, 157615.828125, 119034.734375, 157744.90625, 155521.109375, 144106.484375, 154455.59375, 322.0
810631, 157615.828125, 119034.734375, 157744.90625, 155533.015625, 144114.234375, 154454.390625, 322.0
810641, 157617.75, 119039.9140625, 157744.90625, 155521.109375, 144114.921875, 154457.484375, 322.0
810651, 157621.59375, 119034.734375, 157742.984375, 155533.59375, 144111.375, 154435.71875, 322.0
810662, 157617.75, 119037.6953125, 157742.984375, 155537.25, 144113.828125, 154448.140625, 326.0
810671, 157617.75, 119037.6953125, 157742.984375, 155534.9375, 144110.703125, 154451.90625, 326.0
810681, 157617.75, 119037.6953125, 157744.90625, 155526.109375, 144113.15625, 154440.6875, 326.0
810691, 157617.75, 119044.3515625, 157746.84375, 155531.09375, 144113.15625, 154446.25, 326.0
810701, 157623.53125, 119040.6484375, 157746.84375, 155523.609375, 144111.375, 154453.109375, 326.0
810712, 157619.671875, 119035.484375, 157746.84375, 155535.515625, 144108.9375, 154450.625, 326.0
810722, 157617.75, 119037.6953125, 157746.84375, 155525.53125, 144115.59375, 154453.796875, 326.0
810731, 157617.75, 119039.9140625, 157748.765625, 155526.6875, 144115.59375, 154455.59375, 326.0
810741, 157619.671875, 119038.4296875, 157746.84375, 155527.265625, 144110.015625, 154450.03125, 326.0
810751, 157619.671875, 119041.3984375, 157744.90625, 155531.09375, 144114.234375, 154438.796875, 326.0
810761, 157619.671875, 119037.6953125, 157741.046875, 155525.53125, 144110.703125, 154445.65625, 316.0
810771, 157619.671875, 119042.8671875, 157746.84375, 155521.109375, 144104.03125, 154463.734375, 316.0
810781, 157617.75, 119033.265625, 157744.90625, 155521.109375, 144104.03125, 154463.734375, 316.0
810791, 157619.671875, 119027.3515625, 157744.90625, 155526.6875, 144113.15625, 154445.0625, 316.0
810801, 157621.59375, 119031.78125, 157748.765625, 155526.6875, 144113.15625, 154445.0625, 316.0
810812, 157617.75, 119034.0, 157746.84375, 155525.53125, 144115.59375, 154451.90625, 316.0
810821, 157617.75, 119031.78125, 157744.90625, 155519.203125, 144108.25, 154447.546875, 316.0
810831, 157615.828125, 119040.6484375, 157746.84375, 155528.609375, 144107.5625, 154452.515625, 316.0
810841, 157617.75, 119034.734375, 157744.90625, 155528.03125, 144108.25, 154449.421875, 316.0
810851, 157617.75, 119038.4296875, 157746.84375, 155533.015625, 144112.46875, 154448.140625, 316.0
810861, 157617.75, 119032.515625, 157746.84375, 155531.09375, 144113.15625, 154450.03125, 319.0
810871, 157621.59375, 119037.6953125, 157742.984375, 155535.515625, 144115.59375, 154457.484375, 319.0
810881, 157619.671875, 119036.953125, 157746.84375, 155528.609375, 144107.5625, 154436.921875, 319.0
810891, 157617.75, 119034.0, 157746.84375, 155524.1875, 144113.546875, 154450.03125, 319.0
810901, 157621.59375, 119034.0, 157742.984375, 155526.6875, 144113.15625, 154439.40625, 319.0
810921, 157621.59375, 119041.3984375, 157746.84375, 155535.515625, 144115.59375, 154452.515625, 319.0
810931, 157619.671875, 119032.515625, 144107.5625, 155530.515625, 144108.9375, 154453.109375, 319.0
810941, 157621.59375, 119033.265625, 157748.765625, 155524.1875, 144108.9375, 154453.109375, 319.0
810951, 157615.828125, 119031.78125, 157746.84375, 155531.6875, 144108.25, 154455.0, 319.0
810961, 157619.671875, 119031.78125, 157746.84375, 155530.515625, 144111.375, 154459.359375, 318.0
810971, 157619.671875, 119028.8203125, 157746.84375, 155528.609375, 144106.484375, 154459.359375, 318.0
810981, 157617.75, 119032.515625, 157744.90625, 155538.015625, 144108.25, 154445.0625, 318.0
810991, 157619.671875, 119039.1796875, 157746.84375, 155531.09375, 144120.90625, 154447.546875, 318.0
811001, 157619.671875, 119034.0, 157746.84375, 155524.1875, 144107.5625, 154445.0625, 318.0
811012, 157619.671875, 119036.21875, 157746.84375, 155529.1875, 144108.25, 154458.765625, 318.0
811021, 157617.75, 119037.6953125, 157744.90625, 155535.515625, 144101.578125, 154453.109375, 318.0
811031, 157621.59375, 119029.5625, 157746.84375, 155535.515625, 144101.578125, 154453.109375, 318.0
811041, 157617.75, 119039.1796875, 157748.765625, 155540.515625, 144112.46875, 154447.546875, 318.0
811052, 157617.75, 119034.0, 157744.90625, 155536.09375, 144108.25, 154450.03125, 318.0
811061, 157619.671875, 119035.484375, 157744.90625, 155528.609375, 144114.234375, 154440.09375, 322.0
811073, 157617.75, 119034.0, 157746.84375, 155528.609375, 144112.46875, 154450.03125, 322.0
811081, 157617.75, 119034.0, 157746.84375, 155534.171875, 144110.703125, 154452.515625, 322.0
811091, 157619.671875, 119036.953125, 157744.90625, 155533.015625, 144113.15625, 154451.90625, 322.0
811101, 157617.75, 119038.4296875, 157746.84375, 155534.171875, 144109.328125, 154447.546875, 322.0
811111, 157619.671875, 119033.265625, 157746.84375, 155529.9375, 144113.15625, 154456.875, 322.0
811121, 157617.75, 119031.046875, 157746.84375, 155535.515625, 144110.703125, 154456.875, 322.0
811131, 157617.75, 119031.78125, 157746.84375, 155529.1875, 144113.15625, 154447.546875, 322.0
811141, 157617.75, 119036.21875, 157746.84375, 155531.09375, 144108.25, 154454.390625, 322.0
811151, 157619.671875, 119040.6484375, 157748.765625, 155533.59375, 144116.6875, 154452.515625, 322.0
811162, 157619.671875, 119033.25, 157746.84375, 155526.6875, 144107.5625, 154443.171875, 322.0
811172, 157619.671875, 119029.5625, 157748.765625, 155529.1875, 144108.9375, 154447.546875, 322.0
811181, 157617.75, 119035.484375, 157746.84375, 155531.09375, 144114.234375, 154443.765625, 322.0
811191, 157617.75, 119035.484375, 157744.90625, 155531.6875, 144112.46875, 154447.546875, 322.0
811201, 157621.59375, 119029.5625, 157746.84375, 155528.609375, 144112.46875, 154450.03125, 322.0
811212, 157615.828125, 119029.5625, 157748.765625, 155529.1875, 144112.46875, 154456.875, 322.0
811221, 157619.671875, 119031.78125, 157746.84375, 155529.1875, 144112.46875, 154456.875, 322.0
811231, 157615.828125, 119040.6484375, 157744.90625, 155536.671875, 144112.46875, 154447.546875, 322.0
811241, 157617.75, 119034.734375, 157744.90625, 155538.015625, 144104.03125, 154444.453125, 322.0
811251, 157619.671875, 119038.4296875, 157746.84375, 155538.015625, 144104.03125, 154444.453125, 322.0
811262, 157619.671875, 119036.21875, 157742.984375, 155533.015625, 144110.015625, 154445.65625, 320.0
811271, 157619.671875, 119034.0, 157744.90625, 155531.09375, 144105.796875, 154447.546875, 320.0
811281, 157615.828125, 119033.265625, 157746.84375, 155531.09375, 144105.796875, 154447.546875, 320.0
811291, 157617.75, 119030.296875, 157746.84375, 155523.03125, 144108.25, 154445.65625, 320.0
811301, 157617.75, 119034.0, 157746.84375, 155533.59375, 144105.109375, 154446.9375, 320.0
811311, 157617.75, 119036.21875, 157744.90625, 155528.609375, 144113.15625, 154446.9375, 320.0
811321, 157617.75, 119038.4453125, 157744.90625, 155524.1875, 144106.484375, 154453.109375, 320.0
811331, 157619.671875, 119037.6953125, 157746.84375, 155528.609375, 144114.921875, 154442.578125, 320.0
811341, 157617.75, 119036.21875, 157746.84375, 155531.6875, 144105.796875, 154440.6875, 320.0
811351, 157619.671875, 119031.78125, 157746.84375, 155535.515625, 144105.796875, 154449.421875, 320.0
811361, 157617.75, 119034.0, 157744.90625, 155529.1875, 144120.90625, 154448.140625, 314.0
811371, 157621.59375, 119041.3984375, 157741.046875, 155526.6875, 144109.328125, 154448.140625, 314.0
811381, 157619.671875, 119034.734375, 157744.90625, 155529.1875, 144108.9375, 154445.0625, 314.0
811391, 157619.671875, 119029.5625, 157748.765625, 155533.59375, 144114.921875, 154432.640625, 314.0
811401, 157623.53125, 119036.9609375, 157750.703125, 155533.59375, 144111.375, 154452.515625, 314.0
811411, 157617.75, 119033.265625, 157744.90625, 155533.59375, 144109.328125, 154443.171875, 314.0
811421, 157615.828125, 119031.78125, 157744.90625, 155531.6875, 144101.578125, 154447.546875, 314.0
811431, 157617.75, 119031.78125, 157748.765625, 155531.09375, 144100.890625, 154451.90625, 314.0
811441, 157619.671875, 119034.75, 157746.84375, 155526.6875, 144114.921875, 154448.140625, 314.0
811451, 157617.75, 119030.3125, 157746.84375, 155528.609375, 144110.015625, 154450.03125, 314.0
811462, 157617.75, 119034.0, 157746.84375, 155531.09375, 144105.109375, 154448.140625, 320.0
811472, 157615.828125, 119031.78125, 157746.84375, 155536.671875, 144112.46875, 154440.6875, 320.0
811481, 157619.671875, 119030.296875, 157746.84375, 155526.6875, 144109.328125, 154449.421875, 320.0
811491, 157619.671875, 119029.5625, 157748.765625, 155526.6875, 144109.328125, 154449.421875, 320.0
811502, 157617.75, 119032.53125, 157746.84375, 155528.609375, 144103.34375, 154455.0, 320.0
811512, 157615.828125, 119031.78125, 157744.90625, 155531.09375, 144110.703125, 154450.03125, 320.0
811521, 157615.828125, 119031.78125, 157744.90625, 155526.109375, 144112.46875, 154446.9375, 320.0
811531, 157619.671875, 119035.46875, 157744.90625, 155526.109375, 144112.46875, 154446.9375, 320.0
811541, 157619.671875, 119034.0, 157744.90625, 155528.609375, 144108.25, 154441.96875, 320.0
811553, 157619.671875, 119038.4453125, 157748.765625, 155521.6875, 144110.703125, 154442.578125, 320.0
811563, 157615.828125, 119025.8671875, 157744.90625, 155529.1875, 144104.03125, 154441.375, 319.0
811573, 157619.671875, 119031.78125, 157741.046875, 155526.6875, 144113.546875, 154440.6875, 319.0
811581, 157619.671875, 119031.78125, 157741.046875, 155528.03125, 144113.15625, 154442.578125, 319.0
811591, 157617.75, 119035.484375, 157744.90625, 155524.765625, 144110.703125, 154454.390625, 319.0
811601, 157613.90625, 119036.2265625, 157748.765625, 155528.03125, 144107.5625, 154446.9375, 319.0
811612, 157621.59375, 119034.0, 157744.90625, 155536.09375, 144099.125, 154428.859375, 319.0
811622, 157617.75, 119034.0, 157746.84375, 155533.015625, 144110.015625, 154439.484375, 319.0
811631, 157617.75, 119035.484375, 157744.90625, 155526.109375, 144115.3125, 154438.203125, 319.0
811651, 157619.671875, 119043.6171875, 157748.765625, 155524.765625, 144117.375, 154440.09375, 319.0
811662, 157617.75, 119036.21875, 157750.703125, 155522.265625, 144100.203125, 154443.765625, 326.0
811671, 157615.828125, 119033.265625, 157744.90625, 155531.09375, 144107.5625, 154448.828125, 326.0
811681, 157617.75, 119034.0, 157746.84375, 155531.09375, 144110.703125, 154450.625, 326.0
811691, 157619.671875, 119037.6953125, 157746.84375, 155533.59375, 144102.65625, 154446.9375, 326.0
811711, 157621.59375, 119036.9609375, 157748.765625, 155526.109375, 144100.203125, 154452.515625, 326.0
811721, 157617.75, 119028.0859375, 157748.765625, 155535.515625, 144101.96875, 154438.796875, 326.0
811731, 157619.671875, 119035.484375, 157744.90625, 155535.515625, 144101.96875, 154438.796875, 326.0
811751, 157615.828125, 119032.515625, 157746.84375, 155532.4375, 144109.328125, 154444.453125, 326.0
811762, 157619.671875, 119034.0, 157744.90625, 155530.515625, 144101.578125, 154443.765625, 331.0
811772, 157619.671875, 119033.25, 157748.765625, 155524.1875, 144105.109375, 154441.96875, 331.0
811781, 157617.75, 119036.9609375, 157741.046875, 155531.09375, 144107.5625, 154440.09375, 331.0
811791, 157619.671875, 119029.5625, 157746.84375, 155530.515625, 144096.671875, 154445.0625, 331.0
811801, 157617.75, 119040.6484375, 157744.90625, 155538.015625, 144108.25, 154449.421875, 331.0
811811, 157619.671875, 119037.6953125, 157746.84375, 155530.515625, 144111.78125, 154448.828125, 331.0
811821, 157619.671875, 119029.5625, 157746.84375, 155526.6875, 144105.796875, 154452.515625, 331.0
811831, 157619.671875, 119037.6953125, 157748.765625, 155533.59375, 144105.109375, 154440.09375, 331.0
811841, 157619.671875, 119031.78125, 157744.90625, 155545.5, 144108.25, 154438.203125, 331.0
811851, 157619.671875, 119036.21875, 157742.984375, 155526.6875, 144110.015625, 154450.625, 331.0
811862, 157621.59375, 119027.3515625, 157748.765625, 155527.265625, 144100.890625, 154436.3125, 323.0
811872, 157619.671875, 119036.9609375, 157744.90625, 155531.09375, 144102.65625, 154442.578125, 323.0
811881, 157617.75, 119039.9140625, 157746.84375, 155532.4375, 144106.875, 154442.578125, 323.0
811891, 157619.671875, 119031.78125, 157744.90625, 155533.59375, 144098.4375, 154442.578125, 323.0
811901, 157619.671875, 119023.6484375, 157744.90625, 155521.6875, 144105.109375, 154435.125, 323.0
811912, 157617.75, 119036.9609375, 157748.765625, 155529.1875, 144107.5625, 154435.71875, 323.0
811921, 157617.75, 119036.9609375, 157748.765625, 155528.609375, 144105.109375, 154443.171875, 323.0
811931, 157617.75, 119039.9140625, 157746.84375, 155528.609375, 144110.015625, 154455.0, 323.0
811941, 157617.75, 119032.53125, 157746.84375, 155529.9375, 144105.109375, 154437.609375, 323.0
811961, 157617.75, 119031.78125, 157746.84375, 155528.609375, 144110.015625, 154450.03125, 330.0
811971, 157619.671875, 119035.484375, 157744.90625, 155528.609375, 144110.015625, 154450.03125, 330.0
811981, 157617.75, 119032.515625, 157746.84375, 155531.6875, 144107.5625, 154440.6875, 330.0
811991, 157619.671875, 119028.828125, 157742.984375, 155528.609375, 144106.875, 154441.96875, 330.0
812003, 157617.75, 119028.828125, 157742.984375, 155529.1875, 144105.796875, 154444.453125, 330.0
812013, 157615.828125, 119036.21875, 157746.84375, 155523.03125, 144107.5625, 154437.609375, 330.0
812023, 157623.53125, 119031.046875, 157746.84375, 155530.515625, 144112.46875, 154440.09375, 330.0
812031, 157623.53125, 119031.046875, 157746.84375, 155530.515625, 144112.46875, 154440.09375, 330.0
812041, 157619.671875, 119037.6953125, 157746.84375, 155524.1875, 144108.640625, 154443.859375, 330.0
812051, 157615.828125, 119030.296875, 157746.84375, 155533.015625, 144104.03125, 154437.0, 330.0
812061, 157617.75, 119031.78125, 157742.984375, 155533.015625, 144105.109375, 154433.234375, 317.0
812071, 157619.671875, 119033.265625, 157748.765625, 155535.515625, 144101.578125, 154437.609375, 317.0
812081, 157621.59375, 119032.515625, 157744.90625, 155526.109375, 144107.5625, 154451.90625, 317.0
812091, 157619.671875, 119031.046875, 157742.984375, 155521.109375, 144118.453125, 154440.09375, 317.0
812101, 157619.671875, 119042.1328125, 157746.84375, 155525.53125, 144112.46875, 154442.578125, 317.0
812111, 157617.75, 119035.484375, 157746.84375, 155533.015625, 144103.34375, 154442.578125, 317.0
812121, 157617.75, 119031.78125, 157748.765625, 155529.1875, 144104.03125, 154437.609375, 317.0
812131, 157621.59375, 119031.046875, 157748.765625, 155529.1875, 144100.203125, 154449.421875, 317.0
812141, 157619.671875, 119034.0, 157741.046875, 155530.515625, 144110.015625, 154442.578125, 317.0
812151, 157619.671875, 119029.5625, 157746.84375, 155533.015625, 144102.65625, 154441.28125, 317.0
812162, 157615.828125, 119031.78125, 157746.84375, 155531.09375, 144102.65625, 154445.65625, 317.0
812171, 157617.75, 119034.0, 157748.765625, 155531.09375, 144103.34375, 154441.96875, 317.0
812181, 157617.75, 119037.6953125, 157746.84375, 155521.6875, 144102.65625, 154442.578125, 317.0
812191, 157619.671875, 119033.265625, 157746.84375, 155534.171875, 144111.78125, 154437.609375, 317.0
812202, 157619.671875, 119028.828125, 157742.984375, 155528.609375, 144105.796875, 154446.34375, 317.0
812212, 157615.828125, 119034.0, 157746.84375, 155528.609375, 144100.890625, 154452.515625, 317.0
812221, 157619.671875, 119028.0859375, 157748.765625, 155531.09375, 144100.203125, 154442.578125, 317.0
812231, 157619.671875, 119037.6953125, 157748.765625, 155531.09375, 144100.203125, 154442.578125, 317.0
812241, 157615.828125, 119035.484375, 157746.84375, 155533.015625, 144108.25, 154444.453125, 317.0
812251, 157619.671875, 119027.3515625, 157744.90625, 155526.6875, 144102.65625, 154445.0625, 317.0
812261, 157619.671875, 119031.78125, 157748.765625, 155521.6875, 144104.421875, 154447.546875, 313.0
812271, 157619.671875, 119031.046875, 157746.84375, 155521.6875, 144101.578125, 154443.171875, 313.0
812281, 157619.671875, 119037.6953125, 157744.90625, 155524.1875, 144107.5625, 154444.453125, 313.0
812291, 157619.671875, 119036.21875, 157744.90625, 155526.6875, 144105.109375, 154443.859375, 313.0
812301, 157617.75, 119030.296875, 157742.984375, 155533.015625, 144103.34375, 154442.578125, 313.0
812311, 157617.75, 119034.0, 157744.90625, 155526.109375, 144100.890625, 154437.609375, 313.0
812322, 157615.828125, 119039.1796875, 157744.90625, 155528.609375, 144105.796875, 154437.609375, 313.0
812331, 157619.671875, 119028.828125, 157746.84375, 155526.109375, 144100.890625, 154441.96875, 313.0
812341, 157619.671875, 119028.828125, 157746.84375, 155531.09375, 144105.109375, 154441.96875, 313.0
812352, 157617.75, 119028.828125, 157746.84375, 155524.1875, 144111.78125, 154448.140625, 313.0
812362, 157615.828125, 119043.6171875, 157750.703125, 155524.1875, 144105.109375, 154447.546875, 329.0
812371, 157615.828125, 119043.6171875, 157750.703125, 155533.015625, 144102.65625, 154440.6875, 329.0
812381, 157621.59375, 119031.046875, 157748.765625, 155529.1875, 144104.421875, 154444.453125, 329.0
812391, 157621.59375, 119022.9140625, 157748.765625, 155523.609375, 144107.5625, 154442.578125, 329.0
812402, 157615.828125, 119035.484375, 157750.703125, 155523.609375, 144109.328125, 154445.0625, 329.0
812412, 157617.75, 119037.6953125, 157744.90625, 155521.6875, 144096.671875, 154441.96875, 329.0
812423, 157617.75, 119029.5625, 157746.84375, 155525.53125, 144103.34375, 154439.484375, 329.0
812431, 157617.75, 119029.5625, 157746.84375, 155528.609375, 144097.765625, 154445.0625, 329.0
812451, 157615.828125, 119031.78125, 157744.90625, 155521.109375, 144106.875, 154442.578125, 329.0
812463, 157619.671875, 119029.5625, 157744.90625, 155523.609375, 144110.015625, 154445.0625, 320.0
812471, 157615.828125, 119032.515625, 157748.765625, 155523.609375, 144105.796875, 154441.96875, 320.0
812481, 157615.828125, 119038.4296875, 157744.90625, 155523.609375, 144105.796875, 154441.96875, 320.0
812491, 157619.671875, 119034.0, 157746.84375, 155522.453125, 144101.578125, 154437.609375, 320.0
812501, 157617.75, 119029.5625, 157746.84375, 155524.1875, 144103.34375, 154451.3125, 320.0
