timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, yaw, laserFront
163750, 0.0, 0.0, -19.02322769165039, 0.0, 0.0, -0.45642852783203125, 0, 0
163770, 0.0, 0.0, -19.032947540283203, 0.0, 0.0, -0.5611419677734375, -2.6724462509155273, 324.0
163790, 0.0, 0.0, -19.047739028930664, 0.0, 0.0, -0.9740829467773438, -2.674651861190796, 324.0
163810, 0.0, 0.0, -19.05892562866211, 0.0, 0.0, -0.24204254150390625, -2.6733169555664062, 324.0
163830, 0.0, 0.0, -19.063613891601562, 0.0, 0.0, -0.25081634521484375, -2.672427177429199, 324.0
163850, 0.0, 0.0, -19.06052017211914, 0.0, 0.0, 0.5350112915039062, -2.6728861331939697, 324.0
163870, 0.0, 0.0, -19.053558349609375, 0.0, 0.0, 0.21457672119140625, -2.6731393337249756, 323.0
163890, 0.0, 0.0, -19.056995391845703, 0.0, 0.0, -0.5369186401367188, -2.6738436222076416, 323.0
163910, 0.0, 0.0, -19.058523178100586, 0.0, 0.0, 0.33054351806640625, -2.6753437519073486, 323.0
163930, 0.0, 0.0, -19.05451011657715, 0.0, 0.0, 0.103759765625, -2.6760549545288086, 323.0
163950, 0.0, 0.0, -19.050003051757812, 0.0, 0.0, 0.3574371337890625, -2.6770548820495605, 323.0
163970, 0.0, 0.0, -19.044984817504883, 0.0, 0.0, 0.18024444580078125, -2.6785314083099365, 319.0
163990, 0.0, 0.0, -19.051746368408203, 0.0, 0.0, -0.8382797241210938, -2.6785666942596436, 319.0
164010, 0.0, 0.0, -19.071002960205078, 0.0, 0.0, -1.171112060546875, -2.679063081741333, 319.0
164030, 0.0, 0.0, -19.083646774291992, 0.0, 0.0, -0.21038055419921875, -2.6769423484802246, 319.0
164050, 0.0, 0.0, -19.0875186920166, 0.0, 0.0, -0.19779205322265625, -2.678093671798706, 319.0
164070, 0.0, 0.0, -19.09336280822754, 0.0, 0.0, -0.4062652587890625, -2.67950701713562, 329.0
164090, 0.0, 0.0, -19.095115661621094, 0.0, 0.0, 0.1903533935546875, -2.680521011352539, 329.0
164110, 0.0, 0.0, -19.0913143157959, 0.0, 0.0, 0.20885467529296875, -2.6817100048065186, 329.0
164130, 0.0, 0.0, -19.082000732421875, 0.0, 0.0, 0.7432937622070312, -2.6827633380889893, 329.0
164150, 0.0, 0.0, -19.066009521484375, 0.0, 0.0, 0.9302139282226562, -2.683588743209839, 329.0
164170, 0.0, 0.0, -19.053112030029297, 0.0, 0.0, 0.45261383056640625, -2.684264659881592, 318.0
164190, 0.0, 0.0, -19.04427719116211, 0.0, 0.0, 0.47607421875, -2.6833510398864746, 318.0
164210, 0.0, 0.0, -19.038597106933594, 0.0, 0.0, 0.139617919921875, -2.6859772205352783, 318.0
164230, 0.0, 0.0, -19.04605484008789, 0.0, 0.0, -0.87127685546875, -2.686485528945923, 318.0
164250, 0.0, 0.0, -19.0628662109375, 0.0, 0.0, -0.8970260620117188, -2.6859211921691895, 318.0
164270, 0.0, 0.0, -19.071643829345703, 0.0, 0.0, -0.07038116455078125, -2.6867103576660156, 330.0
164290, 0.0, 0.0, -19.06601333618164, 0.0, 0.0, 0.626373291015625, -2.686871290206909, 330.0
164310, 0.0, 0.0, -19.05311393737793, 0.0, 0.0, 0.7261276245117188, -2.6887667179107666, 330.0
164330, 0.0, 0.0, -19.043704986572266, 0.0, 0.0, 0.28743743896484375, -2.688373565673828, 330.0
164350, 0.0, 0.0, -19.037696838378906, 0.0, 0.0, 0.3421783447265625, -2.6876657009124756, 330.0
