timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, laserFront
413140, -0.7239204049110413, -7.227779388427734, 0.3683268427848816, 0.2860765755176544, -1.1734838485717773, 0.06618202477693558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
413149, -1.6216752529144287, -1.8797223567962646, 0.011438014917075634, 0.06516216695308685, 0.029282130300998688, 0.006208926439285278, 157454.4375, 120197.1640625, 157575.4375, 156322.796875, 146321.0625, 156007.015625, 0.0, 0.0, 0.0, 0.0, -2.7083282470703125, 317.0
413160, -1.6213527917861938, -1.879746913909912, 0.011475733481347561, 0.06348475068807602, 0.019122041761875153, 0.006635553203523159, 157454.4375, 120197.890625, 157573.515625, 156317.796875, 146311.234375, 156005.703125, 0.0, 0.0, 0.0, 0.0, -2.868736505508423, 317.0
413169, -1.621072769165039, -1.879793405532837, 0.011580066755414009, 0.060418806970119476, 0.01027605589479208, 0.0070538632571697235, 157456.359375, 120204.59375, 157577.359375, 156321.4375, 146303.859375, 156006.296875, 0.0, 0.0, 0.0, 0.0, -3.1668708324432373, 317.0
413179, -1.6208826303482056, -1.8798754215240479, 0.011639733798801899, 0.05230685696005821, 0.004378563724458218, 0.0072483280673623085, 157458.28125, 120201.609375, 157575.4375, 156312.03125, 146314.359375, 155998.25, 0.0, 0.0, 0.0, 0.0, -3.4392690658569336, 317.0
413190, -1.6208691596984863, -1.8799885511398315, 0.011614342220127583, 0.0421137735247612, -0.0018242455553263426, 0.007122138515114784, 157454.4375, 120200.875, 157575.4375, 156316.453125, 146322.171875, 155993.265625, 0.0, 0.0, 0.0, 0.0, -3.666978120803833, 317.0
413200, -1.6206343173980713, -1.8800815343856812, 0.01169106736779213, 0.03847428411245346, -0.004127392545342445, 0.0073733022436499596, 157456.359375, 120202.3671875, 157575.4375, 156330.859375, 146315.484375, 156009.5, 0.0, 0.0, 0.0, 0.0, -3.8756027221679688, 317.0
413209, -1.6207406520843506, -1.8801625967025757, 0.011734808795154095, 0.029736271128058434, -0.005832472816109657, 0.007299799472093582, 157448.6875, 120194.2109375, 157573.515625, 156318.375, 146310.109375, 156003.21875, 0.0, 0.0, 0.0, 0.0, -3.97514009475708, 317.0
413221, -1.6208462715148926, -1.8802553415298462, 0.01173386164009571, 0.023046178743243217, -0.007224930915981531, 0.006688410881906748, 157454.4375, 120192.71875, 157577.359375, 156323.359375, 146313.6875, 156000.734375, 0.0, 0.0, 0.0, 0.0, -4.158659934997559, 317.0
413229, -1.6211882829666138, -1.880313754081726, 0.011753660626709461, 0.014852738939225674, -0.007922771386802197, 0.0063653853721916676, 157454.4375, 120200.1171875, 157577.359375, 156312.03125, 146320.390625, 155995.765625, 0.0, 0.0, 0.0, 0.0, -4.327059268951416, 317.0
413239, -1.6212913990020752, -1.8803164958953857, 0.011740322224795818, 0.01140728872269392, -0.007502675522118807, 0.006010917015373707, 157454.4375, 120201.609375, 157573.515625, 156316.453125, 146318.609375, 156001.453125, 0.0, 0.0, 0.0, 0.0, -4.477983474731445, 317.0
413249, -1.621517300605774, -1.880297064781189, 0.011729396879673004, 0.008353698067367077, -0.00743833975866437, 0.00589670380577445, 157452.53125, 120200.875, 157577.359375, 156315.875, 146309.4375, 156007.015625, 0.0, 0.0, 0.0, 0.0, -4.6164116859436035, 316.0
413260, -1.6215497255325317, -1.8803131580352783, 0.01175118237733841, 0.006752898916602135, -0.007008461281657219, 0.005649721249938011, 157450.609375, 120199.3828125, 157577.359375, 156315.875, 146309.4375, 156007.015625, 0.0, 0.0, 0.0, 0.0, -4.752964019775391, 316.0
413269, -1.621512770652771, -1.8803116083145142, 0.01174059510231018, 0.006219993811100721, -0.006576832849532366, 0.005188253708183765, 157456.359375, 120194.9375, 157577.359375, 156326.4375, 146313.6875, 156002.625, 0.0, 0.0, 0.0, 0.0, -4.816715717315674, 316.0
413279, -1.6216202974319458, -1.8803242444992065, 0.011758266016840935, 0.004085935652256012, -0.006595010869204998, 0.004936933983117342, 157456.359375, 120196.3984375, 157579.28125, 156325.859375, 146311.90625, 155995.765625, 0.0, 0.0, 0.0, 0.0, -4.934374809265137, 316.0
413290, -1.6216543912887573, -1.880371332168579, 0.011734463274478912, 0.0028388958889991045, -0.006701272446662188, 0.004122516606003046, 157458.28125, 120197.1640625, 157579.28125, 156321.4375, 146316.8125, 155998.828125, 0.0, 0.0, 0.0, 0.0, -5.035245418548584, 316.0
413299, -1.6217472553253174, -1.8803154230117798, 0.01170565839856863, 0.0019057107856497169, -0.006341513246297836, 0.0038790761027485132, 157456.359375, 120198.65625, 157577.359375, 156316.453125, 146317.265625, 155998.828125, 0.0, 0.0, 0.0, 0.0, -5.142613887786865, 316.0
413309, -1.621752142906189, -1.8803331851959229, 0.011691609397530556, 0.001478474703617394, -0.006299400702118874, 0.0035123738925904036, 157456.359375, 120199.3828125, 157579.28125, 156315.875, 146306.984375, 155996.484375, 0.0, 0.0, 0.0, 0.0, -5.232455730438232, 316.0
413319, -1.6217997074127197, -1.8803379535675049, 0.011699310503900051, 0.0006487415521405637, -0.006152164191007614, 0.0034401090815663338, 157452.53125, 120197.1640625, 157575.4375, 156324.71875, 146321.734375, 156003.21875, 0.0, 0.0, 0.0, 0.0, -5.321885585784912, 316.0
