timeTick, otX, otY, otZ
114418, -1.1475353240966797, -0.38094425201416016, 0.026369154453277588
114438, -1.147684097290039, -0.38086891174316406, 0.026404768228530884
114458, -1.1474933624267578, -0.38086509704589844, 0.026561051607131958
114478, -1.1475963592529297, -0.3809642791748047, 0.026536941528320312
114498, -1.1475811004638672, -0.38093090057373047, 0.026532530784606934
114518, -1.147623062133789, -0.38082027435302734, 0.02655768394470215
114538, -1.1476802825927734, -0.38073205947875977, 0.026509255170822144
114558, -1.1477031707763672, -0.38092517852783203, 0.02650350332260132
114578, -1.1476974487304688, -0.3808407783508301, 0.026560157537460327
114598, -1.1475296020507812, -0.3808269500732422, 0.02640274167060852
114618, -1.1476917266845703, -0.38089942932128906, 0.02646005153656006
114638, -1.1476573944091797, -0.38090944290161133, 0.026517212390899658
114658, -1.1476058959960938, -0.3809795379638672, 0.02658703923225403
114678, -1.147665023803711, -0.3808779716491699, 0.026446253061294556
114698, -1.1476726531982422, -0.3808455467224121, 0.026497304439544678
114718, -1.1474895477294922, -0.38085222244262695, 0.02672755718231201
114758, -1.147756576538086, -0.38084888458251953, 0.026574909687042236
114778, -1.1475353240966797, -0.3808169364929199, 0.026606708765029907
114798, -1.1477012634277344, -0.38087034225463867, 0.026574134826660156
114818, -1.1477031707763672, -0.38085412979125977, 0.02643042802810669
114838, -1.1475982666015625, -0.38093996047973633, 0.026507318019866943
114858, -1.1476821899414062, -0.38085508346557617, 0.02640599012374878
114878, -1.147695541381836, -0.3808574676513672, 0.02652651071548462
114898, -1.1476707458496094, -0.38086605072021484, 0.02679404616355896
114918, -1.1474552154541016, -0.3807220458984375, 0.026421427726745605
114938, -1.1477031707763672, -0.3809070587158203, 0.026637107133865356
114958, -1.147613525390625, -0.3809633255004883, 0.026657283306121826
114978, -1.1477470397949219, -0.38098669052124023, 0.02652570605278015
114998, -1.1475372314453125, -0.38095808029174805, 0.026574939489364624
115018, -1.1475887298583984, -0.38092851638793945, 0.026349753141403198
115038, -1.1475067138671875, -0.38094663619995117, 0.026462912559509277
115058, -1.1476078033447266, -0.3808293342590332, 0.02679288387298584
115078, -1.147674560546875, -0.3809781074523926, 0.026493877172470093
115098, -1.1476287841796875, -0.3807950019836426, 0.026653945446014404
115118, -1.1475238800048828, -0.38085222244262695, 0.026427417993545532
115138, -1.14764404296875, -0.38083314895629883, 0.02664753794670105
115158, -1.1476917266845703, -0.3809628486633301, 0.026368916034698486
115178, -1.1476707458496094, -0.3809075355529785, 0.026557207107543945
115198, -1.1475467681884766, -0.38088417053222656, 0.026488959789276123
115218, -1.1477546691894531, -0.38088512420654297, 0.026522576808929443
115258, -1.1476707458496094, -0.3808016777038574, 0.026474356651306152
115278, -1.1476936340332031, -0.38091325759887695, 0.026589900255203247
115298, -1.14764404296875, -0.3808917999267578, 0.0265863835811615
115318, -1.1478443145751953, -0.38101625442504883, 0.026772618293762207
115358, -1.1475601196289062, -0.38088321685791016, 0.026412665843963623
115378, -1.1475048065185547, -0.38068199157714844, 0.026411324739456177
115398, -1.1475658416748047, -0.3808779716491699, 0.026504456996917725
115418, -1.1477737426757812, -0.38097190856933594, 0.026390641927719116
115438, -1.1476688385009766, -0.3808474540710449, 0.02649742364883423
115458, -1.1476593017578125, -0.3808732032775879, 0.026496678590774536
115478, -1.1475410461425781, -0.38092899322509766, 0.026484906673431396
115498, -1.1476402282714844, -0.3809638023376465, 0.02660912275314331
115518, -1.1476707458496094, -0.38088083267211914, 0.026457369327545166
115538, -1.1476707458496094, -0.3809018135070801, 0.026504695415496826
115558, -1.147705078125, -0.3809680938720703, 0.02642977237701416
115578, -1.147573471069336, -0.3808469772338867, 0.02671295404434204
115598, -1.1476573944091797, -0.38088178634643555, 0.026482313871383667
115618, -1.147665023803711, -0.38096094131469727, 0.026450425386428833
115638, -1.1476516723632812, -0.3808937072753906, 0.026441574096679688
115658, -1.1475887298583984, -0.3808712959289551, 0.026663661003112793
115678, -1.1474475860595703, -0.38067007064819336, 0.026360660791397095
115698, -1.1476821899414062, -0.38086986541748047, 0.026522904634475708
115718, -1.1475753784179688, -0.3808169364929199, 0.026527822017669678
115738, -1.1476249694824219, -0.38094472885131836, 0.026457160711288452
115758, -1.147613525390625, -0.38088035583496094, 0.026580095291137695
115778, -1.1475753784179688, -0.38076353073120117, 0.026676595211029053
115798, -1.1476287841796875, -0.3808884620666504, 0.026500046253204346
