timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw, laserFront
186550, 157573.515625, 119120.34375, 157690.921875, 156296.5, 144974.390625, 155071.078125, 1.1952488422393799, 300.0
186569, 157575.4375, 119127.0, 157689.0, 156292.078125, 144962.796875, 155074.15625, 1.1966651678085327, 304.0
186589, 157573.515625, 119121.078125, 157692.859375, 156302.84375, 144971.9375, 155074.15625, 1.198975920677185, 304.0
186609, 157573.515625, 119127.0, 157689.0, 156297.84375, 144973.03125, 155081.609375, 1.2018605470657349, 304.0
186629, 157571.59375, 119132.1796875, 157690.921875, 156297.078125, 144975.484375, 155081.015625, 1.2027100324630737, 304.0
186649, 157573.515625, 119137.3515625, 157692.859375, 156303.984375, 144970.578125, 155069.1875, 1.2040503025054932, 304.0
186669, 157569.671875, 119121.828125, 157689.0, 156308.984375, 144969.484375, 155071.671875, 1.2065106630325317, 297.0
186690, 157575.4375, 119127.0, 157690.921875, 156305.90625, 144959.671875, 155081.609375, 1.2095141410827637, 297.0
186709, 157571.59375, 119129.9609375, 157694.78125, 156301.484375, 144962.125, 155069.78125, 1.212154507637024, 297.0
186730, 157571.59375, 119127.7421875, 157687.078125, 156298.421875, 144964.578125, 155085.96875, 1.2157660722732544, 297.0
186749, 157571.59375, 119128.4765625, 157689.0, 156295.921875, 144964.578125, 155071.671875, 1.2191389799118042, 297.0
186770, 157569.671875, 119132.1796875, 157690.921875, 156292.078125, 144977.9375, 155076.640625, 1.2219352722167969, 306.0
186791, 157573.515625, 119122.5625, 157689.0, 156303.421875, 144967.03125, 155078.53125, 1.223312497138977, 306.0
186809, 157569.671875, 119132.1796875, 157692.859375, 156300.921875, 144971.25, 155076.640625, 1.2271270751953125, 306.0
186829, 157567.75, 119126.265625, 157687.078125, 156300.921875, 144971.9375, 155079.125, 1.227800965309143, 306.0
186849, 157571.59375, 119129.9609375, 157690.921875, 156296.5, 144968.796875, 155071.078125, 1.231506109237671, 306.0
186869, 157571.59375, 119132.9140625, 157687.078125, 156303.984375, 144968.796875, 155077.921875, 1.2339811325073242, 301.0
186889, 157575.4375, 119129.9609375, 157690.921875, 156303.984375, 144968.796875, 155077.921875, 1.2343649864196777, 301.0
186909, 157571.59375, 119127.0, 157690.921875, 156308.40625, 144977.25, 155069.1875, 1.2359058856964111, 301.0
186929, 157573.515625, 119132.1796875, 157690.921875, 156306.484375, 144971.25, 155076.046875, 1.2385005950927734, 301.0
186949, 157569.671875, 119132.9140625, 157690.921875, 156301.484375, 144970.15625, 155081.015625, 1.2403560876846313, 301.0
186969, 157569.671875, 119138.8203125, 157690.921875, 156305.90625, 144975.484375, 155078.53125, 1.2421272993087769, 304.0
186990, 157571.59375, 119130.6953125, 157689.0, 156303.421875, 144968.796875, 155069.1875, 1.2424428462982178, 304.0
187009, 157573.515625, 119133.6484375, 157689.0, 156300.921875, 144967.03125, 155076.640625, 1.2443060874938965, 304.0
187030, 157569.671875, 119129.2109375, 157689.0, 156301.484375, 144971.25, 155082.890625, 1.2472848892211914, 304.0
187049, 157569.671875, 119130.6953125, 157690.921875, 156302.84375, 144971.9375, 155074.75, 1.2491191625595093, 304.0
187069, 157573.515625, 119133.6484375, 157690.921875, 156303.421875, 144984.203125, 155074.15625, 1.2499369382858276, 302.0
187090, 157573.515625, 119132.1796875, 157689.0, 156307.828125, 144965.25, 155078.53125, 1.2546674013137817, 302.0
187109, 157571.59375, 119138.09375, 157692.859375, 156308.984375, 144971.25, 155077.921875, 1.2545722723007202, 302.0
187129, 157571.59375, 119132.1796875, 157689.0, 156305.90625, 144967.03125, 155082.296875, 1.258638620376587, 302.0
187149, 157573.515625, 119141.046875, 157690.921875, 156303.984375, 144973.703125, 155081.015625, 1.2632006406784058, 302.0
187169, 157569.671875, 119130.6953125, 157687.078125, 156303.421875, 144977.25, 155076.046875, 1.2633708715438843, 299.0
187189, 157573.515625, 119130.6953125, 157692.859375, 156303.421875, 144977.25, 155076.046875, 1.2665899991989136, 299.0
187209, 157571.59375, 119132.1796875, 157692.859375, 156303.984375, 144969.484375, 155073.5625, 1.269106149673462, 299.0
187230, 157573.515625, 119138.828125, 157690.921875, 156310.90625, 144980.390625, 155086.671875, 1.2713258266448975, 299.0
187249, 157573.515625, 119136.6171875, 157690.921875, 156310.328125, 144973.703125, 155076.640625, 1.272356390953064, 299.0
187270, 157573.515625, 119129.2109375, 157689.0, 156302.0625, 144968.796875, 155074.15625, 1.2750409841537476, 299.0
187291, 157573.515625, 119133.6640625, 157690.921875, 156302.0625, 144968.796875, 155074.15625, 1.2779412269592285, 299.0
187309, 157569.671875, 119133.6484375, 157690.921875, 156311.484375, 144975.0625, 155076.046875, 1.278437614440918, 299.0
187329, 157575.4375, 119134.3984375, 157689.0, 156308.984375, 144977.25, 155073.5625, 1.281083106994629, 299.0
187349, 157569.671875, 119135.8671875, 157689.0, 156313.40625, 144978.609375, 155078.53125, 1.2826149463653564, 299.0
187369, 157573.515625, 119135.1328125, 157689.0, 156308.40625, 144974.796875, 155083.484375, 1.2850050926208496, 304.0
187389, 157569.671875, 119135.1328125, 157690.921875, 156306.484375, 144978.609375, 155081.015625, 1.288684368133545, 304.0
187409, 157571.59375, 119136.6171875, 157689.0, 156320.890625, 144978.609375, 155075.4375, 1.2923921346664429, 304.0
187429, 157573.515625, 119143.265625, 157692.859375, 156311.484375, 144982.15625, 155085.375, 1.2933857440948486, 304.0
187449, 157573.515625, 119135.1328125, 157689.0, 156320.890625, 144973.296875, 155071.671875, 1.2954181432724, 304.0
187469, 157571.59375, 119134.3984375, 157689.0, 156320.890625, 144973.296875, 155071.671875, 1.2973700761795044, 300.0
187491, 157571.59375, 119141.78125, 157689.0, 156307.0625, 144982.15625, 155076.640625, 1.2982715368270874, 300.0
187509, 157573.515625, 119132.9140625, 157690.921875, 156310.90625, 144978.609375, 155076.046875, 1.300689458847046, 300.0
187531, 157571.59375, 119133.6484375, 157689.0, 156311.484375, 144973.296875, 155076.640625, 1.3031095266342163, 300.0
187549, 157569.671875, 119134.3828125, 157690.921875, 156308.984375, 144977.9375, 155078.53125, 1.3054406642913818, 300.0
187569, 157573.515625, 119141.78125, 157687.078125, 156313.40625, 144972.609375, 155080.40625, 1.3067190647125244, 299.0
187590, 157573.515625, 119144.734375, 157690.921875, 156315.90625, 144977.9375, 155081.015625, 1.3103464841842651, 299.0
187609, 157569.671875, 119139.5625, 157689.0, 156315.90625, 144973.703125, 155081.015625, 1.3114233016967773, 299.0
187629, 157575.4375, 119138.09375, 157696.703125, 156318.96875, 144988.421875, 155081.609375, 1.3143885135650635, 299.0
187649, 157571.59375, 119136.6171875, 157690.921875, 156306.484375, 144977.9375, 155077.234375, 1.3162283897399902, 299.0
187669, 157571.59375, 119135.1328125, 157687.078125, 156327.8125, 144969.484375, 155081.015625, 1.3177335262298584, 302.0
187689, 157569.671875, 119139.5625, 157689.0, 156320.890625, 144980.390625, 155080.40625, 1.3194197416305542, 302.0
187709, 157575.4375, 119133.6484375, 157689.0, 156318.96875, 144981.0625, 155083.484375, 1.3216301202774048, 302.0
187730, 157571.59375, 119135.8671875, 157687.078125, 156323.390625, 144981.0625, 155094.03125, 1.3211990594863892, 302.0
187749, 157569.671875, 119133.6484375, 157689.0, 156313.96875, 144982.84375, 155078.53125, 1.3251569271087646, 302.0
187769, 157575.4375, 119133.6484375, 157689.0, 156322.8125, 144982.84375, 155087.859375, 1.3277032375335693, 309.0
187790, 157571.59375, 119132.9140625, 157690.921875, 156323.390625, 144981.0625, 155080.40625, 1.3287538290023804, 309.0
187809, 157571.59375, 119140.296875, 157687.078125, 156325.890625, 144980.390625, 155084.09375, 1.3317853212356567, 309.0
187829, 157573.515625, 119146.21875, 157690.921875, 156325.890625, 144976.84375, 155087.859375, 1.3332922458648682, 309.0
187849, 157573.515625, 119139.5625, 157689.0, 156317.046875, 144985.96875, 155069.1875, 1.3359038829803467, 309.0
187869, 157577.359375, 119139.5625, 157690.921875, 156317.25, 144979.296875, 155082.890625, 1.3381177186965942, 302.0
187889, 157571.59375, 119139.5625, 157694.78125, 156323.96875, 144987.75, 155079.125, 1.3375608921051025, 302.0
187909, 157569.671875, 119141.78125, 157689.0, 156325.3125, 144981.0625, 155081.015625, 1.3398960828781128, 302.0
187930, 157571.59375, 119139.5625, 157694.78125, 156335.296875, 144983.515625, 155079.71875, 1.3412258625030518, 302.0
187949, 157571.59375, 119135.1328125, 157689.0, 156328.390625, 144970.578125, 155083.484375, 1.342358946800232, 302.0
187971, 157571.59375, 119143.265625, 157689.0, 156326.453125, 144981.75, 155074.15625, 1.3441811800003052, 303.0
188009, 157571.59375, 119144.75, 157692.859375, 156328.390625, 144984.609375, 155077.921875, 1.3486735820770264, 303.0
188031, 157571.59375, 119144.0, 157690.921875, 156325.890625, 144984.203125, 155084.6875, 1.3510645627975464, 303.0
188049, 157571.59375, 119139.5625, 157690.921875, 156323.390625, 144981.0625, 155085.375, 1.352766752243042, 303.0
188069, 157571.59375, 119143.265625, 157689.0, 156319.546875, 144985.296875, 155085.96875, 1.3562520742416382, 307.0
188090, 157571.59375, 119146.21875, 157690.921875, 156328.390625, 144981.0625, 155086.578125, 1.3581979274749756, 307.0
188109, 157575.4375, 119147.703125, 157690.921875, 156332.234375, 144987.75, 155084.09375, 1.3614331483840942, 307.0
188129, 157571.59375, 119141.03125, 157689.0, 156326.453125, 144981.75, 155093.421875, 1.3616247177124023, 307.0
188149, 157569.671875, 119139.5625, 157689.0, 156333.375, 144982.84375, 155076.640625, 1.3638736009597778, 307.0
188169, 157575.4375, 119139.5625, 157689.0, 156335.875, 144980.390625, 155081.609375, 1.3673605918884277, 303.0
188190, 157569.671875, 119147.703125, 157690.921875, 156340.296875, 144984.203125, 155081.609375, 1.3695076704025269, 303.0
188209, 157571.59375, 119148.4375, 157692.859375, 156338.375, 144988.421875, 155081.609375, 1.3700497150421143, 303.0
188231, 157569.671875, 119146.953125, 157690.921875, 156335.875, 144992.65625, 155085.96875, 1.3735848665237427, 303.0
188249, 157567.75, 119144.0, 157690.921875, 156335.296875, 144984.203125, 155092.828125, 1.3773174285888672, 303.0
188270, 157573.515625, 119149.9140625, 157690.921875, 156335.296875, 144990.203125, 155087.265625, 1.380194902420044, 299.0
188309, 157567.75, 119149.1796875, 157690.921875, 156337.796875, 144986.65625, 155088.453125, 1.3842065334320068, 299.0
188331, 157571.59375, 119158.7890625, 157690.921875, 156326.453125, 144981.0625, 155079.125, 1.385017991065979, 299.0
188349, 157571.59375, 119149.1796875, 157689.0, 156335.296875, 144976.84375, 155098.390625, 1.3871986865997314, 299.0
188370, 157571.59375, 119150.6484375, 157689.0, 156338.953125, 144990.875, 155089.0625, 1.389164924621582, 301.0
188390, 157571.59375, 119149.9140625, 157689.0, 156331.453125, 144985.96875, 155083.484375, 1.3911595344543457, 301.0
188409, 157573.515625, 119146.21875, 157692.859375, 156332.796875, 144983.515625, 155087.859375, 1.3934648036956787, 301.0
188431, 157573.515625, 119143.265625, 157690.921875, 156338.375, 144989.515625, 155082.890625, 1.3963733911514282, 301.0
188451, 157573.515625, 119144.0, 157687.078125, 156340.875, 144985.96875, 155085.375, 1.3977304697036743, 301.0
188469, 157571.59375, 119149.171875, 157690.921875, 156335.875, 144983.515625, 155079.125, 1.400408387184143, 304.0
188491, 157571.59375, 119150.6484375, 157689.0, 156333.375, 144990.203125, 155095.90625, 1.402776837348938, 304.0
188509, 157571.59375, 119146.21875, 157690.921875, 156347.78125, 144981.75, 155084.09375, 1.4050827026367188, 304.0
188529, 157569.671875, 119149.9140625, 157689.0, 156342.796875, 144990.203125, 155079.71875, 1.405842661857605, 304.0
188549, 157571.59375, 119154.3515625, 157690.921875, 156343.359375, 144981.75, 155092.828125, 1.407225489616394, 304.0
188569, 157573.515625, 119146.953125, 157689.0, 156337.796875, 144994.0, 155097.796875, 1.409358263015747, 308.0
188589, 157571.59375, 119152.8671875, 157690.921875, 156343.359375, 144983.515625, 155088.453125, 1.4104821681976318, 308.0
188609, 157575.4375, 119144.75, 157692.859375, 156343.359375, 144984.203125, 155100.28125, 1.4128235578536987, 308.0
188629, 157571.59375, 119152.1328125, 157689.0, 156347.78125, 144992.65625, 155092.828125, 1.4131014347076416, 308.0
188649, 157571.59375, 119146.953125, 157687.078125, 156332.796875, 144985.96875, 155097.796875, 1.4131014347076416, 308.0
188670, 157571.59375, 119151.3828125, 157690.921875, 156343.359375, 144979.296875, 155086.578125, 1.4142394065856934, 301.0
188691, 157571.59375, 119148.4375, 157687.078125, 156338.953125, 144992.65625, 155092.828125, 1.415511965751648, 301.0
188709, 157571.59375, 119149.9140625, 157690.921875, 156343.359375, 144993.328125, 155090.9375, 1.4163955450057983, 301.0
188749, 157571.59375, 119152.8671875, 157689.0, 156333.953125, 144998.640625, 155092.828125, 1.4178727865219116, 301.0
188770, 157573.515625, 119152.8671875, 157690.921875, 156346.640625, 144991.5625, 155090.9375, 1.4206739664077759, 305.0
188791, 157569.671875, 119149.1796875, 157690.921875, 156345.859375, 144988.421875, 155087.171875, 1.424211859703064, 305.0
188809, 157573.515625, 119152.1328125, 157689.0, 156338.375, 144988.421875, 155085.96875, 1.424917221069336, 305.0
188829, 157573.515625, 119158.0546875, 157692.859375, 156340.875, 144995.78125, 155086.578125, 1.4279673099517822, 305.0
188849, 157573.515625, 119146.953125, 157690.921875, 156350.28125, 144996.875, 155086.578125, 1.4304661750793457, 305.0
188869, 157573.515625, 119148.4375, 157687.078125, 156338.375, 144994.0, 155084.09375, 1.4300999641418457, 299.0
188889, 157571.59375, 119151.3828125, 157689.0, 156343.359375, 144995.78125, 155089.0625, 1.430237054824829, 299.0
188909, 157577.359375, 119145.484375, 157690.921875, 156343.359375, 144994.0, 155095.3125, 1.4339877367019653, 299.0
188930, 157569.671875, 119151.3828125, 157692.859375, 156343.9375, 144995.78125, 155082.203125, 1.4359381198883057, 299.0
188949, 157571.59375, 119151.3828125, 157689.0, 156340.875, 144999.328125, 155095.90625, 1.4372020959854126, 299.0
188969, 157573.515625, 119153.6171875, 157690.921875, 156345.859375, 145002.453125, 155095.3125, 1.4387016296386719, 309.0
188990, 157569.671875, 119155.8203125, 157690.921875, 156347.78125, 144993.328125, 155094.03125, 1.4391543865203857, 309.0
189009, 157575.4375, 119149.9140625, 157689.0, 156345.28125, 144987.75, 155093.421875, 1.4433038234710693, 309.0
189029, 157571.59375, 119158.0546875, 157690.921875, 156343.9375, 144990.203125, 155100.875, 1.4448847770690918, 309.0
189049, 157571.59375, 119146.21875, 157687.078125, 156350.28125, 144995.09375, 155096.515625, 1.4464904069900513, 309.0
189069, 157573.515625, 119155.8359375, 157689.0, 156345.859375, 144994.0, 155088.453125, 1.448201060295105, 308.0
189090, 157573.515625, 119155.0859375, 157692.859375, 156343.359375, 145000.6875, 155105.25, 1.4499701261520386, 308.0
189109, 157571.59375, 119154.3515625, 157689.0, 156355.84375, 145002.453125, 155103.359375, 1.4518979787826538, 308.0
189129, 157567.75, 119157.3046875, 157687.078125, 156349.5, 144996.453125, 155100.875, 1.452634572982788, 308.0
189149, 157571.59375, 119157.3046875, 157689.0, 156357.203125, 144991.96875, 155095.90625, 1.455061912536621, 308.0
189169, 157571.59375, 119158.7890625, 157689.0, 156360.84375, 145003.140625, 155092.140625, 1.458419919013977, 300.0
189192, 157571.59375, 119158.7890625, 157689.0, 156355.84375, 144997.546875, 155102.765625, 1.4595210552215576, 300.0
189209, 157571.59375, 119163.21875, 157690.921875, 156350.859375, 144995.78125, 155094.03125, 1.460780143737793, 300.0
189231, 157569.671875, 119153.6015625, 157689.0, 156353.359375, 145006.0, 155094.03125, 1.462390661239624, 300.0
189249, 157573.515625, 119158.7890625, 157687.078125, 156355.84375, 144998.234375, 155108.328125, 1.4631848335266113, 300.0
189269, 157571.59375, 119158.0390625, 157689.0, 156365.265625, 144995.78125, 155099.0, 1.4631848335266113, 298.0
189289, 157573.515625, 119149.171875, 157692.859375, 156357.78125, 144997.546875, 155098.390625, 1.4669060707092285, 298.0
