timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, laserFront
311825, 0.0, 0.0, -26.622644424438477, 0.0, 0.0, -0.196075439453125, 0, 0, 0, 0, 0, 0, 0, 0, 0
311845, 0.0, 0.0, -26.648853302001953, 0.0, 0.0, -1.2414932250976562, 155806.359375, 143721.375, 154069.921875, 0.0, 0.0, 0.0, 0.0, -0.8594442009925842, 282.0
311865, 0.0, 0.0, -26.67475700378418, 0.0, 0.0, -1.2269973754882812, 155801.9375, 143719.609375, 154089.1875, 0.0, 0.0, 0.0, 0.0, -0.860052227973938, 292.0
311885, 0.0, 0.0, -26.697816848754883, 0.0, 0.0, -1.0923385620117188, 155810.78125, 143709.125, 154076.6875, 0.0, 0.0, 0.0, 0.0, -0.8592472076416016, 292.0
311905, 0.0, 0.0, -26.704545974731445, 0.0, 0.0, -0.31871795654296875, 155792.53125, 143713.34375, 154081.734375, 0.0, 0.0, 0.0, 0.0, -0.8584378957748413, 292.0
311925, 0.0, 0.0, -26.686622619628906, 0.0, 0.0, 0.8489608764648438, 155804.4375, 143705.609375, 154087.296875, 0.0, 0.0, 0.0, 0.0, -0.8583385944366455, 292.0
311945, 0.0, 0.0, -26.68976593017578, 0.0, 0.0, -0.14896392822265625, 155800.59375, 143717.171875, 154079.84375, 0.0, 0.0, 0.0, 0.0, -0.8586353659629822, 292.0
311965, 0.0, 0.0, -26.687116622924805, 0.0, 0.0, 0.1255035400390625, 155806.9375, 143718.921875, 154089.1875, 0.0, 0.0, 0.0, 0.0, -0.8582688570022583, 288.0
311985, 0.0, 0.0, -26.670425415039062, 0.0, 0.0, 0.7905960083007812, 155809.4375, 143703.15625, 154074.875, 0.0, 0.0, 0.0, 0.0, -0.8588783740997314, 288.0
312005, 0.0, 0.0, -26.65690803527832, 0.0, 0.0, 0.6402969360351562, 155805.015625, 143720.6875, 154090.453125, 0.0, 0.0, 0.0, 0.0, -0.8597567081451416, 288.0
312025, 0.0, 0.0, -26.641281127929688, 0.0, 0.0, 0.7402420043945312, 155810.78125, 143712.265625, 154075.484375, 0.0, 0.0, 0.0, 0.0, -0.8568516373634338, 288.0
312045, 0.0, 0.0, -26.640052795410156, 0.0, 0.0, 0.05817413330078125, 155809.4375, 143714.03125, 154080.453125, 0.0, 0.0, 0.0, 0.0, -0.8565090894699097, 288.0
312065, 0.0, 0.0, -26.63126564025879, 0.0, 0.0, 0.4161834716796875, 155807.515625, 143718.234375, 154087.296875, 0.0, 0.0, 0.0, 0.0, -0.8572696447372437, 288.0
312085, 0.0, 0.0, -26.62830352783203, 0.0, 0.0, 0.140380859375, 155810.0, 143714.03125, 154084.21875, 0.0, 0.0, 0.0, 0.0, -0.8564070463180542, 288.0
312105, 0.0, 0.0, -26.635772705078125, 0.0, 0.0, -0.35381317138671875, 155806.9375, 143706.6875, 154082.328125, 0.0, 0.0, 0.0, 0.0, -0.8558183312416077, 288.0
312125, 0.0, 0.0, -26.654809951782227, 0.0, 0.0, -0.90179443359375, 155791.375, 143718.234375, 154077.96875, 0.0, 0.0, 0.0, 0.0, -0.8552874326705933, 288.0
312145, 0.0, 0.0, -26.671789169311523, 0.0, 0.0, -0.8043289184570312, 155804.4375, 143713.34375, 154092.265625, 0.0, 0.0, 0.0, 0.0, -0.8554343581199646, 288.0
312165, 0.0, 0.0, -26.67047691345215, 0.0, 0.0, 0.0621795654296875, 155807.515625, 143716.484375, 154080.453125, 0.0, 0.0, 0.0, 0.0, -0.8564655780792236, 287.0
312185, 0.0, 0.0, -26.672012329101562, 0.0, 0.0, -0.07266998291015625, 155796.9375, 143712.265625, 154075.484375, 0.0, 0.0, 0.0, 0.0, -0.8558188080787659, 287.0
312205, 0.0, 0.0, -26.675853729248047, 0.0, 0.0, -0.1819610595703125, 155813.84375, 143719.609375, 154079.84375, 0.0, 0.0, 0.0, 0.0, -0.8567057251930237, 287.0
312225, 0.0, 0.0, -26.680524826049805, 0.0, 0.0, -0.22125244140625, 155788.875, 143714.421875, 154065.546875, 0.0, 0.0, 0.0, 0.0, -0.8576359152793884, 287.0
312245, 0.0, 0.0, -26.673398971557617, 0.0, 0.0, 0.3376007080078125, 155804.4375, 143710.5, 154089.1875, 0.0, 0.0, 0.0, 0.0, -0.8588419556617737, 287.0
312265, 0.0, 0.0, -26.646846771240234, 0.0, 0.0, 1.2577056884765625, 155806.9375, 143701.78125, 154065.546875, 0.0, 0.0, 0.0, 0.0, -0.8592339158058167, 284.0
312285, 0.0, 0.0, -26.636249542236328, 0.0, 0.0, 0.50201416015625, 155806.359375, 143709.8125, 154080.453125, 0.0, 0.0, 0.0, 0.0, -0.8599406480789185, 284.0
312305, 0.0, 0.0, -26.619873046875, 0.0, 0.0, 0.7757186889648438, 155818.84375, 143717.171875, 154084.8125, 0.0, 0.0, 0.0, 0.0, -0.8601888418197632, 284.0
312325, 0.0, 0.0, -26.61699867248535, 0.0, 0.0, 0.1361846923828125, 155797.515625, 143716.484375, 154079.84375, 0.0, 0.0, 0.0, 0.0, -0.8601888418197632, 284.0
312345, 0.0, 0.0, -26.618825912475586, 0.0, 0.0, -0.0865936279296875, 155783.109375, 143708.0625, 154079.84375, 0.0, 0.0, 0.0, 0.0, -0.8629320859909058, 284.0
312365, 0.0, 0.0, -26.620824813842773, 0.0, 0.0, -0.0946044921875, 155801.359375, 143718.921875, 154079.84375, 0.0, 0.0, 0.0, 0.0, -0.8611581325531006, 291.0
312385, 0.0, 0.0, -26.612573623657227, 0.0, 0.0, 0.39081573486328125, 155811.34375, 143715.796875, 154074.875, 0.0, 0.0, 0.0, 0.0, -0.8606065511703491, 291.0
312405, 0.0, 0.0, -26.606409072875977, 0.0, 0.0, 0.29201507568359375, 155802.703125, 143709.8125, 154087.296875, 0.0, 0.0, 0.0, 0.0, -0.8583981394767761, 291.0
312425, 0.0, 0.0, -26.596221923828125, 0.0, 0.0, 0.4825592041015625, 155802.515625, 143725.59375, 154086.703125, 0.0, 0.0, 0.0, 0.0, -0.8592674732208252, 291.0
312445, 0.0, 0.0, -26.5968017578125, 0.0, 0.0, -0.0274658203125, 155801.359375, 143715.40625, 154095.34375, 0.0, 0.0, 0.0, 0.0, -0.8605613112449646, 291.0
312465, 0.0, 0.0, -26.60558319091797, 0.0, 0.0, -0.41599273681640625, 155825.765625, 143712.953125, 154082.9375, 0.0, 0.0, 0.0, 0.0, -0.8602560758590698, 288.0
312485, 0.0, 0.0, -26.61061668395996, 0.0, 0.0, -0.2384185791015625, 155810.0, 143728.046875, 154088.578125, 0.0, 0.0, 0.0, 0.0, -0.8611716032028198, 288.0
312505, 0.0, 0.0, -26.598072052001953, 0.0, 0.0, 0.5941390991210938, 155803.859375, 143705.609375, 154094.140625, 0.0, 0.0, 0.0, 0.0, -0.8618492484092712, 288.0
312525, 0.0, 0.0, -26.592586517333984, 0.0, 0.0, 0.2597808837890625, 155793.875, 143709.8125, 154065.546875, 0.0, 0.0, 0.0, 0.0, -0.8620097041130066, 288.0
312545, 0.0, 0.0, -26.581388473510742, 0.0, 0.0, 0.5304336547851562, 155789.453125, 143716.484375, 154079.25, 0.0, 0.0, 0.0, 0.0, -0.8625907897949219, 288.0
