timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
699562, -1.5581363439559937, -2.025949001312256, 0.008301888592541218, 0.008610515855252743, 0.1813398152589798, -0.002467822516337037, 0, 0, 0, 0, 0, 0, 0, 0, 0
699602, -1.5577491521835327, -2.024179697036743, 0.008271092548966408, 0.015122896991670132, 0.1493261456489563, -0.0022163977846503258, 0.0, 0.0, 0.0, 0.0, -1.5581474304199219, -2.0301589965820312, 0.008484795689582825, -0.3992910385131836, 321.0
699642, -1.5575488805770874, -2.0237069129943848, 0.00829005241394043, 0.012649521231651306, 0.10406307131052017, -0.0011987817706540227, 0.0, 0.0, 0.0, 0.0, -1.5586261749267578, -2.0300865173339844, 0.008151471614837646, -0.5719351172447205, 321.0
699682, -1.5577013492584229, -2.0254032611846924, 0.008320980705320835, 0.008687056601047516, 0.06584973633289337, -0.0008984915912151337, 0.0, 0.0, 0.0, 0.0, -1.5582141876220703, -2.030284881591797, 0.00866536796092987, -0.6982858180999756, 325.0
699722, -1.5577887296676636, -2.026129961013794, 0.008252318017184734, 0.006800980307161808, 0.045532308518886566, -0.0013431119732558727, 0.0, 0.0, 0.0, 0.0, -1.5584487915039062, -2.0301361083984375, 0.008374601602554321, -0.7983741760253906, 325.0
699763, -1.5578718185424805, -2.026892900466919, 0.008256198838353157, 0.00479842908680439, 0.03269162029027939, -0.0007836272125132382, 0.0, 0.0, 0.0, 0.0, -1.5580673217773438, -2.0301551818847656, 0.008602291345596313, -0.8778239488601685, 325.0
699802, -1.5579264163970947, -2.027275562286377, 0.008270731195807457, 0.003907766658812761, 0.026166412979364395, -0.0009084386401809752, 0.0, 0.0, 0.0, 0.0, -1.5582466125488281, -2.0302886962890625, 0.0087033212184906, -0.9496882557868958, 318.0
699842, -1.5579237937927246, -2.0275139808654785, 0.008300521411001682, 0.003710657823830843, 0.022685935720801353, -0.0005174634861759841, 0.0, 0.0, 0.0, 0.0, -1.5581436157226562, -2.0302352905273438, 0.008528545498847961, -1.0004563331604004, 318.0
699882, -1.5579712390899658, -2.02767276763916, 0.00828825868666172, 0.003262992948293686, 0.020567912608385086, -0.0003097879816778004, 0.0, 0.0, 0.0, 0.0, -1.558685302734375, -2.0300827026367188, 0.007959797978401184, -1.0303435325622559, 324.0
699922, -1.5579566955566406, -2.027733087539673, 0.008284434676170349, 0.003833858296275139, 0.019684510305523872, -0.000388994172681123, 0.0, 0.0, 0.0, 0.0, -1.5586433410644531, -2.0299911499023438, 0.008075505495071411, -1.0570011138916016, 324.0
699964, -1.5579251050949097, -2.0277023315429688, 0.008309402503073215, 0.0037367348559200764, 0.019854910671710968, -0.0003224034735467285, 0.0, 0.0, 0.0, 0.0, -1.5585575103759766, -2.0300521850585938, 0.008290857076644897, -1.0678061246871948, 324.0
700002, -1.5579224824905396, -2.0276730060577393, 0.008283620700240135, 0.003973834216594696, 0.019946102052927017, -0.0005248077213764191, 0.0, 0.0, 0.0, 0.0, -1.5584125518798828, -2.0302047729492188, 0.008255794644355774, -1.0720009803771973, 320.0
700042, -1.5579010248184204, -2.0276546478271484, 0.008258862420916557, 0.004195098765194416, 0.020473800599575043, -0.0010037949541583657, 0.0, 0.0, 0.0, 0.0, -1.558511734008789, -2.030059814453125, 0.008336082100868225, -1.0770220756530762, 320.0
700082, -1.5578657388687134, -2.0275156497955322, 0.008247239515185356, 0.0040435283444821835, 0.02097155712544918, -0.0011251178802922368, 0.0, 0.0, 0.0, 0.0, -1.558462142944336, -2.030059814453125, 0.008185133337974548, -1.085792899131775, 325.0
700123, -1.5578787326812744, -2.027609348297119, 0.008255485445261002, 0.004162971395999193, 0.02064744010567665, -0.0006674690521322191, 0.0, 0.0, 0.0, 0.0, -1.5584793090820312, -2.0300445556640625, 0.00798565149307251, -1.088518738746643, 325.0
700162, -1.5578328371047974, -2.027470588684082, 0.008268244564533234, 0.004533764906227589, 0.02159409038722515, -0.00023448985302820802, 0.0, 0.0, 0.0, 0.0, -1.5582923889160156, -2.0301780700683594, 0.008387506008148193, -1.0860927104949951, 325.0
700203, -1.5578064918518066, -2.0273430347442627, 0.008278717286884785, 0.004716690629720688, 0.0221144687384367, -0.0002803816751111299, 0.0, 0.0, 0.0, 0.0, -1.5585670471191406, -2.0300025939941406, 0.008287981152534485, -1.0820857286453247, 318.0
700242, -1.5577853918075562, -2.027310371398926, 0.00828822422772646, 0.004719975404441357, 0.022115733474493027, -0.0001339074515271932, 0.0, 0.0, 0.0, 0.0, -1.5585880279541016, -2.0301132202148438, 0.008209466934204102, -1.0790387392044067, 318.0
700282, -1.5577555894851685, -2.027165174484253, 0.00829844456166029, 0.004576604813337326, 0.022153086960315704, -0.00020630977815017104, 0.0, 0.0, 0.0, 0.0, -1.5583839416503906, -2.030010223388672, 0.00836232304573059, -1.0751169919967651, 320.0
700322, -1.5577353239059448, -2.027078151702881, 0.008311528712511063, 0.004511843901127577, 0.022596975788474083, -0.00023387119290418923, 0.0, 0.0, 0.0, 0.0, -1.5583000183105469, -2.0301742553710938, 0.008570685982704163, -1.070218563079834, 320.0
700364, -1.557700276374817, -2.0269460678100586, 0.008318870328366756, 0.004358034580945969, 0.022877587005496025, -0.00020627911726478487, 0.0, 0.0, 0.0, 0.0, -1.5585193634033203, -2.029979705810547, 0.008128315210342407, -1.0660250186920166, 320.0
