timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, yaw, laserFront
370162, -1.5216587781906128, -1.5187174081802368, 0.01777232624590397, -0.39219221472740173, -0.2048085629940033, -0.021707041189074516, 0, 0
370182, -1.5280357599258423, -1.5284442901611328, 0.016837377101182938, -0.4853804111480713, -0.4840397536754608, -0.052784573286771774, 0.22870419919490814, 32766.0
370202, -1.5571913719177246, -1.5183476209640503, 0.0034202358219772577, -2.2563154697418213, -0.41343435645103455, -0.8403892517089844, 0.16667060554027557, 32766.0
370222, -1.5145598649978638, -1.5149881839752197, 0.018244799226522446, 0.001041083480231464, 0.0008426009444519877, -5.9331647207727656e-05, 3.968493700027466, 32766.0
370242, -1.5145877599716187, -1.5149940252304077, 0.018165718764066696, 0.002588102128356695, 0.003714507445693016, 0.00016840662283357233, 0.06410076469182968, 32766.0
370263, -1.5144968032836914, -1.5149072408676147, 0.01815679669380188, 0.0038770486135035753, 0.007360497489571571, 0.00010575551277725026, 0.17224189639091492, 352.0
370282, -1.5144684314727783, -1.5147242546081543, 0.01814100705087185, 0.004921813029795885, 0.013029458001255989, -3.9569717046106234e-05, 0.24153585731983185, 352.0
370302, -1.5144120454788208, -1.5144699811935425, 0.018155094236135483, 0.005924665834754705, 0.01837254874408245, -0.0005126157193444669, 0.31763947010040283, 352.0
370322, -1.5143346786499023, -1.514114260673523, 0.01812945120036602, 0.006909347604960203, 0.02486809715628624, -0.0008825293625704944, 0.36782196164131165, 352.0
370342, -1.5142512321472168, -1.5136405229568481, 0.018096357583999634, 0.007843555882573128, 0.031160762533545494, -0.0010730659123510122, 0.42723092436790466, 352.0
370363, -1.5141708850860596, -1.5130550861358643, 0.01808444783091545, 0.008676106110215187, 0.03861550986766815, -0.0012428645277395844, 0.46571579575538635, 349.0
370382, -1.5141841173171997, -1.5129196643829346, 0.018075354397296906, 0.008615654893219471, 0.042224183678627014, -0.0013591604074463248, 0.5114081501960754, 349.0
370402, -1.5140866041183472, -1.512245774269104, 0.018057500943541527, 0.009102459996938705, 0.04892915487289429, -0.0013167079305276275, 0.5542629361152649, 349.0
370422, -1.5140066146850586, -1.5114434957504272, 0.01802494190633297, 0.009156947024166584, 0.05484982207417488, -0.0013672384666278958, 0.5890703201293945, 349.0
370442, -1.513916254043579, -1.5106892585754395, 0.01800399273633957, 0.009576402604579926, 0.059444669634103775, -0.0012528195511549711, 0.6128934025764465, 349.0
370464, -1.5138418674468994, -1.5097324848175049, 0.017993340268731117, 0.009346788749098778, 0.06503698229789734, -0.0013569352449849248, 0.6345062851905823, 352.0
370482, -1.513886570930481, -1.5097187757492065, 0.01799669861793518, 0.008950434625148773, 0.06538131833076477, -0.0012779396492987871, 0.6656081080436707, 352.0
370502, -1.5138312578201294, -1.508992075920105, 0.018000449985265732, 0.008978175930678844, 0.06787678599357605, -0.0012911207741126418, 0.6835792660713196, 352.0
370522, -1.5138421058654785, -1.508793592453003, 0.017987601459026337, 0.008366354741156101, 0.06768130511045456, -0.0013895179145038128, 0.7000331878662109, 352.0
370542, -1.513885736465454, -1.5086716413497925, 0.01799166016280651, 0.007704963441938162, 0.06692199409008026, -0.0011582624865695834, 0.7193166613578796, 352.0
370563, -1.5138612985610962, -1.5081673860549927, 0.01796981319785118, 0.007584782317280769, 0.06812619417905807, -0.0014492821646854281, 0.7322824597358704, 345.0
370582, -1.5138638019561768, -1.5080128908157349, 0.01797550544142723, 0.0068487804383039474, 0.06715618818998337, -0.0013185153948143125, 0.7396852970123291, 345.0
370602, -1.5139541625976562, -1.5084166526794434, 0.017992977052927017, 0.005985915195196867, 0.06450391560792923, -0.001273562666028738, 0.7505500912666321, 345.0
370622, -1.5139391422271729, -1.507930874824524, 0.0179794542491436, 0.005835859104990959, 0.06470762938261032, -0.0014310252154245973, 0.7580512762069702, 345.0
370642, -1.5139985084533691, -1.5080974102020264, 0.01797698624432087, 0.005289340857416391, 0.06271509826183319, -0.001760958693921566, 0.7724704742431641, 345.0
370662, -1.5139994621276855, -1.5078939199447632, 0.01795201189815998, 0.004933507647365332, 0.06248819828033447, -0.001819977886043489, 0.7814255952835083, 339.0
370682, -1.5140632390975952, -1.5081077814102173, 0.017956916242837906, 0.0044144531711936, 0.060416143387556076, -0.0015268734423443675, 0.7862663269042969, 339.0
370702, -1.5140870809555054, -1.507952094078064, 0.01795046776533127, 0.0043092574924230576, 0.06038868799805641, -0.00157056690659374, 0.7970293760299683, 339.0
370722, -1.5141122341156006, -1.5081486701965332, 0.01794743724167347, 0.004192650318145752, 0.05870275944471359, -0.0014901002869009972, 0.8047420978546143, 339.0
370742, -1.514154076576233, -1.5083258152008057, 0.017946738749742508, 0.004034147597849369, 0.05709696561098099, -0.0014647041680291295, 0.8114118576049805, 339.0
370762, -1.5141419172286987, -1.5082088708877563, 0.017951462417840958, 0.004126350861042738, 0.056742239743471146, -0.0013166330754756927, 0.8188771605491638, 349.0
370782, -1.5141727924346924, -1.5083630084991455, 0.01792924664914608, 0.0037196145858615637, 0.05552881583571434, -0.0014993468066677451, 0.8257666826248169, 349.0
370802, -1.5142130851745605, -1.5085397958755493, 0.01795213855803013, 0.0035839653573930264, 0.05439068749547005, -0.0011570114875212312, 0.832503616809845, 349.0
370822, -1.5141968727111816, -1.5083467960357666, 0.017945274710655212, 0.003762557404115796, 0.054351817816495895, -0.0009290635352954268, 0.8367234468460083, 349.0
370842, -1.514236569404602, -1.508730411529541, 0.017950743436813354, 0.0035448542330414057, 0.05225459486246109, -0.0007943565724417567, 0.8411455750465393, 349.0
