timeTick, motor1, motor2, motor3, motor4, otX, otY, otZ
163755, 0.0, 0.0, 0.0, 0.0, 0, 0, 0
163775, 0.0, 0.0, 0.0, 0.0, -1.1476860046386719, -0.3808913230895996, 0.026323050260543823
163795, 0.0, 0.0, 0.0, 0.0, -1.1475048065185547, -0.3809061050415039, 0.026551127433776855
163815, 0.0, 0.0, 0.0, 0.0, -1.1476936340332031, -0.380922794342041, 0.026436209678649902
163835, 0.0, 0.0, 0.0, 0.0, -1.1475715637207031, -0.3808751106262207, 0.026383310556411743
163855, 0.0, 0.0, 0.0, 0.0, -1.1476249694824219, -0.38092899322509766, 0.0265389084815979
163875, 0.0, 0.0, 0.0, 0.0, -1.1475658416748047, -0.38090944290161133, 0.0265025794506073
163895, 0.0, 0.0, 0.0, 0.0, -1.1476459503173828, -0.3808102607727051, 0.02669540047645569
163915, 0.0, 0.0, 0.0, 0.0, -1.1476402282714844, -0.3809065818786621, 0.026450425386428833
163935, 0.0, 0.0, 0.0, 0.0, -1.1475658416748047, -0.3809471130371094, 0.02642199397087097
163955, 0.0, 0.0, 0.0, 0.0, -1.1476306915283203, -0.38086557388305664, 0.026503443717956543
163975, 0.0, 0.0, 0.0, 0.0, -1.1476421356201172, -0.38086605072021484, 0.02632695436477661
163995, 0.0, 0.0, 0.0, 0.0, -1.1476669311523438, -0.38099002838134766, 0.02649405598640442
164015, 0.0, 0.0, 0.0, 0.0, -1.147491455078125, -0.38087892532348633, 0.026424646377563477
164035, 0.0, 0.0, 0.0, 0.0, -1.147674560546875, -0.38086843490600586, 0.026520907878875732
164055, 0.0, 0.0, 0.0, 0.0, -1.1476993560791016, -0.3808765411376953, 0.026453644037246704
164075, 0.0, 0.0, 0.0, 0.0, -1.1476802825927734, -0.3809781074523926, 0.026428788900375366
164095, 0.0, 0.0, 0.0, 0.0, -1.1476554870605469, -0.3808164596557617, 0.026340872049331665
164115, 0.0, 0.0, 0.0, 0.0, -1.1476383209228516, -0.38090038299560547, 0.026416540145874023
164135, 0.0, 0.0, 0.0, 0.0, -1.1476249694824219, -0.380859375, 0.026583433151245117
164155, 0.0, 0.0, 0.0, 0.0, -1.1475601196289062, -0.38091611862182617, 0.0264948308467865
164175, 0.0, 0.0, 0.0, 0.0, -1.1476783752441406, -0.38089895248413086, 0.02657952904701233
164195, 0.0, 0.0, 0.0, 0.0, -1.1476688385009766, -0.3809323310852051, 0.026585280895233154
164215, 0.0, 0.0, 0.0, 0.0, -1.1476402282714844, -0.38073205947875977, 0.026477068662643433
164235, 0.0, 0.0, 0.0, 0.0, -1.1476383209228516, -0.38100481033325195, 0.026498109102249146
164255, 0.0, 0.0, 0.0, 0.0, -1.1476516723632812, -0.3808403015136719, 0.026549428701400757
164275, 0.0, 0.0, 0.0, 0.0, -1.147623062133789, -0.3809480667114258, 0.026423722505569458
164295, 0.0, 0.0, 0.0, 0.0, -1.1476421356201172, -0.3808274269104004, 0.026511192321777344
164315, 0.0, 0.0, 0.0, 0.0, -1.1476078033447266, -0.38083839416503906, 0.026450693607330322
164335, 0.0, 0.0, 0.0, 0.0, -1.1477012634277344, -0.3809175491333008, 0.02637946605682373
164355, 0.0, 0.0, 0.0, 0.0, -1.1476001739501953, -0.3809018135070801, 0.02636703848838806
164375, 0.0, 0.0, 0.0, 0.0, -1.1476421356201172, -0.3809032440185547, 0.026596099138259888
164395, 0.0, 0.0, 0.0, 0.0, -1.147592544555664, -0.3808889389038086, 0.0263860821723938
164415, 0.0, 0.0, 0.0, 0.0, -1.1475181579589844, -0.38074588775634766, 0.026369750499725342
164435, 0.0, 0.0, 0.0, 0.0, -1.1476402282714844, -0.3808274269104004, 0.02636018395423889
164455, 0.0, 0.0, 0.0, 0.0, -1.1475677490234375, -0.38089704513549805, 0.026344209909439087
164475, 0.0, 0.0, 0.0, 0.0, -1.1478614807128906, -0.3809971809387207, 0.02642384171485901
164495, 0.0, 0.0, 0.0, 0.0, -1.147623062133789, -0.38083457946777344, 0.026379525661468506
164515, 0.0, 0.0, 0.0, 0.0, -1.1476383209228516, -0.3809037208557129, 0.02670842409133911
164575, 0.0, 0.0, 0.0, 0.0, -1.1476421356201172, -0.38089466094970703, 0.02645862102508545
164595, 0.0, 0.0, 0.0, 0.0, -1.147653579711914, -0.3809065818786621, 0.026452958583831787
