timeTick, whisker1_1, whisker1_2, whisker1_3
334232, 157596.59375, 119084.203125, 157725.625
334252, 157594.671875, 119083.453125, 157723.703125
334272, 157596.59375, 119087.15625, 157723.703125
334292, 157596.59375, 119085.671875, 157721.765625
334313, 157600.4375, 119084.9375, 157719.84375
334332, 157596.59375, 119083.453125, 157723.703125
334352, 157594.671875, 119080.5, 157723.703125
334372, 157598.515625, 119093.0703125, 157725.625
334392, 157592.734375, 119084.9375, 157721.765625
334413, 157598.515625, 119083.453125, 157723.703125
334432, 157594.671875, 119082.71875, 157723.703125
334453, 157598.515625, 119084.9375, 157719.84375
334472, 157594.671875, 119091.5859375, 157723.703125
334494, 157594.671875, 119081.9765625, 157723.703125
334512, 157598.515625, 119083.453125, 157721.765625
334532, 157596.59375, 119090.8515625, 157725.625
334552, 157598.515625, 119085.671875, 157721.765625
334572, 157594.671875, 119084.1875, 157721.765625
334592, 157596.59375, 119087.15625, 157725.625
334613, 157594.671875, 119087.15625, 157723.703125
334632, 157596.59375, 119079.0234375, 157721.765625
334653, 157598.515625, 119083.453125, 157725.625
334672, 157594.671875, 119085.671875, 157719.84375
334692, 157594.671875, 119087.15625, 157727.546875
334712, 157594.671875, 119080.4921875, 157719.84375
334732, 157594.671875, 119084.9375, 157723.703125
334754, 157600.4375, 119090.8515625, 157721.765625
334772, 157596.59375, 119083.453125, 157719.84375
334792, 157596.59375, 119081.234375, 157721.765625
334812, 157598.515625, 119081.234375, 157723.703125
334832, 157596.59375, 119079.0234375, 157725.625
334853, 157598.515625, 119082.71875, 157723.703125
334872, 157596.59375, 119084.9375, 157719.84375
334892, 157594.671875, 119080.5, 157723.703125
334912, 157600.4375, 119096.7734375, 157719.84375
334932, 157592.734375, 119082.71875, 157721.765625
334954, 157598.515625, 119084.9375, 157721.765625
334972, 157594.671875, 119085.671875, 157723.703125
334992, 157598.515625, 119080.5, 157721.765625
335014, 157594.671875, 119084.1875, 157723.703125
335032, 157600.4375, 119089.375, 157723.703125
335053, 157594.671875, 119084.9375, 157721.765625
335072, 157598.515625, 119083.453125, 157721.765625
335092, 157594.671875, 119092.3359375, 157723.703125
335113, 157594.671875, 119087.890625, 157721.765625
335132, 157594.671875, 119084.9375, 157721.765625
335153, 157598.515625, 119079.7578125, 157723.703125
335172, 157596.59375, 119084.9375, 157721.765625
335192, 157594.671875, 119084.203125, 157723.703125
335212, 157594.671875, 119086.421875, 157721.765625
335232, 157600.4375, 119088.640625, 157717.90625
335253, 157594.671875, 119088.640625, 157725.625
335272, 157596.59375, 119081.234375, 157723.703125
335292, 157596.59375, 119082.71875, 157721.765625
335312, 157594.671875, 119084.9375, 157723.703125
335332, 157596.59375, 119082.71875, 157721.765625
335352, 157596.59375, 119084.9375, 157721.765625
335372, 157596.59375, 119084.9375, 157721.765625
335393, 157598.515625, 119078.2890625, 157723.703125
335414, 157594.671875, 119080.4921875, 157725.625
335432, 157596.59375, 119083.453125, 157725.625
335452, 157596.59375, 119080.5, 157719.84375
335472, 157592.734375, 119087.15625, 157721.765625
335492, 157596.59375, 119086.421875, 157723.703125
335512, 157596.59375, 119083.453125, 157721.765625
335532, 157592.734375, 119087.890625, 157721.765625
335552, 157592.734375, 119083.453125, 157721.765625
335572, 157596.59375, 119089.375, 157723.703125
335592, 157596.59375, 119090.109375, 157723.703125
335613, 157594.671875, 119081.984375, 157717.90625
335632, 157596.59375, 119089.375, 157721.765625
335653, 157592.734375, 119087.15625, 157721.765625
335672, 157596.59375, 119081.234375, 157725.625
335693, 157596.59375, 119087.890625, 157719.84375
335712, 157594.671875, 119087.15625, 157721.765625
335732, 157594.671875, 119087.15625, 157725.625
335752, 157594.671875, 119083.453125, 157721.765625
335772, 157596.59375, 119087.890625, 157723.703125
335792, 157596.59375, 119089.375, 157721.765625
335813, 157596.59375, 119084.9375, 157721.765625
335832, 157596.59375, 119093.0703125, 157723.703125
335852, 157598.515625, 119089.375, 157719.84375
335872, 157594.671875, 119084.9375, 157723.703125
335892, 157596.59375, 119084.9375, 157721.765625
335912, 157596.59375, 119082.71875, 157723.703125
335932, 157598.515625, 119091.5859375, 157723.703125
335952, 157596.59375, 119081.984375, 157725.625
335972, 157596.59375, 119089.375, 157723.703125
335992, 157598.515625, 119087.15625, 157721.765625
336012, 157594.671875, 119089.375, 157723.703125
336032, 157598.515625, 119082.71875, 157723.703125
336052, 157596.59375, 119079.0234375, 157717.90625
336072, 157594.671875, 119087.15625, 157723.703125
336092, 157600.4375, 119090.8515625, 157721.765625
336112, 157596.59375, 119090.8515625, 157723.703125
336132, 157594.671875, 119082.71875, 157723.703125
336152, 157598.515625, 119086.40625, 157723.703125
336172, 157596.59375, 119092.3203125, 157723.703125
336193, 157600.4375, 119081.9765625, 157723.703125
336212, 157596.59375, 119083.453125, 157721.765625
336232, 157600.4375, 119084.9375, 157725.625
336252, 157592.734375, 119084.9375, 157719.84375
336272, 157596.59375, 119084.203125, 157719.84375
336292, 157596.59375, 119091.5859375, 157725.625
336312, 157592.734375, 119090.8515625, 157721.765625
336332, 157598.515625, 119084.203125, 157721.765625
336352, 157596.59375, 119084.9375, 157723.703125
336372, 157596.59375, 119083.453125, 157723.703125
336392, 157598.515625, 119084.9375, 157723.703125
336412, 157594.671875, 119086.421875, 157721.765625
336432, 157600.4375, 119084.9375, 157725.625
336453, 157594.671875, 119083.453125, 157723.703125
336472, 157600.4375, 119087.15625, 157721.765625
336493, 157596.59375, 119082.71875, 157723.703125
336512, 157596.59375, 119086.421875, 157723.703125
336532, 157596.59375, 119076.8046875, 157725.625
336553, 157600.4375, 119087.90625, 157721.765625
336572, 157598.515625, 119090.1171875, 157725.625
336592, 157594.671875, 119083.453125, 157723.703125
336612, 157600.4375, 119088.640625, 157721.765625
336632, 157596.59375, 119085.671875, 157727.546875
336654, 157596.59375, 119090.1171875, 157723.703125
336672, 157596.59375, 119084.9375, 157723.703125
336692, 157594.671875, 119089.375, 157725.625
336712, 157596.59375, 119084.9375, 157721.765625
336732, 157596.59375, 119079.0234375, 157725.625
336752, 157596.59375, 119082.71875, 157721.765625
336772, 157598.515625, 119087.15625, 157723.703125
336792, 157598.515625, 119084.203125, 157721.765625
336812, 157598.515625, 119084.1875, 157721.765625
336832, 157596.59375, 119095.2890625, 157721.765625
336852, 157596.59375, 119079.0234375, 157723.703125
336872, 157598.515625, 119088.640625, 157723.703125
336892, 157594.671875, 119084.9375, 157725.625
336912, 157598.515625, 119086.421875, 157723.703125
336932, 157592.734375, 119087.15625, 157723.703125
336954, 157594.671875, 119082.71875, 157725.625
336972, 157600.4375, 119079.0234375, 157721.765625
336993, 157596.59375, 119085.671875, 157725.625
337012, 157598.515625, 119076.8046875, 157723.703125
337032, 157598.515625, 119078.2890625, 157725.625
337052, 157596.59375, 119086.421875, 157721.765625
337072, 157596.59375, 119084.203125, 157725.625
337092, 157596.59375, 119082.71875, 157721.765625
337112, 157594.671875, 119084.203125, 157725.625
337132, 157598.515625, 119089.375, 157721.765625
337153, 157592.734375, 119085.671875, 157725.625
337172, 157598.515625, 119085.6875, 157719.84375
337193, 157596.59375, 119082.71875, 157723.703125
337212, 157596.59375, 119091.5859375, 157723.703125
337232, 157596.59375, 119086.40625, 157721.765625
337252, 157598.515625, 119082.71875, 157723.703125
337272, 157600.4375, 119086.421875, 157723.703125
337293, 157594.671875, 119084.203125, 157719.84375
337312, 157598.515625, 119087.890625, 157725.625
337332, 157596.59375, 119091.5859375, 157721.765625
337352, 157594.671875, 119086.421875, 157723.703125
337372, 157596.59375, 119086.40625, 157721.765625
337394, 157596.59375, 119084.203125, 157719.84375
337412, 157596.59375, 119086.421875, 157721.765625
337433, 157598.515625, 119082.71875, 157719.84375
337452, 157596.59375, 119085.671875, 157723.703125
337472, 157598.515625, 119083.453125, 157721.765625
337493, 157600.4375, 119087.15625, 157721.765625
337512, 157600.4375, 119087.15625, 157721.765625
337532, 157596.59375, 119088.640625, 157723.703125
337552, 157598.515625, 119084.203125, 157721.765625
337572, 157598.515625, 119085.6875, 157723.703125
337593, 157594.671875, 119088.640625, 157723.703125
337612, 157598.515625, 119088.640625, 157723.703125
337632, 157594.671875, 119084.9375, 157723.703125
337653, 157596.59375, 119083.453125, 157721.765625
337672, 157598.515625, 119086.421875, 157721.765625
337693, 157598.515625, 119076.8046875, 157727.546875
337712, 157596.59375, 119090.8515625, 157725.625
337732, 157594.671875, 119089.375, 157721.765625
337753, 157598.515625, 119087.15625, 157721.765625
337772, 157596.59375, 119085.6875, 157721.765625
337792, 157600.4375, 119084.9375, 157723.703125
337812, 157598.515625, 119087.15625, 157725.625
337832, 157594.671875, 119078.2890625, 157723.703125
337852, 157596.59375, 119085.671875, 157725.625
337872, 157596.59375, 119090.8515625, 157723.703125
337894, 157596.59375, 119079.0234375, 157727.546875
337912, 157600.4375, 119085.671875, 157719.84375
337932, 157596.59375, 119087.15625, 157725.625
337953, 157594.671875, 119089.375, 157721.765625
337972, 157594.671875, 119084.1875, 157723.703125
337992, 157596.59375, 119087.15625, 157725.625
338012, 157600.4375, 119090.1171875, 157723.703125
338032, 157596.59375, 119084.9375, 157725.625
338053, 157598.515625, 119080.5, 157719.84375
338072, 157594.671875, 119084.203125, 157721.765625
338092, 157594.671875, 119082.71875, 157721.765625
338112, 157600.4375, 119079.0234375, 157719.84375
338133, 157596.59375, 119089.375, 157725.625
338154, 157596.59375, 119088.640625, 157723.703125
338172, 157596.59375, 119082.71875, 157725.625
338193, 157596.59375, 119082.71875, 157725.625
338212, 157600.4375, 119082.71875, 157721.765625
338232, 157594.671875, 119079.0234375, 157721.765625
338252, 157594.671875, 119079.765625, 157725.625
338272, 157598.515625, 119086.421875, 157723.703125
338292, 157596.59375, 119089.375, 157721.765625
338312, 157598.515625, 119085.6875, 157725.625
338332, 157594.671875, 119083.46875, 157723.703125
338352, 157596.59375, 119084.203125, 157727.546875
338372, 157594.671875, 119080.5, 157723.703125
338393, 157598.515625, 119084.203125, 157723.703125
338412, 157596.59375, 119082.71875, 157725.625
338432, 157598.515625, 119087.15625, 157721.765625
338453, 157600.4375, 119076.0703125, 157721.765625
338472, 157594.671875, 119077.5546875, 157721.765625
338492, 157594.671875, 119083.453125, 157723.703125
338512, 157598.515625, 119083.453125, 157719.84375
338532, 157594.671875, 119079.03125, 157723.703125
338553, 157598.515625, 119085.671875, 157721.765625
338572, 157594.671875, 119080.5, 157719.84375
338593, 157596.59375, 119080.5, 157723.703125
338612, 157596.59375, 119091.5859375, 157723.703125
338632, 157596.59375, 119081.984375, 157721.765625
338652, 157598.515625, 119084.203125, 157727.546875
338672, 157594.671875, 119079.765625, 157721.765625
338693, 157596.59375, 119082.71875, 157721.765625
338712, 157600.4375, 119076.0703125, 157723.703125
338732, 157596.59375, 119080.5, 157725.625
338752, 157598.515625, 119084.9375, 157719.84375
338772, 157598.515625, 119083.46875, 157723.703125
338792, 157596.59375, 119082.71875, 157723.703125
338812, 157596.59375, 119082.71875, 157725.625
338832, 157594.671875, 119086.421875, 157723.703125
338853, 157598.515625, 119082.71875, 157727.546875
338872, 157596.59375, 119083.453125, 157721.765625
338893, 157596.59375, 119078.2890625, 157721.765625
338912, 157594.671875, 119089.375, 157725.625
338933, 157598.515625, 119084.9375, 157717.90625
338953, 157596.59375, 119084.9375, 157725.625
338972, 157594.671875, 119080.5, 157723.703125
338993, 157598.515625, 119086.421875, 157721.765625
339012, 157594.671875, 119082.71875, 157721.765625
339033, 157598.515625, 119080.5, 157723.703125
339052, 157596.59375, 119085.6875, 157719.84375
339072, 157598.515625, 119084.9375, 157723.703125
339093, 157598.515625, 119081.9765625, 157723.703125
339112, 157598.515625, 119079.765625, 157727.546875
339133, 157596.59375, 119080.5, 157723.703125
339152, 157596.59375, 119084.203125, 157717.90625
339172, 157594.671875, 119071.6328125, 157725.625
339192, 157598.515625, 119083.46875, 157723.703125
339212, 157594.671875, 119084.9375, 157721.765625
339232, 157592.734375, 119079.0234375, 157721.765625
339252, 157598.515625, 119081.234375, 157721.765625
339272, 157596.59375, 119079.0234375, 157725.625
339292, 157596.59375, 119080.5, 157723.703125
339312, 157594.671875, 119074.5859375, 157721.765625
339332, 157594.671875, 119075.3359375, 157721.765625
339352, 157594.671875, 119084.9375, 157727.546875
339372, 157598.515625, 119073.8515625, 157725.625
339393, 157598.515625, 119081.234375, 157723.703125
339412, 157598.515625, 119080.5, 157721.765625
339432, 157596.59375, 119084.9375, 157721.765625
339452, 157596.59375, 119079.765625, 157723.703125
339472, 157598.515625, 119076.8046875, 157723.703125
339492, 157596.59375, 119076.0703125, 157721.765625
339512, 157594.671875, 119070.890625, 157723.703125
339532, 157596.59375, 119084.203125, 157723.703125
339552, 157596.59375, 119086.421875, 157723.703125
339572, 157596.59375, 119084.203125, 157725.625
339593, 157594.671875, 119084.9375, 157725.625
339612, 157596.59375, 119081.984375, 157723.703125
339632, 157596.59375, 119078.2890625, 157721.765625
339652, 157598.515625, 119076.8046875, 157721.765625
339672, 157594.671875, 119079.765625, 157721.765625
339692, 157598.515625, 119080.5, 157723.703125
339712, 157596.59375, 119082.71875, 157721.765625
339732, 157596.59375, 119083.453125, 157723.703125
339752, 157598.515625, 119081.25, 157723.703125
339772, 157596.59375, 119085.6875, 157721.765625
339793, 157598.515625, 119079.0234375, 157727.546875
339812, 157596.59375, 119088.640625, 157723.703125
339833, 157598.515625, 119087.890625, 157721.765625
339852, 157598.515625, 119094.5390625, 157723.703125
339872, 157594.671875, 119092.3203125, 157721.765625
339892, 157594.671875, 119090.109375, 157719.84375
339912, 157598.515625, 119098.9765625, 157721.765625
339933, 157594.671875, 119104.15625, 157723.703125
339952, 157596.59375, 119090.8515625, 157721.765625
339972, 157594.671875, 119106.375, 157719.84375
339993, 157596.59375, 119097.5078125, 157725.625
340012, 157596.59375, 119101.9375, 157721.765625
340032, 157594.671875, 119102.671875, 157721.765625
340052, 157594.671875, 119104.890625, 157719.84375
340072, 157598.515625, 119106.359375, 157715.984375
340092, 157598.515625, 119112.28125, 157721.765625
340112, 157594.671875, 119112.28125, 157721.765625
340132, 157596.59375, 119110.0625, 157723.703125
340152, 157592.734375, 119116.7109375, 157723.703125
340172, 157594.671875, 119112.28125, 157719.84375
340192, 157596.59375, 119120.4140625, 157721.765625
340212, 157594.671875, 119121.1484375, 157715.984375
340232, 157596.59375, 119121.8828125, 157719.84375
340252, 157594.671875, 119115.2421875, 157715.984375
340272, 157592.734375, 119123.3671875, 157719.84375
340292, 157594.671875, 119129.28125, 157715.984375
340312, 157592.734375, 119127.796875, 157715.984375
340333, 157594.671875, 119132.984375, 157717.90625
340352, 157590.8125, 119127.0625, 157717.90625
340372, 157590.8125, 119138.15625, 157715.984375
340392, 157590.8125, 119129.28125, 157712.125
340412, 157590.8125, 119132.96875, 157712.125
340432, 157594.671875, 119138.15625, 157712.125
340452, 157590.8125, 119141.8515625, 157715.984375
340472, 157590.8125, 119139.625, 157714.0625
340492, 157590.8125, 119132.96875, 157712.125
340512, 157586.96875, 119138.140625, 157714.0625
340533, 157588.890625, 119141.8515625, 157714.0625
340552, 157590.8125, 119140.3515625, 157714.0625
340572, 157592.734375, 119141.1015625, 157714.0625
340592, 157588.890625, 119141.8359375, 157712.125
340612, 157590.8125, 119142.5703125, 157708.265625
340633, 157585.046875, 119143.3203125, 157712.125
340652, 157588.890625, 119149.2265625, 157710.203125
340672, 157588.890625, 119141.8359375, 157706.34375
340692, 157586.96875, 119151.4453125, 157708.265625
340712, 157586.96875, 119155.140625, 157712.125
340733, 157586.96875, 119151.4453125, 157706.34375
340752, 157586.96875, 119149.9609375, 157706.34375
340772, 157586.96875, 119161.796875, 157706.34375
340792, 157585.046875, 119152.1796875, 157708.265625
340812, 157581.203125, 119156.609375, 157710.203125
340833, 157585.046875, 119164.015625, 157704.421875
340852, 157583.125, 119169.9140625, 157706.34375
340873, 157585.046875, 119163.28125, 157706.34375
340893, 157583.125, 119163.265625, 157704.421875
340912, 157583.125, 119174.3515625, 157706.34375
340932, 157585.046875, 119167.703125, 157702.484375
340952, 157583.125, 119172.1484375, 157704.421875
340972, 157585.046875, 119165.484375, 157700.5625
340992, 157581.203125, 119181.7421875, 157698.640625
341012, 157585.046875, 119181.7421875, 157702.484375
341032, 157581.203125, 119174.3515625, 157702.484375
341052, 157579.28125, 119187.65625, 157700.5625
341073, 157585.046875, 119187.65625, 157698.640625
341094, 157579.28125, 119183.953125, 157698.640625
341112, 157579.28125, 119170.6484375, 157696.703125
341134, 157579.28125, 119186.90625, 157696.703125
341152, 157579.28125, 119187.65625, 157696.703125
341172, 157579.28125, 119188.390625, 157700.5625
341193, 157575.4375, 119192.828125, 157698.640625
341212, 157581.203125, 119189.125, 157696.703125
341233, 157573.515625, 119195.78125, 157696.703125
341252, 157575.4375, 119200.2109375, 157689.0
341272, 157577.359375, 119198.734375, 157694.78125
341292, 157571.59375, 119198.734375, 157692.859375
341312, 157577.359375, 119197.984375, 157690.921875
341333, 157571.59375, 119208.3515625, 157690.921875
341352, 157571.59375, 119197.25, 157690.921875
341372, 157577.359375, 119192.8125, 157692.859375
341392, 157573.515625, 119197.25, 157690.921875
341412, 157575.4375, 119206.1171875, 157689.0
341433, 157573.515625, 119209.8203125, 157687.078125
341452, 157571.59375, 119212.7734375, 157683.21875
341473, 157567.75, 119203.8984375, 157687.078125
341493, 157571.59375, 119200.9453125, 157685.140625
341512, 157571.59375, 119192.0625, 157687.078125
341533, 157571.59375, 119191.328125, 157687.078125
341552, 157569.671875, 119177.2734375, 157683.21875
341574, 157565.828125, 119175.0546875, 157687.078125
341592, 157567.75, 119189.84375, 157681.296875
341612, 157569.671875, 119156.5859375, 157683.21875
341633, 157565.828125, 119216.453125, 157681.296875
341652, 157569.671875, 119168.421875, 157681.296875
341672, 157569.671875, 119208.3203125, 157679.359375
341692, 157565.828125, 119227.546875, 157679.359375
341712, 157565.828125, 119223.109375, 157679.359375
341733, 157563.90625, 119229.765625, 157679.359375
341752, 157567.75, 119239.3671875, 157673.578125
341772, 157567.75, 119231.984375, 157677.4375
341794, 157563.90625, 119231.234375, 157675.515625
341812, 157565.828125, 119226.046875, 157673.578125
341834, 157567.75, 119230.5, 157675.515625
341852, 157565.828125, 119234.9140625, 157673.578125
341872, 157561.96875, 119234.1796875, 157673.578125
341892, 157561.96875, 119240.8359375, 157673.578125
341912, 157561.96875, 119238.6171875, 157675.515625
341934, 157561.96875, 119237.1328125, 157673.578125
341952, 157558.125, 119243.7890625, 157671.65625
341973, 157558.125, 119247.4921875, 157671.65625
341992, 157556.203125, 119251.171875, 157671.65625
342013, 157558.125, 119256.359375, 157669.734375
342034, 157556.203125, 119260.046875, 157665.875
342052, 157561.96875, 119257.078125, 157667.8125
342072, 157558.125, 119257.828125, 157665.875
342092, 157558.125, 119254.859375, 157669.734375
342112, 157558.125, 119266.703125, 157669.734375
342132, 157558.125, 119263.0, 157667.8125
342152, 157558.125, 119274.8203125, 157667.8125
342172, 157554.28125, 119274.8203125, 157665.875
342192, 157554.28125, 119280.7265625, 157663.953125
342212, 157552.359375, 119280.7265625, 157665.875
342233, 157554.28125, 119281.4765625, 157663.953125
342252, 157552.359375, 119279.2578125, 157667.8125
342272, 157554.28125, 119265.9375, 157662.03125
342292, 157552.359375, 119261.5, 157662.03125
342313, 157554.28125, 119266.6875, 157660.109375
342334, 157552.359375, 119260.765625, 157660.109375
342352, 157550.4375, 119265.953125, 157662.03125
342373, 157550.4375, 119271.8515625, 157660.109375
342392, 157548.515625, 119276.2890625, 157658.171875
342412, 157550.4375, 119282.9453125, 157662.03125
342434, 157550.4375, 119286.6328125, 157658.171875
342452, 157548.515625, 119287.3828125, 157662.03125
342473, 157548.515625, 119279.9765625, 157660.109375
342492, 157546.59375, 119291.078125, 157660.109375
342512, 157548.515625, 119270.3671875, 157660.109375
342534, 157546.59375, 119280.7265625, 157656.25
342552, 157550.4375, 119279.2421875, 157658.171875
342572, 157546.59375, 119280.7109375, 157658.171875
342592, 157550.4375, 119291.078125, 157654.328125
342612, 157548.515625, 119293.28125, 157658.171875
342633, 157546.59375, 119301.421875, 157654.328125
342652, 157546.59375, 119304.375, 157652.40625
342672, 157548.515625, 119302.15625, 157656.25
342692, 157544.671875, 119301.40625, 157654.328125
342712, 157544.671875, 119303.625, 157656.25
342732, 157542.75, 119291.796875, 157652.40625
342752, 157542.75, 119299.1875, 157652.40625
342773, 157542.75, 119296.234375, 157650.46875
342794, 157542.75, 119299.1875, 157654.328125
342812, 157542.75, 119307.3125, 157654.328125
342832, 157542.75, 119314.7109375, 157650.46875
342852, 157542.75, 119311.0078125, 157652.40625
342872, 157538.921875, 119317.6640625, 157650.46875
342892, 157542.75, 119315.4453125, 157650.46875
342912, 157538.921875, 119311.7421875, 157652.40625
342932, 157538.921875, 119322.1015625, 157650.46875
342952, 157542.75, 119311.7421875, 157650.46875
342973, 157538.921875, 119315.4453125, 157646.625
342992, 157538.921875, 119313.9609375, 157646.625
343012, 157538.921875, 119319.8828125, 157648.546875
343032, 157537.0, 119325.0546875, 157646.625
343052, 157537.0, 119323.5703125, 157646.625
343072, 157537.0, 119333.9296875, 157648.546875
343092, 157535.078125, 119328.0078125, 157644.703125
343112, 157537.0, 119335.4140625, 157644.703125
343132, 157538.921875, 119327.2578125, 157646.625
343152, 157537.0, 119328.7421875, 157642.765625
343173, 157535.078125, 119331.6875, 157642.765625
