timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw, laserFront
197358, -1.5206456184387207, -0.9059523344039917, 0.025236107409000397, -0.6107842922210693, -1.635347843170166, 0.02100825309753418, 0, 0, 0, 0, 0, 0, 0, 0
197378, -1.522873044013977, -0.9118948578834534, 0.02568526566028595, -0.31354591250419617, -0.8444587588310242, 0.023219993337988853, 157383.515625, 120390.8515625, 157502.421875, 156092.75, 145851.71875, 155627.0625, -0.5523722171783447, 263.0
197398, -1.5195366144180298, -0.903444766998291, 0.025579005479812622, -0.08981286734342575, -0.26600369811058044, 0.006578837055712938, 157385.4375, 120394.5625, 157500.5, 156088.328125, 145857.734375, 155629.65625, -0.8831196427345276, 263.0
197418, -1.5176926851272583, -0.8984785079956055, 0.02531624771654606, -0.029723528772592545, -0.10775203257799149, -0.0012530273525044322, 157383.515625, 120403.453125, 157502.421875, 156092.75, 145856.625, 155635.109375, -1.2118542194366455, 263.0
197438, -1.5174026489257812, -0.8978955745697021, 0.025247180834412575, -0.013940329663455486, -0.06319566816091537, -0.0024273053277283907, 157387.34375, 120391.578125, 157506.265625, 156095.234375, 145860.1875, 155630.84375, -1.4280426502227783, 263.0
197458, -1.5170116424560547, -0.8968202471733093, 0.025067290291190147, -0.004198493901640177, -0.03367053344845772, -0.0038874454330652952, 157385.4375, 120394.5625, 157504.34375, 156094.65625, 145859.515625, 155620.1875, -1.643884301185608, 263.0
197479, -1.5168627500534058, -0.8965587615966797, 0.025017818436026573, -0.0014073664788156748, -0.02394653856754303, -0.003575181821361184, 157385.4375, 120393.8046875, 157502.421875, 156088.328125, 145854.84375, 155633.921875, -1.788196325302124, 266.0
197498, -1.516772747039795, -0.8963491916656494, 0.025026414543390274, 0.0002438957744743675, -0.01760421320796013, -0.0027115517295897007, 157381.609375, 120403.453125, 157504.34375, 156092.75, 145852.828125, 155634.515625, -1.9396109580993652, 266.0
197518, -1.5166515111923218, -0.8961260914802551, 0.02496275119483471, 0.0017344936495646834, -0.0131080886349082, -0.0028407948557287455, 157387.34375, 120396.7890625, 157498.578125, 156096.578125, 145863.75, 155628.359375, -2.0735509395599365, 266.0
197539, -1.5165953636169434, -0.8959148526191711, 0.025015484541654587, 0.002089907182380557, -0.010357916355133057, -0.0017173034138977528, 157383.515625, 120396.0546875, 157502.421875, 156090.25, 145857.296875, 155630.25, -2.1653029918670654, 266.0
197558, -1.5165414810180664, -0.8958531022071838, 0.025000644847750664, 0.0023256985004991293, -0.009052280336618423, -0.0013641773257404566, 157385.4375, 120396.7890625, 157502.421875, 156087.171875, 145860.1875, 155630.84375, -2.2563304901123047, 266.0
197578, -1.516519546508789, -0.8958641886711121, 0.02504451759159565, 0.0022175866179168224, -0.008497759699821472, -0.0009200767963193357, 157383.515625, 120396.7890625, 157502.421875, 156089.671875, 145855.953125, 155624.578125, -2.3306009769439697, 266.0
197598, -1.5164989233016968, -0.8958879113197327, 0.025047482922673225, 0.0019012923585250974, -0.008355621248483658, -0.0006796815432608128, 157387.34375, 120397.515625, 157502.421875, 156097.15625, 145855.28125, 155637.0, -2.400862216949463, 266.0
197618, -1.5164847373962402, -0.8957774043083191, 0.02503625489771366, 0.0012922664172947407, -0.007814914919435978, -0.0007804956985637546, 157383.515625, 120390.8515625, 157502.421875, 156094.09375, 145855.953125, 155619.015625, -2.467729330062866, 266.0
197638, -1.5164953470230103, -0.8957890868186951, 0.02503386326134205, 0.0004115697229281068, -0.007756584789603949, -0.00014792649017181247, 157383.515625, 120393.8359375, 157504.34375, 156097.15625, 145853.5, 155636.40625, -2.522228956222534, 266.0
197658, -1.5165224075317383, -0.8957514762878418, 0.025033140555024147, -7.735007966402918e-05, -0.007555792108178139, 0.00019363600586075336, 157383.515625, 120387.8671875, 157504.34375, 156090.25, 145862.640625, 155623.984375, -2.575904130935669, 266.0
197680, -1.5165477991104126, -0.8957520723342896, 0.025076428428292274, -0.00041651775245554745, -0.0075469668954610825, 0.0005274625145830214, 157387.34375, 120393.0703125, 157506.265625, 156092.171875, 145857.0625, 155633.328125, -2.629777193069458, 266.0
197698, -1.5165555477142334, -0.895785927772522, 0.025087160989642143, -0.0008370868745259941, -0.008222946897149086, 0.00041089276783168316, 157383.515625, 120398.28125, 157506.265625, 156095.234375, 145859.515625, 155640.1875, -2.6623482704162598, 266.0
197718, -1.5165925025939941, -0.8958213329315186, 0.025102855637669563, -0.0014175809919834137, -0.008755174465477467, 0.0006578848697245121, 157385.4375, 120390.1171875, 157502.421875, 156092.171875, 145857.734375, 155633.328125, -2.699845790863037, 266.0
197738, -1.5166233777999878, -0.8958737850189209, 0.025088366121053696, -0.0019889534451067448, -0.009403284639120102, 0.0005705746007151902, 157385.4375, 120394.5625, 157506.265625, 156097.734375, 145855.953125, 155633.921875, -2.737766981124878, 266.0
197758, -1.5166586637496948, -0.8959207534790039, 0.025124089792370796, -0.002533580642193556, -0.009810150600969791, 0.0007095849723555148, 157381.609375, 120384.9140625, 157508.1875, 156085.25, 145861.296875, 155633.921875, -2.7761855125427246, 266.0
197778, -1.5167144536972046, -0.8960399031639099, 0.025117924436926842, -0.0030722753144800663, -0.010926792398095131, 0.0005450457683764398, 157385.4375, 120385.671875, 157502.421875, 156096.578125, 145859.078125, 155630.84375, -2.806321620941162, 265.0
197798, -1.5167597532272339, -0.8960990309715271, 0.02513764053583145, -0.003596203401684761, -0.011539176106452942, 0.0005809781141579151, 157383.515625, 120391.578125, 157500.5, 156096.578125, 145855.28125, 155638.296875, -2.8318746089935303, 265.0
197818, -1.5168136358261108, -0.8961548209190369, 0.025141485035419464, -0.00425329152494669, -0.011883389204740524, 0.0007354241097345948, 157385.4375, 120390.8515625, 157504.34375, 156094.65625, 145855.953125, 155640.1875, -2.854393243789673, 265.0
197838, -1.5168781280517578, -0.8962720036506653, 0.02519131638109684, -0.004828764125704765, -0.012090695090591908, 0.001136211445555091, 157383.515625, 120395.296875, 157502.421875, 156104.0625, 145864.421875, 155631.4375, -2.8768227100372314, 265.0
197858, -1.5169343948364258, -0.8963389992713928, 0.025182044133543968, -0.0052619194611907005, -0.012797648087143898, 0.0011542756110429764, 157385.4375, 120391.609375, 157506.265625, 156094.65625, 145856.625, 155623.984375, -2.8873589038848877, 265.0
197878, -1.5169916152954102, -0.8963874578475952, 0.02517424337565899, -0.005342502612620592, -0.013363041914999485, 0.0014381352812051773, 157381.609375, 120398.28125, 157502.421875, 156099.65625, 145861.96875, 155640.1875, -2.9088833332061768, 263.0
197898, -1.5169832706451416, -0.8963555097579956, 0.02518882229924202, -0.0052377283573150635, -0.013522595167160034, 0.0015635744202882051, 157381.609375, 120393.8046875, 157502.421875, 156103.5, 145856.625, 155632.734375, -2.918304443359375, 263.0
197918, -1.517033576965332, -0.8964358568191528, 0.025187768042087555, -0.005477488972246647, -0.014080766588449478, 0.0018094764091074467, 157383.515625, 120381.9609375, 157504.34375, 156098.5, 145859.515625, 155627.640625, -2.9416697025299072, 263.0
197938, -1.5170718431472778, -0.8965124487876892, 0.02521759271621704, -0.005738634616136551, -0.014625102281570435, 0.001982184126973152, 157383.515625, 120387.8984375, 157502.421875, 156097.15625, 145864.421875, 155637.703125, -2.9500536918640137, 263.0
197959, -1.5171338319778442, -0.8966863751411438, 0.0252744909375906, -0.005940642207860947, -0.015493813902139664, 0.0023222777526825666, 157383.515625, 120390.8515625, 157504.34375, 156085.25, 145855.953125, 155634.515625, -2.966433525085449, 263.0
197978, -1.5171561241149902, -0.896695613861084, 0.0252675898373127, -0.006251429673284292, -0.015691684558987617, 0.002268895274028182, 157385.4375, 120387.8984375, 157504.34375, 156097.15625, 145857.734375, 155635.8125, -2.9779443740844727, 268.0
197998, -1.5171738862991333, -0.8967201709747314, 0.02525862120091915, -0.0066922008991241455, -0.016142070293426514, 0.0024363684933632612, 157383.515625, 120393.8359375, 157506.265625, 156096.578125, 145859.515625, 155630.84375, -2.993372678756714, 268.0
198018, -1.5172117948532104, -0.8967764973640442, 0.02527986280620098, -0.0072181043215096, -0.016444571316242218, 0.0025270329788327217, 157385.4375, 120396.0546875, 157504.34375, 156094.09375, 145849.265625, 155628.953125, -2.9991888999938965, 268.0
198038, -1.5172698497772217, -0.8968580961227417, 0.025295577943325043, -0.007499428931623697, -0.016866309568285942, 0.002568930620327592, 157385.4375, 120390.8515625, 157500.5, 156090.25, 145857.0625, 155635.8125, -3.0070197582244873, 268.0
198058, -1.51728355884552, -0.8968840837478638, 0.025296922773122787, -0.007769330870360136, -0.016864042729139328, 0.002364264102652669, 157385.4375, 120396.0546875, 157504.34375, 156090.25, 145839.4375, 155628.953125, -3.0133721828460693, 268.0
