whisker1_1,whisker1_2,whisker1_3,whisker2_1,whisker2_2,whisker2_3,WhiskerGT1,WhiskerGT2,laser,yaw,pitch
1.8540724511240114e-14,-1.5987211554602254e-14,-4.0245584642661925e-15,-1.0148132334464322e-16,1.9317880628477724e-14,-1.2989609388114332e-14,226.06813162001723,225.93186837998277,0.0,2.13469672203064,0.2048157602548599
-1.1840259796776005,1.1762570159274963,0.033272387736545006,-0.10890715703347731,0.0879102233860567,0.9164847873599677,0.0,0.0,894.0,2.140861988067627,0.094554603099823
-2.8400224531410947,2.9335408237080998,0.4284446715702418,-1.289198955465269,-1.1738731439077956,1.0061785410189832,0.0,0.0,894.0,2.1501753330230717,-0.1901316344738006
-3.295821694323188,3.800654703755794,0.764502626635657,-1.6334970959816961,-1.9157437902506842,1.0086313255686135,0.0,0.0,894.0,2.161386013031006,-0.7029895782470703
-3.536449275384827,4.749005835677446,1.0594364774349705,-1.2077384139028378,-1.249376345063159,2.3626124266300392,0.0,0.0,888.0,2.1741528511047363,-1.3476803302764893
-3.932833023407371,5.990342285410311,1.0221756964223725,-0.7469321773769342,-0.5632949488443348,4.159948090995912,0.0,0.0,888.0,2.1846845149993896,-2.0002737045288086
-4.434985719831005,6.260194845300287,0.45177234791999615,1.2122942160126,0.1965699873002127,3.8293021779655456,0.0,0.0,888.0,2.200446128845215,-2.5578830242156982
-4.705030205940139,6.569190323271962,0.4305971934960045,0.6597960170022894,0.7265940634196442,1.95947080330421,0.0,0.0,891.0,2.2032487392425537,-3.04597806930542
-4.815721060051253,6.790854052339322,0.4817851837526399,-1.0253934603918695,1.4856376971182972,1.6357657570185327,0.0,0.0,891.0,2.212567090988159,-3.375473022460937
-5.426550621188878,5.542327958719806,0.888310500609287,0.14950808736525834,-0.30911178420681584,1.748848104923388,0.0,0.0,891.0,2.2163445949554443,-3.6132051944732666
-6.07488117836047,4.108282610478252,0.9252788536042197,0.3355795442622129,-4.1263407125821026,2.555300872946261,0.0,0.0,890.0,2.215660095214844,-3.766827344894409
-6.135702785941397,2.310881885826948,0.09992907914770394,-0.054129466136602744,-7.385387801633925,2.9611521851857505,0.0,0.0,890.0,2.1966874599456787,-3.8263890743255615
-6.100356680593838,0.04151893213136959,-0.09250385078511483,0.5372138412326415,-9.977160270803955,3.4054236505492383,0.0,0.0,888.0,2.176955223083496,-3.8046529293060303
-5.9992837722702035,-1.3742752701307597,0.757886265149175,0.5206055264385889,-11.22390515205237,3.250890862997677,0.0,0.0,888.0,2.1569247245788574,-3.6645097732543945
-5.244052338478507,-1.2718417043705432,1.4047403994495404,0.9713175782822193,-10.496848393748985,2.292219070499692,0.0,0.0,888.0,2.135889768600464,-3.5838356018066406
-4.348697786057701,0.700596945901038,0.6922457835881228,0.8576133373547776,-8.916682041718946,1.0961520408649923,0.0,0.0,880.0,2.0811879634857178,-3.123690605163574
-4.272131573180164,2.7655068795551347,0.2699039646201271,-1.0162521635916077,-6.3686582085437085,-0.5732593379938904,0.0,0.0,880.0,2.068847179412842,-2.96911883354187
-4.450006587399715,5.127602284671169,0.6563292796795607,-3.012487390276067,-3.938257882520981,0.12111984157355282,0.0,0.0,880.0,2.006154537200928,-2.4345409870147705
-4.498149430425543,6.994991110514421,0.9859427978906249,-4.400079261966555,-3.20183659806842,1.6419118805049144,0.0,0.0,874.0,1.979483962059021,-2.2753326892852783
-4.763361786179645,6.620409302340602,1.5794830448771153,-3.8955338806641855,-3.068342950340927,3.3278538159426185,0.0,0.0,874.0,1.9257689714431765,-1.9493309259414675
-5.174091242892561,6.02269262926313,1.7430129230252287,-1.7075893477141428,-3.952100426074297,4.955622434573039,0.0,0.0,874.0,1.8820269107818604,-1.6934380531311035
-5.074163074730377,5.045298947694382,1.9179286749759763,0.941851216691336,-5.312968569574335,5.296848994888299,0.0,0.0,858.0,1.8475985527038572,-1.5023432970046997
-4.321581259702766,4.150571507401827,1.796819341642166,3.0209218157413704,-4.843688015516992,6.338591601174407,0.0,0.0,858.0,1.7915406227111816,-1.3238807916641235
-4.039292666275997,3.5411895510994795,1.167483866128537,3.721147361277152,-4.285202456504511,6.419164206963044,0.0,0.0,858.0,1.731950044631958,-1.153064489364624
-4.3828114302101335,2.069853093525534,0.4951512925343531,2.790677668250743,-6.20553172529967,4.7391132200625465,0.0,0.0,846.0,1.676952838897705,-0.9550830125808716
-4.847886005658034,1.6733761281313495,0.40661564909498654,1.826983040100897,-7.883731496915648,3.4392887188734527,0.0,0.0,846.0,1.6243687868118286,-0.7392889857292175
-5.091728572552389,2.1266097365393506,0.7176934700487181,1.624594305971081,-6.96518068713095,2.2591420473583037,0.0,0.0,840.0,1.5714924335479736,-0.4743849039077759
-5.183711884194956,2.9222200644203102,0.08030865100673007,0.7666585350815758,-6.312134987054898,-0.3565193141012619,0.0,0.0,840.0,1.5319204330444336,-0.220945656299591
-4.868144828985796,5.2346442273228,0.014054070807858171,1.2308911681280243,-6.33796784893736,0.6225886377180765,0.0,0.0,840.0,1.4880977869033811,0.0327333435416221
-3.9684381540286466,6.590433731619385,0.6446310421531387,1.5181947640428812,-5.3898758551838455,4.789552122530145,0.0,0.0,825.0,1.4472330808639526,0.1849878430366516
-3.8871941924172777,7.061976910929352,1.141317137599903,0.8993021737369591,-3.6663127130113207,5.911171530677428,0.0,0.0,825.0,1.4145166873931885,0.3143925368785858
-4.672037320521237,6.209618229089604,1.5453928292344545,0.6460397384895192,-2.2520201803948394,5.736394320271709,0.0,0.0,825.0,1.3751236200332642,0.3789281845092773
-5.13502083865682,4.454396831212539,1.2758970776799832,1.620454030711033,-3.6525860710990057,4.842740803386948,0.0,0.0,815.0,1.3544765710830688,0.3952815234661102
-4.7699285492173145,2.789354562056773,0.8520159084253704,2.5471654218150763,-4.205620580500823,2.8965180684993874,0.0,0.0,815.0,1.3334461450576782,0.4175677299499511
-3.839001945937349,1.781493971840072,0.6268215699101494,1.5791194112560913,-3.62254275258565,1.9561397432840562,0.0,0.0,815.0,1.3049381971359253,0.4353872239589691
-4.346050432922617,2.395985700478615,0.23209380617834574,0.49347229146880206,-4.367810924887296,2.3522586926508438,0.0,0.0,804.0,1.2822725772857666,0.4653851985931396
-4.92308648527314,3.879938021286547,-0.2778326702427193,-0.5717604956987599,-3.5902654796339064,2.729420314794895,0.0,0.0,804.0,1.2547067403793335,0.5016488432884216
-4.63398952573865,4.4323028373730615,0.0497721056682206,-1.423502765275213,-2.653158253803428,3.1520625790228975,0.0,0.0,804.0,1.2401458024978638,0.5277488231658936
-4.665720612579722,4.358495407847762,0.6462938204733529,-0.8543941885881545,-3.8218244774797467,2.9832421989654136,0.0,0.0,792.0,1.2331862449645996,0.542195200920105
-4.613436340587472,5.506948358587685,0.8162134616922101,0.6857147942200932,-4.881988465349203,3.991541371510305,0.0,0.0,792.0,1.22767972946167,0.5316210389137268
-4.200311663309535,5.120869682273227,0.9973708727904433,1.4141737642033438,-4.53596927827156,5.489862408344924,0.0,0.0,781.0,1.2247973680496216,0.471954196691513
-3.5411328285301584,4.038446684209094,1.1858517088762968,1.9781115001998089,-4.496662834600541,5.346695027547779,0.0,0.0,781.0,1.2256722450256348,0.3978873491287231
-3.321858054473607,3.540185220205216,1.6848926036462613,1.547564597484985,-5.609749640056972,4.056035582537359,0.0,0.0,781.0,1.233198165893555,0.2946487665176391
-3.7099383694398456,2.2707055056746546,1.4776235966478146,0.5361451992686663,-5.468707136701525,2.2320485678747324,0.0,0.0,771.0,1.2249466180801392,0.2031304538249969
-4.209326696205318,1.0682398966706426,1.0934439237541582,-0.18479320723317438,-5.73799935901466,2.7311233394195007,0.0,0.0,771.0,1.2196290493011477,0.1095219701528549
-4.172005442170259,2.6094392597970186,1.5067855665873782,-0.7055295695159212,-8.004653304954893,4.196906142974832,0.0,0.0,771.0,1.2219384908676147,0.0403142794966697
-3.767541878011306,4.387779418692186,1.8530995280074345,-1.7741112417666782,-6.930898498272624,4.11796844893753,0.0,0.0,761.0,1.224520564079285,-0.022096648812294
-3.7245541285189327,4.674244409514536,1.5409951454036435,-1.9398446929078337,-5.3995055761923965,4.53660941935322,0.0,0.0,761.0,1.2265691757202148,-0.0742294192314148
-3.9289754691351546,4.292193876203223,1.0849590820273851,-0.6042651139640375,-5.660117870627973,5.378733892110623,0.0,0.0,761.0,1.2366894483566284,-0.1127082258462905
-3.996332508336061,2.6233105149971774,1.143223968834381,-1.0912981941714994,-5.041797741714726,5.01379994048636,0.0,0.0,753.0,1.2269208431243896,-0.1513305753469467
-3.6638444211698684,1.2480150365338916,2.1626489352219154,-2.138508928764403,-4.1046158581072225,3.82373080748315,0.0,0.0,753.0,1.2319300174713137,-0.1962096989154815
-2.7549899644698383,1.5110293149221032,2.3129309154445314,-1.4056368043041818,-4.7768679018962565,2.550135501157538,0.0,0.0,753.0,1.2441734075546265,-0.2326891422271728
-2.3689398860781394,1.823693650372436,1.5623109966642903,-0.5369298384403557,-6.763585290017605,2.7170684705700276,0.0,0.0,746.0,1.2551323175430298,-0.2720491886138916
-3.2517595920217204,1.1137472655029321,1.4155909024903004,-0.26537863969562586,-8.20729138684604,2.6258207130659996,0.0,0.0,746.0,1.263999581336975,-0.3071568012237549
-3.7846441912235576,1.5941830816501803,1.0754312204588976,0.28539135280652755,-8.287218749435313,2.50120546071951,0.0,0.0,738.0,1.2754288911819458,-0.3278998136520386
-3.4701026584207924,2.988031717587961,1.2129981455731849,0.24153074679075953,-7.648529305102634,2.724087657877214,0.0,0.0,738.0,1.2894688844680786,-0.3265823125839233
-3.1833101743145265,3.127740896207981,1.3712192799018494,-0.8949630825688575,-7.572932963549121,2.0247066365573927,0.0,0.0,738.0,1.3084365129470823,-0.3104808926582336
-3.219544661545484,3.478603925224026,0.9338608105542858,-2.7767455928224756,-7.280767865830666,3.0666770020270677,0.0,0.0,728.0,1.3213542699813845,-0.2911504805088043
-3.173259212735749,4.553016881209262,0.6992801624226135,-4.4787850289253,-6.2809669274334645,6.230572685525589,0.0,0.0,728.0,1.3446909189224243,-0.2719355821609497
-3.374069298061373,4.585733949633414,0.29798408810412974,-4.093006621974784,-5.0161287339750675,7.057732100931524,0.0,0.0,728.0,1.3783890008926392,-0.2670629918575287
-3.743537441719209,3.6786748899071564,0.08936024179315831,-2.866705477556751,-4.130084736333894,5.184064126319237,0.0,0.0,715.0,1.4089481830596924,-0.2611303031444549
-3.3172690241872105,2.0033898842296742,0.3189135582278793,-2.345787528359583,-3.2262092263640234,3.2722370788997655,0.0,0.0,715.0,1.426212191581726,-0.2753528952598572
-2.954341150738405,1.341679175288321,0.541875709029006,-1.033015783367536,-2.69930325068131,1.8167903553012137,0.0,0.0,715.0,1.4447087049484253,-0.2772320508956909
-2.938945609444414,2.6725263523477314,0.45394874820122577,0.9200493620288646,-2.8804091931072366,0.8443039648335497,0.0,0.0,706.0,1.4610830545425415,-0.2740955650806427
-3.1613633379852706,2.418194008940471,0.45941792887881905,1.1460194606281928,-2.215765783647527,0.036453945089376494,0.0,0.0,706.0,1.4653501510620115,-0.2621832489967346
-3.546044591556901,1.557190478339504,1.1381699191238295,0.8781939422912488,-0.8652444531206951,0.9218697408840403,0.0,0.0,706.0,1.4833368062973022,-0.2562677562236786
-4.043437922414869,1.6804927518005315,1.9702841890788894,1.3536752828087664,-1.369779888287869,2.258422749903457,0.0,0.0,697.0,1.4983664751052856,-0.2503849565982818
-4.920408016225075,2.477009966708648,1.9927959600847482,2.3367691744262977,-4.0233116431351075,2.7783838801389638,0.0,0.0,697.0,1.514284610748291,-0.2464812844991684
-5.139994274843675,2.8011767622934594,1.4613309141245177,2.4858797872114815,-5.820225958335924,3.071650994959655,0.0,0.0,687.0,1.5251646041870115,-0.2432722449302673
-4.302429524922143,2.4499342768281056,0.8578358064149203,1.5731091250480342,-5.20170702310522,2.9797748212818895,0.0,0.0,687.0,1.541651725769043,-0.2182182520627975
-3.352642056022505,2.820294295657241,0.8156671754789087,1.8995096872611343,-4.648945693208947,3.8729584948747275,0.0,0.0,687.0,1.5572102069854736,-0.1980433613061905
-3.2408422430805013,3.443079295021735,0.5457849240240715,2.384753180277891,-4.250846665051633,5.295223721822995,0.0,0.0,676.0,1.5697898864746094,-0.1538462042808532
-3.7026205538333863,3.6340933457552165,0.4265747117961352,2.5854176112942,-3.4634689621617696,4.6193125180533965,0.0,0.0,676.0,1.5706816911697388,-0.1112372502684593
-3.337126282470088,3.8944454131758306,1.0200871098955089,1.6114995495650288,-3.294583016211308,2.965616305858173,0.0,0.0,676.0,1.5798355340957642,-0.068133145570755
-3.0157401216865547,5.031917564069338,1.4906560973842018,0.914050146354529,-3.6577665646502635,1.8551695796461711,0.0,0.0,665.0,1.5708565711975098,-0.0219834074378013
-2.4217187501741138,4.879833648759308,1.8761576453255242,1.093042585008005,-3.007577013189725,0.8077913850418715,0.0,0.0,665.0,1.567338466644287,0.0087652234360575
-1.945820750302697,3.8457401113554224,1.8967485668955597,0.4995880120621464,-1.1077662109779385,-0.5298578803581667,0.0,0.0,665.0,1.57228684425354,0.0191461648792028
