Timestamp,range.back,range.front,range.left,range.right,range.up,range.zrange
1028503,0,245,0,0,0,0
1028523,0,245,0,0,0,0
1028543,0,245,0,0,0,0
1028563,0,245,0,0,0,0
1028583,0,244,0,0,0,0
1028603,0,244,0,0,0,0
1028623,0,244,0,0,0,0
1028643,0,245,0,0,0,0
1028663,0,245,0,0,0,0
1028683,0,245,0,0,0,0
1028703,0,245,0,0,0,0
1028723,0,245,0,0,0,0
1028743,0,245,0,0,0,0
1028763,0,245,0,0,0,0
1028783,0,245,0,0,0,0
1028803,0,245,0,0,0,0
1028823,0,245,0,0,0,0
1028843,0,245,0,0,0,0
1028863,0,244,0,0,0,0
1028883,0,244,0,0,0,0
1028903,0,244,0,0,0,0
1028923,0,244,0,0,0,0
1028943,0,244,0,0,0,0
1028963,0,244,0,0,0,0
1028983,0,245,0,0,0,0
1029003,0,245,0,0,0,0
1029023,0,245,0,0,0,0
1029043,0,245,0,0,0,0
1029063,0,245,0,0,0,0
1029083,0,245,0,0,0,0
1029103,0,243,0,0,0,0
1029123,0,243,0,0,0,0
1029143,0,245,0,0,0,0
1029163,0,245,0,0,0,0
1029183,0,245,0,0,0,0
1029203,0,244,0,0,0,0
1029223,0,244,0,0,0,0
1029243,0,244,0,0,0,0
1029263,0,244,0,0,0,0
1029283,0,244,0,0,0,0
1029303,0,244,0,0,0,0
1029323,0,244,0,0,0,0
1029343,0,244,0,0,0,0
1029363,0,244,0,0,0,0
1029383,0,245,0,0,0,0
1029403,0,245,0,0,0,0
1029423,0,245,0,0,0,0
1029443,0,245,0,0,0,0
1029463,0,245,0,0,0,0
1029483,0,246,0,0,0,0
1029503,0,246,0,0,0,0
1029523,0,246,0,0,0,0
1029543,0,246,0,0,0,0
1029563,0,246,0,0,0,0
1029583,0,246,0,0,0,0
1029603,0,245,0,0,0,0
1029623,0,245,0,0,0,0
1029643,0,245,0,0,0,0
1029663,0,245,0,0,0,0
1029683,0,245,0,0,0,0
1029703,0,246,0,0,0,0
1029723,0,246,0,0,0,0
1029743,0,246,0,0,0,0
1029763,0,243,0,0,0,0
1029783,0,243,0,0,0,0
1029803,0,243,0,0,0,0
1029823,0,245,0,0,0,0
1029843,0,245,0,0,0,0
1029863,0,245,0,0,0,0
1029883,0,245,0,0,0,0
1029903,0,245,0,0,0,0
1029923,0,245,0,0,0,0
1029943,0,244,0,0,0,0
1029963,0,244,0,0,0,0
1029983,0,245,0,0,0,0
1030003,0,245,0,0,0,0
1030023,0,245,0,0,0,0
1030043,0,244,0,0,0,0
1030063,0,244,0,0,0,0
1030083,0,244,0,0,0,0
1030103,0,244,0,0,0,0
1030123,0,244,0,0,0,0
1030143,0,244,0,0,0,0
1030163,0,245,0,0,0,0
1030183,0,245,0,0,0,0
1030203,0,245,0,0,0,0
1030223,0,245,0,0,0,0
1030243,0,245,0,0,0,0
1030263,0,246,0,0,0,0
1030283,0,246,0,0,0,0
1030303,0,246,0,0,0,0
1030323,0,245,0,0,0,0
1030343,0,245,0,0,0,0
1030363,0,245,0,0,0,0
1030383,0,245,0,0,0,0
1030403,0,245,0,0,0,0
1030423,0,245,0,0,0,0
1030443,0,245,0,0,0,0
1030463,0,245,0,0,0,0
1030483,0,245,0,0,0,0
1030503,0,245,0,0,0,0
1030523,0,245,0,0,0,0
1030543,0,244,0,0,0,0
1030563,0,244,0,0,0,0
1030583,0,244,0,0,0,0
1030603,0,243,0,0,0,0
1030623,0,243,0,0,0,0
1030643,0,243,0,0,0,0
1030663,0,245,0,0,0,0
1030683,0,245,0,0,0,0
1030703,0,245,0,0,0,0
1030723,0,245,0,0,0,0
1030743,0,245,0,0,0,0
1030763,0,245,0,0,0,0
1030783,0,245,0,0,0,0
1030803,0,245,0,0,0,0
1030823,0,245,0,0,0,0
1030843,0,244,0,0,0,0
1030863,0,244,0,0,0,0
1030883,0,244,0,0,0,0
1030903,0,244,0,0,0,0
1030923,0,244,0,0,0,0
1030943,0,244,0,0,0,0
1030963,0,244,0,0,0,0
1030983,0,244,0,0,0,0
1031003,0,245,0,0,0,0
1031023,0,245,0,0,0,0
1031043,0,245,0,0,0,0
1031063,0,245,0,0,0,0
1031083,0,245,0,0,0,0
1031103,0,245,0,0,0,0
1031123,0,246,0,0,0,0
1031143,0,246,0,0,0,0
1031163,0,244,0,0,0,0
1031183,0,244,0,0,0,0
1031203,0,244,0,0,0,0
1031223,0,244,0,0,0,0
1031243,0,244,0,0,0,0
1031263,0,244,0,0,0,0
1031283,0,244,0,0,0,0
1031303,0,244,0,0,0,0
1031323,0,244,0,0,0,0
1031343,0,245,0,0,0,0
1031363,0,245,0,0,0,0
1031383,0,245,0,0,0,0
1031403,0,244,0,0,0,0
1031423,0,244,0,0,0,0
1031443,0,245,0,0,0,0
1031463,0,245,0,0,0,0
1031483,0,245,0,0,0,0
1031503,0,246,0,0,0,0
1031523,0,246,0,0,0,0
1031543,0,246,0,0,0,0
1031563,0,244,0,0,0,0
1031583,0,244,0,0,0,0
1031603,0,244,0,0,0,0
1031623,0,244,0,0,0,0
1031643,0,244,0,0,0,0
1031663,0,244,0,0,0,0
1031683,0,245,0,0,0,0
1031703,0,245,0,0,0,0
1031723,0,245,0,0,0,0
1031743,0,245,0,0,0,0
1031763,0,245,0,0,0,0
1031783,0,245,0,0,0,0
1031803,0,245,0,0,0,0
1031823,0,245,0,0,0,0
1031843,0,245,0,0,0,0
1031863,0,245,0,0,0,0
1031883,0,245,0,0,0,0
1031903,0,245,0,0,0,0
1031923,0,245,0,0,0,0
