Timestamp,range.back,range.front,range.left,range.right,range.up,range.zrange
267383,0,248,0,0,0,0
267403,0,248,0,0,0,0
267423,0,248,0,0,0,0
267443,0,247,0,0,0,0
267463,0,247,0,0,0,0
267483,0,247,0,0,0,0
267503,0,248,0,0,0,0
267523,0,248,0,0,0,0
267543,0,248,0,0,0,0
267563,0,248,0,0,0,0
267583,0,248,0,0,0,0
267603,0,248,0,0,0,0
267623,0,248,0,0,0,0
267643,0,248,0,0,0,0
267663,0,246,0,0,0,0
267683,0,246,0,0,0,0
267703,0,246,0,0,0,0
267723,0,248,0,0,0,0
267743,0,248,0,0,0,0
267763,0,248,0,0,0,0
267783,0,246,0,0,0,0
267803,0,246,0,0,0,0
267823,0,246,0,0,0,0
267843,0,246,0,0,0,0
267863,0,246,0,0,0,0
267883,0,246,0,0,0,0
267903,0,246,0,0,0,0
267923,0,246,0,0,0,0
267943,0,245,0,0,0,0
267963,0,245,0,0,0,0
267983,0,245,0,0,0,0
268003,0,247,0,0,0,0
268023,0,247,0,0,0,0
268043,0,247,0,0,0,0
268063,0,248,0,0,0,0
268083,0,248,0,0,0,0
268103,0,248,0,0,0,0
268123,0,246,0,0,0,0
268143,0,246,0,0,0,0
268163,0,250,0,0,0,0
268183,0,250,0,0,0,0
268203,0,250,0,0,0,0
268223,0,250,0,0,0,0
268243,0,250,0,0,0,0
268263,0,250,0,0,0,0
268283,0,247,0,0,0,0
268303,0,247,0,0,0,0
268323,0,247,0,0,0,0
268343,0,247,0,0,0,0
268363,0,247,0,0,0,0
268383,0,247,0,0,0,0
268403,0,247,0,0,0,0
268423,0,247,0,0,0,0
268443,0,247,0,0,0,0
268463,0,247,0,0,0,0
268483,0,247,0,0,0,0
268503,0,247,0,0,0,0
268523,0,247,0,0,0,0
268543,0,247,0,0,0,0
268563,0,248,0,0,0,0
268583,0,248,0,0,0,0
268603,0,248,0,0,0,0
268623,0,247,0,0,0,0
268643,0,247,0,0,0,0
268663,0,247,0,0,0,0
268683,0,247,0,0,0,0
268703,0,247,0,0,0,0
268723,0,247,0,0,0,0
268743,0,248,0,0,0,0
268763,0,248,0,0,0,0
268783,0,249,0,0,0,0
268803,0,249,0,0,0,0
268823,0,249,0,0,0,0
268843,0,248,0,0,0,0
268863,0,248,0,0,0,0
268883,0,248,0,0,0,0
268903,0,248,0,0,0,0
268923,0,248,0,0,0,0
268943,0,248,0,0,0,0
268963,0,246,0,0,0,0
268983,0,246,0,0,0,0
269003,0,246,0,0,0,0
269023,0,248,0,0,0,0
269043,0,248,0,0,0,0
269063,0,246,0,0,0,0
269083,0,246,0,0,0,0
269103,0,246,0,0,0,0
269123,0,247,0,0,0,0
269143,0,247,0,0,0,0
269163,0,247,0,0,0,0
269183,0,247,0,0,0,0
269203,0,247,0,0,0,0
269223,0,247,0,0,0,0
269243,0,247,0,0,0,0
269263,0,247,0,0,0,0
269283,0,247,0,0,0,0
269303,0,247,0,0,0,0
269323,0,247,0,0,0,0
269343,0,247,0,0,0,0
269363,0,247,0,0,0,0
269383,0,247,0,0,0,0
269403,0,248,0,0,0,0
269423,0,248,0,0,0,0
269443,0,248,0,0,0,0
269463,0,247,0,0,0,0
269483,0,247,0,0,0,0
269503,0,247,0,0,0,0
269523,0,249,0,0,0,0
269543,0,249,0,0,0,0
269563,0,249,0,0,0,0
269583,0,248,0,0,0,0
269603,0,248,0,0,0,0
269623,0,247,0,0,0,0
269643,0,247,0,0,0,0
269663,0,247,0,0,0,0
269683,0,248,0,0,0,0
269703,0,248,0,0,0,0
269723,0,248,0,0,0,0
269743,0,248,0,0,0,0
269763,0,248,0,0,0,0
269783,0,248,0,0,0,0
269803,0,246,0,0,0,0
269823,0,246,0,0,0,0
269843,0,246,0,0,0,0
269863,0,248,0,0,0,0
269883,0,248,0,0,0,0
269903,0,249,0,0,0,0
269923,0,249,0,0,0,0
269943,0,249,0,0,0,0
269963,0,246,0,0,0,0
269983,0,246,0,0,0,0
270003,0,246,0,0,0,0
270023,0,249,0,0,0,0
270043,0,249,0,0,0,0
270063,0,249,0,0,0,0
270083,0,248,0,0,0,0
270103,0,248,0,0,0,0
270123,0,248,0,0,0,0
270143,0,247,0,0,0,0
270163,0,247,0,0,0,0
270183,0,249,0,0,0,0
270203,0,249,0,0,0,0
270223,0,249,0,0,0,0
270243,0,248,0,0,0,0
270263,0,248,0,0,0,0
270283,0,248,0,0,0,0
270303,0,247,0,0,0,0
270323,0,247,0,0,0,0
270343,0,247,0,0,0,0
270363,0,248,0,0,0,0
270383,0,248,0,0,0,0
270403,0,248,0,0,0,0
