timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
103784, 0.0, 0.0, 9.181657791137695, 0.0, 0.0, 0.11234283447265625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
103804, 0.0, 0.0, 9.184125900268555, 0.0, 0.0, 0.145721435546875, 157567.75, 123851.578125, 157687.078125, 148491.046875, 139736.9375, 158350.046875, 0.0, 0.0, 0.0, 0.0, -0.38138866424560547, -0.2570815086364746, 0.022572368383407593, 1.3965470790863037, 250.0
103824, 0.0, 0.0, 9.187710762023926, 0.0, 0.0, 0.22735595703125, 157571.59375, 123856.8984375, 157687.078125, 148490.40625, 139734.5, 158352.828125, 0.0, 0.0, 0.0, 0.0, -0.3815765380859375, -0.25699758529663086, 0.02261713147163391, 1.3961527347564697, 250.0
103844, 0.0, 0.0, 9.187224388122559, 0.0, 0.0, -0.2532958984375, 157571.59375, 123853.1171875, 157687.078125, 148496.609375, 139742.53125, 158350.328125, 0.0, 0.0, 0.0, 0.0, -0.3815164566040039, -0.2570500373840332, 0.02283802628517151, 1.3970388174057007, 252.0
103864, 0.0, 0.0, 9.18179988861084, 0.0, 0.0, -0.31452178955078125, 157569.671875, 123847.09375, 157687.078125, 148488.5625, 139733.46875, 158353.9375, 0.0, 0.0, 0.0, 0.0, -0.3814373016357422, -0.25704479217529297, 0.022670984268188477, 1.3985910415649414, 252.0
103884, 0.0, 0.0, 9.176968574523926, 0.0, 0.0, -0.20008087158203125, 157569.671875, 123847.09375, 157687.078125, 148504.6875, 139732.765625, 158358.390625, 0.0, 0.0, 0.0, 0.0, -0.38152503967285156, -0.2570018768310547, 0.022644490003585815, 1.4017581939697266, 252.0
103904, 0.0, 0.0, 9.171907424926758, 0.0, 0.0, -0.3260612487792969, 157569.671875, 123850.046875, 157689.0, 148500.34375, 139740.796875, 158357.828125, 0.0, 0.0, 0.0, 0.0, -0.38152599334716797, -0.25700855255126953, 0.02275189757347107, 1.403815746307373, 250.0
103924, 0.0, 0.0, 9.164690971374512, 0.0, 0.0, -0.42819976806640625, 157569.671875, 123844.8515625, 157687.078125, 148505.3125, 139735.203125, 158360.328125, 0.0, 0.0, 0.0, 0.0, -0.3814854621887207, -0.257110595703125, 0.02262866497039795, 1.4049124717712402, 250.0
103944, 0.0, 0.0, 9.150260925292969, 0.0, 0.0, -1.0576248168945312, 157573.515625, 123851.578125, 157687.078125, 148504.6875, 139740.078125, 158353.375, 0.0, 0.0, 0.0, 0.0, -0.3815169334411621, -0.257051944732666, 0.02261415123939514, 1.4091923236846924, 250.0
103964, 0.0, 0.0, 9.141470909118652, 0.0, 0.0, 0.0728607177734375, 157571.59375, 123841.0703125, 157687.078125, 148504.6875, 139738.34375, 158358.9375, 0.0, 0.0, 0.0, 0.0, -0.38143110275268555, -0.2570223808288574, 0.0226132869720459, 1.4124243259429932, 250.0
