timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
13062, 0.0, 0.0, 8.87916088104248, 0.0, 0.0, -0.9009361267089844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13082, 0.0, 0.0, 8.881416320800781, 0.0, 0.0, 0.1068115234375, 157247.6875, 125301.9296875, 157364.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.12288236618042, -0.7123087048530579, 0.04753093421459198, 0.09758182615041733, 220.0
13102, 0.0, 0.0, 8.88116455078125, 0.0, 0.0, -0.011920928955078125, 157247.6875, 125299.6796875, 157360.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.1228837966918945, -0.7123178243637085, 0.04750517010688782, 0.0958680659532547, 223.0
13122, 0.0, 0.0, 8.888233184814453, 0.0, 0.0, 0.3348350524902344, 157245.78125, 125301.0859375, 157366.28125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.122898817062378, -0.7123023867607117, 0.04747621342539787, 0.09489333629608154, 223.0
13142, 0.0, 0.0, 8.897075653076172, 0.0, 0.0, 0.418853759765625, 157245.78125, 125310.921875, 157364.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.12286376953125, -0.7123041152954102, 0.04754788801074028, 0.09594019502401352, 223.0
13162, 0.0, 0.0, 8.900083541870117, 0.0, 0.0, 0.14247894287109375, 157249.59375, 125296.5859375, 157368.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.1228694915771484, -0.7123034000396729, 0.04754456505179405, 0.09809534251689911, 221.0
13182, 0.0, 0.0, 8.913947105407715, 0.0, 0.0, 0.6567001342773438, 157247.6875, 125300.3828125, 157364.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.1229145526885986, -0.7122989892959595, 0.04748917743563652, 0.09799782186746597, 221.0
13202, 0.0, 0.0, 8.925176620483398, 0.0, 0.0, 0.5319595336914062, 157249.59375, 125300.3828125, 157366.28125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.1228673458099365, -0.7123084664344788, 0.04755505919456482, 0.09968215227127075, 221.0
13222, 0.0, 0.0, 8.943622589111328, 0.0, 0.0, 0.8737564086914062, 157245.78125, 125304.875, 157368.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.1228692531585693, -0.7123063802719116, 0.04756447672843933, 0.09822510927915573, 223.0
13242, 0.0, 0.0, 8.946097373962402, 0.0, 0.0, 0.11720657348632812, 157247.6875, 125300.3828125, 157366.28125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.122903347015381, -0.7123031616210938, 0.047503359615802765, 0.09795940667390823, 223.0
13262, 0.0, 0.0, 8.938751220703125, 0.0, 0.0, -0.3479957580566406, 157251.515625, 125301.9296875, 157364.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.122917413711548, -0.7123050689697266, 0.04752342775464058, 0.0975906029343605, 220.0
13282, 0.0, 0.0, 8.932801246643066, 0.0, 0.0, -0.2818107604980469, 157245.78125, 125306.421875, 157364.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.1229283809661865, -0.7122638821601868, 0.04753173887729645, 0.09850149601697922, 220.0
13302, 0.0, 0.0, 8.926942825317383, 0.0, 0.0, -0.27751922607421875, 157247.6875, 125307.96875, 157364.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.1228766441345215, -0.7122989892959595, 0.04756331443786621, 0.09775859862565994, 220.0
13322, 0.0, 0.0, 8.924275398254395, 0.0, 0.0, -0.12636184692382812, 157247.6875, 125310.21875, 157364.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.1229214668273926, -0.7122944593429565, 0.04747682064771652, 0.09582765400409698, 225.0
