timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4
611878, 0.21428312361240387, -0.2888534367084503, -13.131649017333984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
611888, 0.18350917100906372, -0.34509411454200745, -13.117915153503418, 0.028228919953107834, 0.2892341613769531, 0.10020289570093155, 0.12304925918579102, -0.50416499376297, 0.014111941680312157, -0.00904668215662241, 0.0015711273299530149, -0.0015053089009597898, 0.0, 0.0, 0.0, 0.0
611898, 0.26418936252593994, -0.3535747528076172, -13.109451293945312, -0.09076550602912903, -0.3387961983680725, -0.21682827174663544, 0.12438075989484787, -0.5037361979484558, 0.014113436453044415, -0.0015821923734620214, 0.0037223282270133495, -0.0014551067724823952, 0.0, 0.0, 0.0, 0.0
611908, 0.2094351053237915, -0.2955871820449829, -13.093851089477539, -0.16620278358459473, -0.08275070041418076, -0.03700711205601692, 0.12418782711029053, -0.5056387186050415, 0.0141065688803792, -0.002535209059715271, -0.006560195237398148, -0.0016362062888219953, 0.0, 0.0, 0.0, 0.0
611918, 0.2098197191953659, -0.2967693507671356, -13.07999038696289, 0.03549358621239662, 0.14930221438407898, 0.21635648608207703, 0.1230880543589592, -0.504165530204773, 0.01410731952637434, -0.008264576084911823, 0.001512986491434276, -0.0016788749489933252, 0.0, 0.0, 0.0, 0.0
611928, 0.22915245592594147, -0.38224396109580994, -13.069009780883789, -0.12113165110349655, -0.1770075410604477, -0.2108815312385559, 0.12300405651330948, -0.5041502118110657, 0.014054878614842892, -0.008513457141816616, 0.0015223692171275616, -0.0017861236119642854, 0.0, 0.0, 0.0, 0.0
611938, 0.20767353475093842, -0.3633739948272705, -13.054120063781738, 0.05064673721790314, 0.2671360373497009, 0.1122215986251831, 0.1248137354850769, -0.5050727128982544, 0.014057435095310211, 0.0012115180725231767, -0.0035875425674021244, -0.0016471631824970245, 0.0, 0.0, 0.0, 0.0
611948, 0.2057543396949768, -0.30405282974243164, -13.040046691894531, -0.15039491653442383, -0.006201995071023703, 0.14343853294849396, 0.12445387244224548, -0.5044887661933899, 0.014046280644834042, -0.0007883944199420512, -0.00020721806504298002, -0.0015573406126350164, 0.0, 0.0, 0.0, 0.0
611958, 0.20513637363910675, -0.3861858546733856, -13.0277681350708, -0.09491094946861267, -0.06134786084294319, -0.11361342668533325, 0.12305833399295807, -0.5041628479957581, 0.014032376930117607, -0.008203975856304169, 0.0017290351679548621, -0.0014124279841780663, 0.0, 0.0, 0.0, 0.0
611968, 0.19423381984233856, -0.3153882622718811, -13.01382064819336, -0.18642300367355347, -0.2629106342792511, -0.22159019112586975, 0.12491167336702347, -0.5045921206474304, 0.014045885764062405, 0.0018064721953123808, -0.0003905541670974344, -0.0012571989791467786, 0.0, 0.0, 0.0, 0.0
611978, 0.2528342604637146, -0.3564850389957428, -13.00169849395752, 0.07988112419843674, -0.11588458716869354, 0.10794777423143387, 0.12335754185914993, -0.5039978623390198, 0.015233682468533516, -0.006770901847630739, 0.0029168634209781885, 0.005048664286732674, 0.0, 0.0, 0.0, 0.0
611988, 0.16252487897872925, -0.34715956449508667, -12.985451698303223, -0.23552729189395905, 0.14753098785877228, 0.09039264917373657, 0.12396787852048874, -0.5055781006813049, 0.015295296907424927, -0.0031866433564573526, -0.005745092872530222, 0.004995882045477629, 0.0, 0.0, 0.0, 0.0
611998, 0.16334311664104462, -0.3467576503753662, -12.972579956054688, 0.14649976789951324, -0.05045906454324722, 0.05198891460895538, 0.12420599162578583, -0.5034867525100708, 0.01536723505705595, -0.0017268582014366984, 0.006006357725709677, 0.00500012282282114, 0.0, 0.0, 0.0, 0.0
612008, 0.16334311664104462, -0.3467576503753662, -12.972579956054688, -0.1573021411895752, -0.09663833677768707, 0.08907826989889145, 0.12418805807828903, -0.5034253597259521, 0.015416244976222515, -0.001861355034634471, 0.0062745101749897, 0.004802145063877106, 0.0, 0.0, 0.0, 0.0
612018, 0.20743131637573242, -0.33064478635787964, -12.948797225952148, -0.03847883269190788, 0.25487464666366577, -0.2415839582681656, 0.12372691184282303, -0.5033260583877563, 0.014873133040964603, -0.0044811493717134, 0.006702405400574207, 0.0014075608924031258, 0.0, 0.0, 0.0, 0.0
612028, 0.2270723283290863, -0.38101616501808167, -12.936182975769043, -0.039010901004076004, -0.1947748064994812, 0.11248710006475449, 0.12351780384778976, -0.5042683482170105, 0.014895273372530937, -0.00571068748831749, 0.0013515305472537875, 0.0014889452140778303, 0.0, 0.0, 0.0, 0.0
612038, 0.17710739374160767, -0.330906480550766, -12.921100616455078, 0.06700552254915237, -0.009121095761656761, -0.04092353582382202, 0.12457442283630371, -0.5050002932548523, 0.0149180693551898, 0.0002513941435609013, -0.002696482464671135, 0.0015641957288607955, 0.0, 0.0, 0.0, 0.0
612048, 0.207040473818779, -0.40139248967170715, -12.909039497375488, 0.08536792546510696, -0.03914676606655121, -0.23505529761314392, 0.12368854135274887, -0.5035889744758606, 0.014944233931601048, -0.004540810361504555, 0.005181556101888418, 0.0014549277257174253, 0.0, 0.0, 0.0, 0.0
612058, 0.19651733338832855, -0.3142857551574707, -12.896082878112793, -0.13445919752120972, -0.011038284748792648, 0.11442815512418747, 0.12513183057308197, -0.5046374797821045, 0.014978618361055851, 0.0032701019663363695, -0.0004898143815807998, 0.0016183146508410573, 0.0, 0.0, 0.0, 0.0
