timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4
22959, -0.779505729675293, -0.11904241144657135, -0.2767699956893921, 8.526846885681152, -3.7038562297821045, -2.985593795776367, 0.011124693788588047, -0.5004274249076843, 0.494658887386322, -0.023603226989507675, -0.011689064092934132, 0.025664448738098145, 0, 0, 0, 50503.0, 49108.0, 50442.0, 46935.0
22969, -0.705919623374939, -0.0794682651758194, -0.3122856914997101, 10.455110549926758, -1.1090456247329712, -1.8600757122039795, 0.007863788865506649, -0.496811181306839, 0.4949466288089752, -0.028768273070454597, -0.0036039832048118114, 0.032167211174964905, 0, 0, 0, 52890.0, 51504.0, 46756.0, 44557.0
22979, -0.5200759768486023, -0.03720509260892868, -0.3462826907634735, 14.302563667297363, -3.2946064472198486, -3.004207134246826, 0.007573965471237898, -0.49684011936187744, 0.4965413212776184, -0.028657926246523857, -0.002383342944085598, 0.041110049933195114, 0, 0, 0, 49625.0, 48395.0, 49377.0, 47755.0
22989, -0.40326496958732605, 0.04630747437477112, -0.40809911489486694, 8.444694519042969, -14.069772720336914, -7.278669834136963, 0.0076071531511843204, -0.4981165826320648, 0.4969516098499298, -0.028033791109919548, -0.00374242733232677, 0.040879763662815094, 0, 0, 0, 48056.0, 49067.0, 49306.0, 48516.0
22999, -0.34940922260284424, 0.15027599036693573, -0.4997425079345703, 3.93865704536438, -3.8669941425323486, -8.233280181884766, 0.006612388417124748, -0.49744153022766113, 0.49737250804901123, -0.029378674924373627, -0.0017770782578736544, 0.043359581381082535, 0, 0, 0, 48315.0, 46789.0, 47823.0, 51430.0
23009, -0.34490859508514404, 0.19961713254451752, -0.5995004177093506, -0.40693897008895874, -12.824986457824707, -10.247507095336914, 0.0073465025052428246, -0.49581703543663025, 0.4978299140930176, -0.0277801975607872, 0.0017775341402739286, 0.048135269433259964, 0, 0, 0, 47025.0, 51478.0, 48151.0, 47453.0
23019, -0.3487551808357239, 0.32227620482444763, -0.7074884176254272, -0.7897574305534363, -6.668707847595215, -11.82801342010498, 0.007475832477211952, -0.49569809436798096, 0.4972054362297058, -0.027393635362386703, 0.002587746363133192, 0.046545032411813736, 0, 0, 0, 48619.0, 48384.0, 45700.0, 51214.0
23029, -0.3709578216075897, 0.34884291887283325, -0.8229317665100098, 4.14108943939209, -5.322352409362793, -15.045211791992188, 0.007199043873697519, -0.49566906690597534, 0.49769437313079834, -0.027965031564235687, 0.0032235588878393173, 0.05124182626605034, 0, 0, 0, 46242.0, 53588.0, 47031.0, 46098.0
23039, -0.32785752415657043, 0.44738414883613586, -0.9671038389205933, 1.1721625328063965, -7.6891865730285645, -17.020402908325195, 0.007248281501233578, -0.4961216449737549, 0.4982186555862427, -0.02798694744706154, 0.003019469091668725, 0.05355866625905037, 0, 0, 0, 48059.0, 52790.0, 43687.0, 48059.0
23049, -0.2518797814846039, 0.4982948303222656, -1.1098709106445312, -2.211500406265259, 10.22214126586914, -15.780509948730469, 0.0069646588526666164, -0.49608859419822693, 0.4987505078315735, -0.02873554266989231, 0.0035920944064855576, 0.052813492715358734, 0, 0, 0, 45409.0, 43996.0, 46411.0, 55413.0
