timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ
5773755, -174.33682250976562, 5.08891487121582, -161.8715362548828, 0.2915818393230438, -0.0818864032626152, -0.05486175790429115, 13.496603012084961, -3.4736390113830566, 0.9757541418075562, -0.8818747401237488, -0.6304612755775452, 1.0052753686904907
5773765, -174.3533477783203, 5.200536727905273, -161.8766632080078, 0.07105490565299988, -0.2278069406747818, -0.08497090637683868, 13.487796783447266, -3.4798810482025146, 0.985809862613678, -0.8774384260177612, -0.6175152063369751, 1.0078001022338867
5773775, -174.3582763671875, 5.413929462432861, -161.88681030273438, 0.18428124487400055, 0.25315967202186584, -0.009198412299156189, 13.479036331176758, -3.485992431640625, 0.9958893656730652, -0.8727349638938904, -0.6043384075164795, 1.0100146532058716
5773785, -174.37472534179688, 5.52628231048584, -161.89198303222656, 0.01952454075217247, -0.069654181599617, 0.09996701776981354, 13.47811222076416, -3.484234094619751, 1.005675196647644, -0.8497833609580994, -0.5813739895820618, 1.0111525058746338
5773795, -174.39212036132812, 5.640457630157471, -161.89590454101562, 0.004208908881992102, 0.00016005881479941308, -0.17388741672039032, 13.46963119506836, -3.4899847507476807, 1.015788197517395, -0.8445516228675842, -0.5683356523513794, 1.0133033990859985
5773805, -174.40733337402344, 5.752291679382324, -161.9014434814453, 0.19045262038707733, -0.22807884216308594, 0.0014529895270243287, 13.461203575134277, -3.4956047534942627, 1.025923252105713, -0.8390252590179443, -0.5552641749382019, 1.0155301094055176
5773815, -174.42401123046875, 5.867899417877197, -161.9057159423828, 0.06956715881824493, 0.2854335308074951, -0.08114660531282425, 13.452831268310547, -3.5010933876037598, 1.0360808372497559, -0.8334448933601379, -0.542052686214447, 1.0178035497665405
5773825, -174.44813537597656, 6.074182033538818, -161.91404724121094, 0.1528252363204956, 0.031206853687763214, 0.02034243941307068, 13.4445161819458, -3.506448984146118, 1.046261191368103, -0.8275596499443054, -0.5286354422569275, 1.0200647115707397
5773835, -174.46400451660156, 6.18849515914917, -161.91757202148438, 0.2353857308626175, 0.2049802988767624, -0.1718873679637909, 13.444928169250488, -3.5065245628356934, 1.0560591220855713, -0.8024818897247314, -0.5099437236785889, 1.0209699869155884
5773845, -174.47958374023438, 6.302021503448486, -161.92343139648438, 0.22912436723709106, 0.06157490983605385, 0.16049034893512726, 13.436925888061523, -3.51155948638916, 1.0662702322006226, -0.7960929870605469, -0.4966045618057251, 1.0229698419570923
5773855, -174.49661254882812, 6.4147419929504395, -161.9284210205078, 0.05366130918264389, -0.05276787653565407, 0.02404499053955078, 13.428988456726074, -3.516460657119751, 1.0765008926391602, -0.7893549799919128, -0.4832168519496918, 1.0248717069625854
5773865, -174.51449584960938, 6.530053615570068, -161.9315948486328, 0.04365917295217514, 0.31144753098487854, -0.21989552676677704, 13.421119689941406, -3.5212275981903076, 1.0867513418197632, -0.7824394106864929, -0.46975016593933105, 1.026917815208435
5773875, -174.530517578125, 6.644647121429443, -161.93670654296875, 0.31052395701408386, 0.04235907644033432, 0.0003314400091767311, 13.41331958770752, -3.5258595943450928, 1.097022533416748, -0.7755574584007263, -0.45625370740890503, 1.0289971828460693
5773885, -174.54689025878906, 6.756290435791016, -161.94146728515625, 0.1305275559425354, -0.06975869089365005, 0.054221924394369125, 13.405590057373047, -3.5303571224212646, 1.107313632965088, -0.768389105796814, -0.4428199529647827, 1.030875563621521
5773895, -174.56387329101562, 6.866592884063721, -161.9447784423828, 0.013201091438531876, -0.21652670204639435, -0.10681574791669846, 13.397932052612305, -3.5347211360931396, 1.1176223754882812, -0.7611988186836243, -0.4295516312122345, 1.0325003862380981
5773905, -174.57931518554688, 6.97829532623291, -161.94985961914062, 0.2490004301071167, 0.008422656916081905, 0.17160794138908386, 13.39034652709961, -3.538952350616455, 1.127947211265564, -0.753879725933075, -0.4162852168083191, 1.0340906381607056
5773915, -174.59490966796875, 7.089410781860352, -161.95327758789062, 0.18569223582744598, -0.21051697432994843, -0.1856272667646408, 13.38283634185791, -3.5430500507354736, 1.138289213180542, -0.7461957335472107, -0.4028288722038269, 1.0359119176864624
5773925, -174.61085510253906, 7.201613426208496, -161.95753479003906, 0.17272596061229706, -0.19966785609722137, 0.0576622448861599, 13.375404357910156, -3.5470120906829834, 1.1486488580703735, -0.7381489872932434, -0.3891482949256897, 1.0376046895980835
5773935, -174.6270294189453, 7.3127312660217285, -161.96185302734375, 0.15757876634597778, -0.29312223196029663, 0.16780388355255127, 13.368053436279297, -3.550837516784668, 1.15902578830719, -0.73004150390625, -0.3755355775356293, 1.0393471717834473
5773945, -174.6425018310547, 7.426182746887207, -161.9665985107422, 0.2229653149843216, 0.17550301551818848, 0.08568587899208069, 13.360783576965332, -3.5545263290405273, 1.1694202423095703, -0.7218404412269592, -0.3618294298648834, 1.0410828590393066
5773955, -174.65985107421875, 7.540181636810303, -161.97085571289062, 0.021566901355981827, 0.06032149866223335, -0.06736066192388535, 13.353598594665527, -3.5580780506134033, 1.1798304319381714, -0.7132368683815002, -0.3481122851371765, 1.0424734354019165
5773965, -174.67686462402344, 7.651237487792969, -161.9756317138672, 0.05394502356648445, -0.3533921241760254, 0.12758904695510864, 13.346500396728516, -3.561492681503296, 1.190254807472229, -0.7043912410736084, -0.33439022302627563, 1.0438863039016724
5773975, -174.69349670410156, 7.765450954437256, -161.9794158935547, 0.03754705190658569, 0.1447671800851822, -0.16980794072151184, 13.339491844177246, -3.564769744873047, 1.2006940841674805, -0.6952857375144958, -0.32062727212905884, 1.045451283454895
5773985, -174.70960998535156, 7.877108097076416, -161.9832000732422, 0.24306084215641022, -0.20796816051006317, 0.015113034285604954, 13.332574844360352, -3.5679094791412354, 1.211148977279663, -0.6860110759735107, -0.3069162964820862, 1.0469821691513062
5773995, -174.7264404296875, 7.988505840301514, -161.9865264892578, 0.1651715487241745, -0.1496097296476364, -0.03998212516307831, 13.325752258300781, -3.5709123611450195, 1.2216193675994873, -0.6765359044075012, -0.29326340556144714, 1.0485217571258545
5774005, -174.74392700195312, 8.098710060119629, -161.98904418945312, -0.111410953104496, -0.3191553056240082, -0.253720223903656, 13.319025039672852, -3.5737781524658203, 1.2321053743362427, -0.6669542789459229, -0.2794798016548157, 1.0500755310058594
