Timestamp,range.back,range.front,range.left,range.right,range.up,range.zrange
2208345,0,227,0,0,0,0
2208365,0,227,0,0,0,0
2208385,0,227,0,0,0,0
2208405,0,227,0,0,0,0
2208425,0,227,0,0,0,0
2208445,0,225,0,0,0,0
2208465,0,225,0,0,0,0
2208485,0,225,0,0,0,0
2208505,0,225,0,0,0,0
2208525,0,225,0,0,0,0
2208545,0,225,0,0,0,0
2208565,0,226,0,0,0,0
2208585,0,226,0,0,0,0
2208605,0,226,0,0,0,0
2208625,0,225,0,0,0,0
2208645,0,225,0,0,0,0
2208665,0,227,0,0,0,0
2208685,0,227,0,0,0,0
2208705,0,227,0,0,0,0
2208725,0,228,0,0,0,0
2208745,0,228,0,0,0,0
2208765,0,228,0,0,0,0
2208785,0,227,0,0,0,0
2208805,0,227,0,0,0,0
2208825,0,227,0,0,0,0
2208845,0,225,0,0,0,0
2208865,0,225,0,0,0,0
2208885,0,225,0,0,0,0
2208905,0,226,0,0,0,0
2208925,0,226,0,0,0,0
2208945,0,227,0,0,0,0
2208965,0,227,0,0,0,0
2208985,0,227,0,0,0,0
2209005,0,226,0,0,0,0
2209025,0,226,0,0,0,0
2209045,0,226,0,0,0,0
2209065,0,226,0,0,0,0
2209085,0,226,0,0,0,0
2209105,0,226,0,0,0,0
2209125,0,225,0,0,0,0
2209145,0,225,0,0,0,0
2209165,0,225,0,0,0,0
2209185,0,227,0,0,0,0
2209205,0,227,0,0,0,0
2209225,0,227,0,0,0,0
2209245,0,227,0,0,0,0
2209265,0,227,0,0,0,0
2209285,0,228,0,0,0,0
2209305,0,228,0,0,0,0
2209325,0,228,0,0,0,0
2209345,0,225,0,0,0,0
2209365,0,225,0,0,0,0
2209385,0,225,0,0,0,0
2209405,0,225,0,0,0,0
2209425,0,225,0,0,0,0
2209445,0,225,0,0,0,0
2209465,0,225,0,0,0,0
2209485,0,225,0,0,0,0
2209505,0,227,0,0,0,0
2209525,0,227,0,0,0,0
2209545,0,227,0,0,0,0
2209565,0,226,0,0,0,0
2209585,0,226,0,0,0,0
2209605,0,226,0,0,0,0
2209625,0,225,0,0,0,0
2209645,0,225,0,0,0,0
2209665,0,225,0,0,0,0
2209685,0,225,0,0,0,0
2209705,0,225,0,0,0,0
