timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, pitch, laserFront
289410, 0.003803012892603874, -0.32180914282798767, 1.2540959119796753, -0.019000675529241562, -0.024539893493056297, -0.01271022204309702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
289430, 0.002986378502100706, -0.3230029344558716, 1.2536797523498535, -0.019335078075528145, -0.024752937257289886, -0.011408981867134571, 157563.90625, 124216.8125, 157660.109375, 150747.3125, 143685.171875, 161744.5, 37101.0, 47105.0, 40090.0, 48830.0, 0.0010719839483499527, -0.32668018341064453, 1.2530593872070312, 0.09632086008787155, -0.48030832409858704, 1132.0
289451, 0.0022697183303534985, -0.32404062151908875, 1.2534112930297852, -0.01867249421775341, -0.023997850716114044, -0.009906158782541752, 157561.96875, 124219.8984375, 157660.109375, 150754.765625, 143677.828125, 161742.0, 38382.0, 45046.0, 39087.0, 50542.0, 0.0003561750054359436, -0.32804298400878906, 1.2534122467041016, 0.09677479416131973, -0.6149703860282898, 1131.0
289470, 0.001470596413128078, -0.3251936733722687, 1.2532227039337158, -0.017527811229228973, -0.02366228774189949, -0.004654453136026859, 157565.828125, 124209.375, 157660.109375, 150742.953125, 143682.03125, 161742.53125, 39386.0, 44767.0, 37780.0, 50655.0, -0.0005425135605037212, -0.3286433219909668, 1.2527828216552734, 0.09631289541721344, -0.9669375419616699, 1131.0
289490, 0.0008656733552925289, -0.3261913061141968, 1.2531723976135254, -0.014045345596969128, -0.022620465606451035, -0.0039907582104206085, 157565.828125, 124219.8984375, 157660.109375, 150754.765625, 143677.828125, 161745.03125, 40929.0, 44409.0, 35697.0, 50861.0, -0.0011313348077237606, -0.3299994468688965, 1.2538204193115234, 0.09077410399913788, -1.5047249794006348, 1131.0
289510, 0.00020982646674383432, -0.32735103368759155, 1.2531356811523438, -0.008912013843655586, -0.022502999752759933, -0.0005014314083382487, 157567.75, 124218.3515625, 157660.109375, 150749.171875, 143683.796875, 161745.03125, 41134.0, 44264.0, 35411.0, 50927.0, -0.001637863926589489, -0.3313021659851074, 1.2530860900878906, 0.07854056358337402, -2.133068561553955, 1133.0
289530, -0.0001058961934177205, -0.3283207416534424, 1.2531087398529053, -0.0008490955806337297, -0.022016925737261772, -0.0008010988822206855, 157567.75, 124220.6015625, 157660.109375, 150747.3125, 143685.171875, 161753.96875, 40907.0, 44354.0, 35497.0, 50764.0, -0.0015302393585443497, -0.3323225975036621, 1.2529983520507812, 0.06280118227005005, -2.771150827407837, 1133.0
289550, -0.00030942438752390444, -0.32950255274772644, 1.2530988454818726, 0.009069151245057583, -0.022676562890410423, -0.0002912873460445553, 157565.828125, 124225.0859375, 157660.109375, 150756.015625, 143689.390625, 161752.546875, 40711.0, 44018.0, 35824.0, 50930.0, -0.001753542572259903, -0.333651065826416, 1.253082275390625, 0.05057939514517784, -3.3633179664611816, 1136.0
289570, -0.00024258802295662463, -0.3307529389858246, 1.2530890703201294, 0.0218708124011755, -0.02338682860136032, -0.0014283052878454328, 157563.90625, 124221.3046875, 157660.109375, 150752.890625, 143691.84375, 161750.5625, 41126.0, 43965.0, 35121.0, 51033.0, -0.0016684606671333313, -0.3345670700073242, 1.253286361694336, 0.04437580704689026, -3.8486812114715576, 1136.0
289592, -0.00020371201389934868, -0.33157041668891907, 1.252982497215271, 0.028396008536219597, -0.02444468066096306, -0.0019221449038013816, 157565.828125, 124216.8125, 157658.171875, 150752.890625, 143685.859375, 161757.546875, 40034.0, 44308.0, 36473.0, 50760.0, -0.001797826960682869, -0.3358778953552246, 1.2523479461669922, 0.038716286420822144, -4.199609756469727, 1136.0
289610, 0.0007096509216353297, -0.33306050300598145, 1.2528293132781982, 0.04930828884243965, -0.02447095513343811, -0.0028564759995788336, 157565.828125, 124205.59375, 157662.03125, 150752.28125, 143683.40625, 161760.046875, 39874.0, 44321.0, 36707.0, 50721.0, -0.0005907211452722549, -0.33722972869873047, 1.2526016235351562, 0.03412863239645958, -4.398999214172363, 1138.0
289630, 0.0017223802860826254, -0.3343470096588135, 1.2526429891586304, 0.06446598470211029, -0.025337809696793556, -0.0046739340759813786, 157567.75, 124205.59375, 157656.25, 150760.34375, 143689.390625, 161750.5625, 40881.0, 43949.0, 35532.0, 51040.0, 0.00020291004329919815, -0.3381361961364746, 1.2523517608642578, 0.03492603823542595, -4.505197525024414, 1138.0
289652, 0.0023073393385857344, -0.3352336585521698, 1.2524391412734985, 0.07222891598939896, -0.02664852887392044, -0.005242671351879835, 157565.828125, 124215.40625, 157656.25, 150758.484375, 143690.765625, 161760.046875, 40338.0, 44294.0, 36235.0, 50831.0, 0.0012025735341012478, -0.33995771408081055, 1.2514114379882812, 0.035725127905607224, -4.548469543457031, 1138.0
289670, 0.003956296015530825, -0.3366313576698303, 1.2520685195922852, 0.08890457451343536, -0.027400579303503036, -0.008477270603179932, 157565.828125, 124211.625, 157662.03125, 150761.59375, 143690.765625, 161769.515625, 39409.0, 44743.0, 37190.0, 50560.0, 0.0025580553337931633, -0.34044551849365234, 1.2513904571533203, 0.034571681171655655, -4.483333587646484, 1136.0
289690, 0.005941768176853657, -0.33778852224349976, 1.251715898513794, 0.10468745231628418, -0.027252230793237686, -0.011980243027210236, 157563.90625, 124215.2734375, 157658.171875, 150760.34375, 143698.109375, 161759.140625, 38957.0, 45677.0, 37876.0, 49897.0, 0.004112210124731064, -0.34180545806884766, 1.2509746551513672, 0.034329406917095184, -4.4043779373168945, 1136.0
289710, 0.007898676209151745, -0.339171439409256, 1.25117826461792, 0.1176414042711258, -0.028281206265091896, -0.015338756144046783, 157561.96875, 124222.140625, 157658.171875, 150757.859375, 143697.421875, 161758.078125, 38327.0, 45264.0, 38700.0, 50323.0, 0.006191253662109375, -0.3435649871826172, 1.2502307891845703, 0.034326184540987015, -4.161713123321533, 1136.0
289730, 0.010043426416814327, -0.340484082698822, 1.250593662261963, 0.12937942147254944, -0.02869540825486183, -0.017683904618024826, 157565.828125, 124227.3359375, 157658.171875, 150757.25, 143700.5625, 161767.546875, 38617.0, 45520.0, 38636.0, 50372.0, 0.00789930671453476, -0.34436941146850586, 1.2496490478515625, 0.040427066385746, -3.8520963191986084, 1129.0
289751, 0.012652548030018806, -0.3416863679885864, 1.2499958276748657, 0.1411028504371643, -0.02827560529112816, -0.01848524436354637, 157565.828125, 124222.0078125, 157654.328125, 150758.484375, 143701.25, 161760.578125, 37555.0, 45992.0, 40063.0, 49910.0, 0.009952910244464874, -0.34603071212768555, 1.2488880157470703, 0.04681917279958725, -3.506925106048584, 1129.0
289770, 0.015460087917745113, -0.34311172366142273, 1.2492324113845825, 0.15121671557426453, -0.028030361980199814, -0.0195536557585001, 157565.828125, 124227.3359375, 157662.03125, 150759.734375, 143707.90625, 161772.546875, 39697.0, 45950.0, 38005.0, 50026.0, 0.011566251516342163, -0.3471107482910156, 1.2481307983398438, 0.07223336398601532, -3.120659828186035, 1128.0
289791, 0.016712736338377, -0.34422606229782104, 1.2487329244613647, 0.1545722931623459, -0.02942965179681778, -0.02137400023639202, 157563.90625, 124229.578125, 157658.171875, 150764.703125, 143703.015625, 161770.578125, 40021.0, 45369.0, 37730.0, 50527.0, 0.014307871460914612, -0.34826135635375977, 1.2478580474853516, 0.10349631309509277, -2.749736785888672, 1128.0
289810, 0.019855301827192307, -0.34548819065093994, 1.2481105327606201, 0.1630009412765503, -0.0287170447409153, -0.020318174734711647, 157565.828125, 124224.25, 157662.03125, 150765.3125, 143704.78125, 161780.578125, 40631.0, 45361.0, 37358.0, 50557.0, 0.01719062030315399, -0.35019683837890625, 1.2472171783447266, 0.12990902364253998, -2.4772751331329346, 1128.0
289830, 0.022905830293893814, -0.3466831147670746, 1.2475417852401733, 0.1696515530347824, -0.02790185436606407, -0.020154692232608795, 157563.90625, 124217.515625, 157658.171875, 150764.0625, 143703.015625, 161775.578125, 39675.0, 45258.0, 38432.0, 50731.0, 0.019079938530921936, -0.35117673873901367, 1.2468185424804688, 0.15937109291553497, -2.2764830589294434, 1116.0
289852, 0.025745103135704994, -0.3480367660522461, 1.247043490409851, 0.17455418407917023, -0.027962645515799522, -0.01844378374516964, 157561.96875, 124215.2734375, 157658.171875, 150770.28125, 143703.015625, 161768.078125, 39863.0, 44704.0, 38190.0, 51023.0, 0.022963404655456543, -0.3525233268737793, 1.2463665008544922, 0.18844017386436462, -2.1352992057800293, 1116.0
