timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, pitch, laserFront
178964, 0.025105053558945656, -0.3475477993488312, 1.2527559995651245, -0.010305431671440601, -0.023327810689806938, -0.012168675661087036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
178983, 0.02481682039797306, -0.3483520448207855, 1.2525440454483032, -0.010581807233393192, -0.024074504151940346, -0.01141742616891861, 157756.484375, 123056.3125, 157853.046875, 148100.625, 138873.0, 158148.59375, 36194.0, 46123.0, 39905.0, 47193.0, 0.023546487092971802, -0.35304832458496094, 1.2517528533935547, 0, 0, 0
179003, 0.02426464855670929, -0.34981027245521545, 1.2521454095840454, -0.010034928098320961, -0.022834185510873795, -0.007444684859365225, 157756.484375, 123051.125, 157849.1875, 148096.296875, 138870.5625, 158154.15625, 37196.0, 44885.0, 39187.0, 48425.0, 0.02312833070755005, -0.35416460037231445, 1.2518081665039062, 0.977709174156189, -0.31362998485565186, 1110.0
179023, 0.023847242817282677, -0.3509957492351532, 1.25199294090271, -0.00922396406531334, -0.022476008161902428, -0.004038999788463116, 157760.34375, 123047.3515625, 157849.1875, 148094.4375, 138879.296875, 158161.09375, 38356.0, 43604.0, 37708.0, 49341.0, 0.022850334644317627, -0.3546919822692871, 1.2516365051269531, 0.9677180051803589, -0.4286446273326874, 1110.0
179045, 0.02349027805030346, -0.3519670069217682, 1.2520337104797363, -0.006828686688095331, -0.02109033241868019, 0.0022827875800430775, 157756.484375, 123057.0234375, 157854.984375, 148099.40625, 138883.46875, 158168.59375, 39546.0, 43702.0, 36369.0, 49131.0, 0.022263258695602417, -0.35632753372192383, 1.2522144317626953, 0.9581600427627563, -0.7879515290260315, 1110.0
179063, 0.02312355861067772, -0.35315167903900146, 1.252106785774231, -0.002777959918603301, -0.020698755979537964, 0.0050270757637917995, 157756.484375, 123054.78125, 157849.1875, 148098.765625, 138889.046875, 158171.09375, 42594.0, 42457.0, 32001.0, 50033.0, 0.021734505891799927, -0.35724544525146484, 1.2521610260009766, 0.9444800019264221, -1.3195775747299194, 1111.0
179083, 0.02300577238202095, -0.354168176651001, 1.2521858215332031, 0.004021026659756899, -0.02010001800954342, 0.007287175394594669, 157756.484375, 123064.5703125, 157853.046875, 148107.484375, 138889.046875, 158162.765625, 41290.0, 42893.0, 33233.0, 49625.0, 0.022051334381103516, -0.35861968994140625, 1.2517261505126953, 0.9270598292350769, -1.9501932859420776, 1111.0
179103, 0.023018281906843185, -0.3553650975227356, 1.252259612083435, 0.01267584040760994, -0.020367713645100594, 0.006963521707803011, 157756.484375, 123058.5546875, 157851.125, 148102.515625, 138885.609375, 158169.71875, 41498.0, 42187.0, 32881.0, 50005.0, 0.022252798080444336, -0.3600492477416992, 1.2520694732666016, 0.9067134261131287, -2.559614658355713, 1111.0
179123, 0.02326555736362934, -0.35656842589378357, 1.2522953748703003, 0.02322947047650814, -0.021129652857780457, 0.004824625328183174, 157756.484375, 123060.796875, 157849.1875, 148099.40625, 138889.046875, 158173.59375, 40142.0, 42534.0, 34458.0, 49781.0, 0.0223616361618042, -0.36057519912719727, 1.2517566680908203, 0.888605535030365, -3.117166042327881, 1111.0
179143, 0.023798717185854912, -0.35762566328048706, 1.2523856163024902, 0.035593487322330475, -0.021260466426610947, 0.005197212100028992, 157754.5625, 123055.4921875, 157851.125, 148107.484375, 138898.796875, 158177.765625, 40276.0, 42559.0, 34406.0, 49777.0, 0.023153603076934814, -0.36226415634155273, 1.2522621154785156, 0.8701611161231995, -3.5724117755889893, 1111.0
179163, 0.024588685482740402, -0.3588780462741852, 1.2523562908172607, 0.04884439334273338, -0.02189772203564644, 0.0022833342663943768, 157754.5625, 123048.8828125, 157851.125, 148113.671875, 138890.484375, 158184.71875, 39861.0, 43465.0, 34735.0, 49172.0, 0.023887574672698975, -0.3628697395324707, 1.2520732879638672, 0.8548023700714111, -3.913456678390503, 1111.0
179183, 0.025647331029176712, -0.3599063754081726, 1.2522213459014893, 0.06270145624876022, -0.02170516550540924, -0.0016449308022856712, 157756.484375, 123044.2890625, 157849.1875, 148124.21875, 138894.640625, 158182.78125, 39964.0, 42964.0, 34709.0, 49595.0, 0.025036096572875977, -0.3645658493041992, 1.251577377319336, 0.8359559178352356, -4.148312091827393, 1111.0
179203, 0.026990916579961777, -0.3612162172794342, 1.251997470855713, 0.07700040191411972, -0.022713175043463707, -0.004849007353186607, 157754.5625, 123036.859375, 157849.1875, 148117.40625, 138887.328125, 158177.765625, 39777.0, 43115.0, 35124.0, 49560.0, 0.026376724243164062, -0.3659801483154297, 1.2513313293457031, 0.8198158144950867, -4.304101943969727, 1111.0
179223, 0.027834098786115646, -0.3623017966747284, 1.2517238855361938, 0.08481099456548691, -0.024537866935133934, -0.007215004879981279, 157756.484375, 123043.578125, 157847.25, 148118.046875, 138890.484375, 158186.65625, 39368.0, 43371.0, 35834.0, 49389.0, 0.027484118938446045, -0.3668041229248047, 1.2507858276367188, 0.8074504733085632, -4.362911224365234, 1113.0
179245, 0.030718859285116196, -0.3639168441295624, 1.2511759996414185, 0.10706587880849838, -0.0242596622556448, -0.009745685383677483, 157752.625, 123052.5390625, 157847.25, 148123.0, 138896.0625, 158190.828125, 39123.0, 43688.0, 36385.0, 49146.0, 0.029504209756851196, -0.3682117462158203, 1.2501449584960938, 0.8021103739738464, -4.321671485900879, 1113.0
179263, 0.03173370286822319, -0.36482834815979004, 1.2508333921432495, 0.11364216357469559, -0.02558842860162258, -0.011471547186374664, 157752.625, 123054.0703125, 157849.1875, 148125.484375, 138906.828125, 158192.21875, 39486.0, 43911.0, 36234.0, 49133.0, 0.030888289213180542, -0.36974048614501953, 1.2494564056396484, 0.7865142822265625, -4.17446756362915, 1113.0
179284, 0.03402101993560791, -0.3659406304359436, 1.2503266334533691, 0.12664879858493805, -0.025264903903007507, -0.012841359712183475, 157758.421875, 123061.5, 157849.1875, 148116.1875, 138907.53125, 158207.78125, 39157.0, 43610.0, 36663.0, 49388.0, 0.03298449516296387, -0.3706173896789551, 1.2484264373779297, 0.7780055999755859, -3.9221689701080322, 1108.0
179303, 0.036665625870227814, -0.36733272671699524, 1.2496552467346191, 0.1390899121761322, -0.025636525824666023, -0.013920029625296593, 157754.5625, 123063.0390625, 157847.25, 148123.0, 138909.96875, 158186.390625, 38814.0, 44175.0, 37177.0, 49054.0, 0.03587746620178223, -0.37247180938720703, 1.247823715209961, 0.777005672454834, -3.765988826751709, 1108.0
179323, 0.03932460770010948, -0.368680477142334, 1.2490743398666382, 0.14912131428718567, -0.025899654254317284, -0.01742599532008171, 157750.703125, 123056.90625, 157849.1875, 148123.0, 138919.71875, 158207.78125, 38535.0, 44470.0, 37712.0, 48825.0, 0.037995219230651855, -0.37326526641845703, 1.2478809356689453, 0.7766648530960083, -3.418119192123413, 1103.0
179345, 0.0421956442296505, -0.370034396648407, 1.2483962774276733, 0.1581312119960785, -0.025878917425870895, -0.01767033524811268, 157754.5625, 123061.5, 157851.125, 148125.484375, 138921.140625, 158203.34375, 38901.0, 45038.0, 37316.0, 48431.0, 0.041016459465026855, -0.3750462532043457, 1.2468109130859375, 0.7792618274688721, -3.0289554595947266, 1103.0
179363, 0.04515114054083824, -0.37117499113082886, 1.2477754354476929, 0.16555576026439667, -0.02512434870004654, -0.019935691729187965, 157754.5625, 123057.7265625, 157847.25, 148126.125, 138913.125, 158201.390625, 39209.0, 44289.0, 37282.0, 49274.0, 0.042739033699035645, -0.37610530853271484, 1.2463932037353516, 0.7860122919082642, -2.6756293773651123, 1103.0
