timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
20293, 0.5600455403327942, 0.018335379660129547, 0.31759798526763916, 0.19840219616889954, 0.029017694294452667, -0.014774535782635212, 91281.59375, 123293.6953125, 86984.5546875, 45456.125, 118129.859375, 86179.1015625, 45690.0, 39062.0, 40259.0, 49288.0, 0.14793716371059418, -0.2059410810470581, 146.0
20313, 0.563981294631958, 0.018764516338706017, 0.3155905306339264, 0.1990392804145813, 0.028064874932169914, -0.02347656898200512, 91278.4609375, 123294.3515625, 86993.328125, 45455.4609375, 118140.8046875, 86183.9296875, 46062.0, 39992.0, 39412.0, 48597.0, 0.20541691780090332, -0.2007625848054886, 146.0
20333, 0.5701265335083008, 0.01914804056286812, 0.31512606143951416, 0.20536909997463226, 0.02674407698214054, -0.02188718318939209, 91283.5546875, 123301.9296875, 86987.5859375, 45455.79296875, 118132.875, 86179.1015625, 46285.0, 41205.0, 39689.0, 48045.0, 0.26944950222969055, -0.21681548655033112, 146.0
20353, 0.5739784836769104, 0.019917311146855354, 0.31596335768699646, 0.20568954944610596, 0.02627227082848549, -0.01247354969382286, 91282.765625, 123296.5703125, 86991.4140625, 45456.125, 118124.796875, 86181.7265625, 44999.0, 41851.0, 41265.0, 47743.0, 0.315914124250412, -0.23388172686100006, 147.0
20373, 0.5756927132606506, 0.02137599140405655, 0.31577184796333313, 0.2004520744085312, 0.027539480477571487, -0.009433175437152386, 91285.515625, 123293.6953125, 86976.90625, 45455.4609375, 118140.125, 86179.8671875, 45209.0, 41752.0, 40547.0, 47545.0, 0.3050440847873688, -0.2364821583032608, 147.0
20393, 0.581214427947998, 0.022152762860059738, 0.3155822455883026, 0.20500056445598602, 0.02707359567284584, -0.007204553112387657, 91281.2109375, 123296.5703125, 86982.96875, 45456.125, 118145.1796875, 86176.90625, 44447.0, 42648.0, 41092.0, 46930.0, 0.2968626618385315, -0.20067937672138214, 147.0
20413, 0.5843797922134399, 0.022756045684218407, 0.3160659968852997, 0.20320990681648254, 0.02622310444712639, -0.003981118090450764, 91278.8671875, 123296.8359375, 86985.34375, 45455.79296875, 118133.5546875, 86179.53125, 44599.0, 42225.0, 40521.0, 47249.0, 0.30012863874435425, -0.11890207231044769, 143.0
20433, 0.5867089629173279, 0.023285914212465286, 0.31605958938598633, 0.19918565452098846, 0.02511746995151043, 0.002340905135497451, 91278.4609375, 123301.9296875, 86980.265625, 45455.79296875, 118145.1796875, 86182.828125, 44448.0, 40301.0, 40862.0, 48328.0, 0.3260311484336853, -0.0920361578464508, 143.0
20453, 0.5908309817314148, 0.02428027242422104, 0.3156101405620575, 0.19985875487327576, 0.025326959788799286, -0.006163264624774456, 91281.2109375, 123300.359375, 86973.078125, 45456.125, 118139.4453125, 86187.3203125, 48876.0, 36009.0, 34158.0, 50892.0, 0.3486400544643402, -0.06890690326690674, 143.0
20473, 0.5967162251472473, 0.0251885037869215, 0.31557536125183105, 0.20482495427131653, 0.024942558258771896, 0.0016117587219923735, 91282.765625, 123297.484375, 86963.515625, 45455.79296875, 118130.5390625, 86178.765625, 48254.0, 36777.0, 35425.0, 50988.0, 0.42104193568229675, -0.019285915419459343, 142.0
20493, 0.603315532207489, 0.02658546343445778, 0.31533846259117126, 0.211333766579628, 0.025701193138957024, 0.00040531816193833947, 91282.0, 123301.015625, 86981.8515625, 45455.79296875, 118148.046875, 86186.21875, 46109.0, 36536.0, 38308.0, 50891.0, 0.4538622498512268, -0.060873791575431824, 142.0
20513, 0.6080631613731384, 0.027467573061585426, 0.31535014510154724, 0.21294139325618744, 0.02533235214650631, 0.0006501363241113722, 91289.0546875, 123307.9375, 86985.34375, 45455.79296875, 118143.671875, 86184.359375, 47439.0, 35935.0, 36538.0, 51214.0, 0.38526931405067444, -0.07215229421854019, 142.0
20533, 0.6097157597541809, 0.028724048286676407, 0.31527572870254517, 0.20666871964931488, 0.026003481820225716, 0.00372163369320333, 91283.5546875, 123303.234375, 86963.515625, 45455.4609375, 118131.3671875, 86180.6328125, 47391.0, 36478.0, 36329.0, 51065.0, 0.35432714223861694, -0.08674797415733337, 142.0
20553, 0.6156107783317566, 0.028717312961816788, 0.3153034448623657, 0.21138232946395874, 0.02351480722427368, 0.0008556439424864948, 91285.1328125, 123303.5, 86978.0234375, 45456.125, 118141.484375, 86189.1796875, 47765.0, 36822.0, 35220.0, 50837.0, 0.37121888995170593, -0.0623006597161293, 142.0
20573, 0.6187604069709778, 0.029221197590231895, 0.31537798047065735, 0.20884442329406738, 0.022276468575000763, 0.004509462509304285, 91290.609375, 123300.359375, 86971.9609375, 45455.79296875, 118155.4453125, 86189.9453125, 46603.0, 38056.0, 37025.0, 50433.0, 0.38622862100601196, -0.04987576976418495, 141.0
20593, 0.6212331056594849, 0.03077460080385208, 0.3157382309436798, 0.2046661674976349, 0.023644862696528435, 0.00592318270355463, 91283.171875, 123300.359375, 86955.8671875, 45455.125, 118133.40625, 86191.046875, 46408.0, 37259.0, 37183.0, 50753.0, 0.41295069456100464, 0.01084840390831232, 141.0
20613, 0.6271762251853943, 0.03084297850728035, 0.3158623278141022, 0.20926764607429504, 0.021297333762049675, 0.007808331865817308, 91283.171875, 123306.3671875, 86966.546875, 45454.79296875, 118134.9140625, 86188.0859375, 46204.0, 39201.0, 36926.0, 49627.0, 0.3984760046005249, -0.0075791217386722565, 141.0
20633, 0.6282123923301697, 0.03212723881006241, 0.31564098596572876, 0.20125509798526764, 0.022089507430791855, 0.008095212280750275, 91284.34375, 123304.796875, 86974.1953125, 45455.4609375, 118151.75, 86186.984375, 45362.0, 40659.0, 37903.0, 48636.0, 0.4084904193878174, 0.029846934601664543, 143.0
20653, 0.6328334212303162, 0.03311384096741676, 0.31580835580825806, 0.20244698226451874, 0.022133424878120422, 0.008554029278457165, 91291.3984375, 123303.234375, 86952.0390625, 45455.79296875, 118143.671875, 86198.5, 45262.0, 40943.0, 37996.0, 48454.0, 0.4124363660812378, 0.04607114568352699, 143.0
