timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
890158, 0.04478039592504501, -0.014292349107563496, 0.3297949433326721, -0.033144112676382065, 0.004885816015303135, -0.0045482199639081955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
890178, 0.04402146488428116, -0.01457283366471529, 0.32968318462371826, -0.03239354118704796, 0.004397755954414606, -0.006023788824677467, 91179.46875, 116297.625, 82617.3359375, 45405.36328125, 127185.328125, 114820.6484375, 42937.0, 46308.0, 42996.0, 45674.0, -0.0551711730659008, -0.34398508071899414, 130.0
890198, 0.04670499265193939, -0.012760568410158157, 0.3285021483898163, -0.025003356859087944, 0.007573339622467756, -0.011943339370191097, 91188.1015625, 116301.984375, 82612.828125, 45405.36328125, 127208.4140625, 114831.4609375, 43757.0, 43968.0, 42307.0, 47842.0, -0.06869029253721237, -0.5773664116859436, 130.0
890218, 0.04675467312335968, -0.012765894643962383, 0.3282639682292938, -0.021165497601032257, 0.00754602300003171, -0.010270431637763977, 91186.140625, 116311.46875, 82613.6328125, 45405.0390625, 127203.921875, 114835.0859375, 44523.0, 43914.0, 41641.0, 48057.0, -0.09033627808094025, -0.9818825125694275, 130.0
890238, 0.04091251268982887, -0.011960098519921303, 0.3268333971500397, -0.026050787419080734, 0.008957514539361, -0.01610812172293663, 91182.2265625, 116297.625, 82611.7734375, 45405.36328125, 127214.5078125, 114827.1328125, 45865.0, 43379.0, 39986.0, 48731.0, -0.09678687900304794, -1.5817960500717163, 139.0
890258, 0.04218742251396179, -0.0116586247459054, 0.3265223503112793, -0.016050705686211586, 0.009088552556931973, -0.015148079954087734, 91186.9375, 116301.984375, 82609.1171875, 45405.0390625, 127202.65625, 114826.4375, 46740.0, 42161.0, 39178.0, 49764.0, 0.0007413413841277361, -2.2727627754211426, 139.0
890278, 0.041020143777132034, -0.010994866490364075, 0.3262009620666504, -0.00866024475544691, 0.009657518938183784, -0.017229778692126274, 91186.9375, 116302.765625, 82609.921875, 45405.36328125, 127225.1015625, 114828.6015625, 45959.0, 42777.0, 40207.0, 49477.0, 0.04054461792111397, -2.893545389175415, 144.0
890298, 0.04149207845330238, -0.010955093428492546, 0.3266381621360779, 0.0034018431324511766, 0.008944562636315823, -0.013375140726566315, 91187.3046875, 116300.5, 82602.5, 45405.69140625, 127210.0234375, 114830.7578125, 46090.0, 43234.0, 40139.0, 49135.0, 0.05400761216878891, -3.405883550643921, 144.0
890318, 0.042558178305625916, -0.009992538020014763, 0.3263668119907379, 0.017531903460621834, 0.009952881373465061, -0.013540965504944324, 91188.1015625, 116302.6796875, 82608.0625, 45405.0390625, 127193.3359375, 114835.0859375, 46903.0, 43376.0, 39142.0, 49045.0, 0.04005966708064079, -3.7993969917297363, 144.0
890338, 0.04089675843715668, -0.01004075538367033, 0.3260015845298767, 0.027284050360322, 0.00902332179248333, -0.013875778764486313, 91179.8984375, 116304.15625, 82605.953125, 45405.0390625, 127196.5546875, 114826.375, 45504.0, 43395.0, 40779.0, 48899.0, 0.05059299245476723, -4.09322452545166, 167.0
