timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
83578, 0.03248323127627373, -0.013300148770213127, 0.3256058394908905, -0.03125253692269325, -0.013043973594903946, 0.002794706728309393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83598, 0.03224991634488106, -0.012788241729140282, 0.3254372179508209, -0.029854752123355865, -0.010962060652673244, 0.004810947459191084, 94668.9296875, 118811.3359375, 82416.53125, 45382.59765625, 128983.7265625, 116723.4765625, 46372.0, 43399.0, 42836.0, 51243.0, -0.1858973354101181, -0.1888359785079956, 149.0
83618, 0.03196651488542557, -0.014122895896434784, 0.3255385458469391, -0.027792807668447495, -0.012170667760074139, 0.005449260585010052, 94664.15625, 118806.1328125, 82400.671875, 45382.2734375, 128995.625, 116721.3046875, 48332.0, 41770.0, 40838.0, 52096.0, -0.23831942677497864, -0.3828731179237366, 149.0
83638, 0.032756321132183075, -0.01328086107969284, 0.32583096623420715, -0.02220010571181774, -0.009207339026033878, 0.007124395575374365, 94667.3515625, 118814.2109375, 82402.765625, 45382.2734375, 129002.3828125, 116722.7890625, 49605.0, 40626.0, 39084.0, 52939.0, -0.2773449122905731, -0.7710888385772705, 149.0
83658, 0.03446586802601814, -0.013483364135026932, 0.32598549127578735, -0.012816847302019596, -0.00818009115755558, 0.009351079352200031, 94663.359375, 118815.7109375, 82406.46875, 45381.953125, 129006.265625, 116717.6484375, 50733.0, 40039.0, 36944.0, 53165.0, -0.3198007643222809, -1.3923163414001465, 153.0
83678, 0.03182772174477577, -0.012874712236225605, 0.32617858052253723, -0.009413602761924267, -0.005932936444878578, 0.01011084858328104, 94664.15625, 118816.3984375, 82403.5703125, 45382.59765625, 128997.875, 116725.65625, 50904.0, 39321.0, 36387.0, 53717.0, -0.28173378109931946, -2.0985615253448486, 153.0
83698, 0.03195042163133621, -0.012284982949495316, 0.3249741792678833, 0.001114555518142879, -0.004067717585712671, 0.004497917834669352, 94668.9296875, 118817.0859375, 82399.0625, 45382.2734375, 129007.890625, 116721.3046875, 50268.0, 38135.0, 37489.0, 54378.0, -0.19747644662857056, -2.762742757797241, 165.0
83718, 0.031585730612277985, -0.012498621828854084, 0.3250633478164673, 0.012140290811657906, -0.00390231073834002, 0.004815966822206974, 94663.734375, 118820.78125, 82402.5234375, 45382.59765625, 129000.1328125, 116730.796875, 50530.0, 39007.0, 36838.0, 53970.0, -0.12879954278469086, -3.343479871749878, 165.0
83738, 0.030270813032984734, -0.010700688697397709, 0.32512718439102173, 0.02212928980588913, -6.6788466028810944e-06, 0.003293634857982397, 94658.1640625, 118818.59375, 82398.015625, 45382.59765625, 128990.4921875, 116721.3046875, 50038.0, 39648.0, 37440.0, 53918.0, -0.10704155266284943, -3.793545722961426, 165.0
83758, 0.030209258198738098, -0.009236590936779976, 0.32519233226776123, 0.03493912145495415, 0.0032823607325553894, 0.0020772761199623346, 94666.1484375, 118817.0859375, 82396.4140625, 45382.2734375, 128985.359375, 116722.0, 49572.0, 41555.0, 38431.0, 52812.0, -0.1506214588880539, -4.072413921356201, 187.0
83778, 0.030163297429680824, -0.009224101901054382, 0.32426717877388, 0.04770435020327568, 0.003819826990365982, -0.0059569356963038445, 94650.9765625, 118812.015625, 82408.3203125, 45382.2734375, 128986.609375, 116732.9765625, 48583.0, 41389.0, 39461.0, 52701.0, -0.19549600780010223, -4.259882926940918, 187.0
83798, 0.031514305621385574, -0.009447419084608555, 0.3241147994995117, 0.06288687884807587, 0.003868736093863845, -0.01019405946135521, 94661.3671875, 118816.3984375, 82404.6171875, 45381.953125, 128970.2109375, 116726.3515625, 48713.0, 42483.0, 39803.0, 52512.0, -0.20519891381263733, -4.380509853363037, 187.0
83818, 0.03272049501538277, -0.009218086488544941, 0.3250972330570221, 0.07757412642240524, 0.004641273524612188, -0.005147494375705719, 94656.9609375, 118818.59375, 82400.9140625, 45382.2734375, 128984.3515625, 116726.3515625, 48486.0, 42366.0, 40084.0, 52916.0, -0.15974311530590057, -4.428135871887207, 185.0
83838, 0.034880585968494415, -0.008383949287235737, 0.32495036721229553, 0.09309663623571396, 0.006334560923278332, -0.008585051633417606, 94656.171875, 118815.578125, 82385.859375, 45382.2734375, 128983.7265625, 116732.1875, 48822.0, 42352.0, 39163.0, 52768.0, -0.11184494942426682, -4.375794410705566, 185.0
