timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
1074638, 0.2652580738067627, 0.006366816349327564, 0.32344579696655273, -0.011759508401155472, 0.003293544054031372, -0.003965112380683422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1074658, 0.2652200758457184, 0.006504974327981472, 0.32340380549430847, -0.012503735721111298, 0.0027472481597214937, 0.0004544950497802347, 93017.328125, 123775.7421875, 84213.1875, 45415.8359375, 121859.7109375, 88673.1171875, 45426.0, 46626.0, 45049.0, 50570.0, 0.19973719120025635, 0.3035717010498047, 104.0
1074678, 0.26340460777282715, 0.0069911605678498745, 0.32366853952407837, -0.015756594017148018, 0.002795741893351078, 0.002548808231949806, 93024.8515625, 123780.1796875, 84188.7890625, 45415.8359375, 121857.5, 88673.1171875, 47232.0, 43405.0, 42978.0, 53309.0, 0.204143226146698, 0.16063812375068665, 104.0
1074698, 0.2609288692474365, 0.007288090884685516, 0.32378602027893066, -0.018856659531593323, 0.0026610197965055704, 0.00813111662864685, 93021.2890625, 123777.3046875, 84193.34375, 45415.8359375, 121864.1328125, 88671.2265625, 48193.0, 43236.0, 40933.0, 53252.0, 0.12732341885566711, -0.2395767718553543, 104.0
1074718, 0.2563040256500244, 0.00556173175573349, 0.32523271441459656, -0.02358492650091648, -0.0006829554331488907, 0.01935090310871601, 93014.5625, 123783.96875, 84211.3046875, 45415.5078125, 121879.625, 88674.25, 50367.0, 42664.0, 37816.0, 53442.0, 0.07685478031635284, -0.8616950511932373, 103.0
1074738, 0.25716570019721985, 0.006075858138501644, 0.3256133794784546, -0.01692792773246765, -0.000333350122673437, 0.018079722300171852, 93027.625, 123777.3046875, 84186.1171875, 45415.5078125, 121863.46875, 88676.140625, 49236.0, 42523.0, 39174.0, 52888.0, 0.16933532059192657, -1.522936224937439, 103.0
1074758, 0.2514210045337677, 0.005936069879680872, 0.32602959871292114, -0.01894587092101574, -0.001368878991343081, 0.020695282146334648, 93017.328125, 123783.0546875, 84180.484375, 45415.8359375, 121881.171875, 88675.015625, 49277.0, 42149.0, 39217.0, 52779.0, 0.20418113470077515, -2.2008092403411865, 103.0
1074778, 0.25293436646461487, 0.006228012032806873, 0.3281748294830322, -0.006817340385168791, -0.001699822605587542, 0.029251646250486374, 93027.625, 123781.09375, 84200.046875, 45415.5078125, 121873.8671875, 88669.328125, 47633.0, 42789.0, 40661.0, 52626.0, 0.2113969922065735, -2.782653331756592, 103.0
1074798, 0.24825285375118256, 0.006510157138109207, 0.3287738859653473, -0.003716697683557868, -0.001976136351004243, 0.027994807809591293, 93027.2265625, 123774.171875, 84219.609375, 45415.8359375, 121859.046875, 88673.1171875, 47392.0, 44492.0, 40294.0, 51012.0, 0.18089476227760315, -3.330599784851074, 103.0
1074818, 0.24793073534965515, 0.006820280570536852, 0.3302612900733948, 0.007939876988530159, -0.002114321570843458, 0.03137839958071709, 93018.515625, 123783.96875, 84209.4296875, 45415.5078125, 121861.921875, 88667.4296875, 46295.0, 43820.0, 41625.0, 51037.0, 0.15699292719364166, -3.6832940578460693, 104.0
