timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, laserFront
1535835, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1535845, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154340.171875, 150889.4375, 164775.609375, 0.0, 0.0, 0.0, 0.0, -0.04933744668960571, -0.9949874877929688, 0.006638079881668091, 119.0
1535855, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154347.109375, 150888.203125, 164773.59375, 0.0, 0.0, 0.0, 0.0, -0.04942196607589722, -0.9951152801513672, 0.006207205355167389, 111.0
1535865, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154348.453125, 150886.328125, 164780.640625, 0.0, 0.0, 0.0, 0.0, -0.049214720726013184, -0.9949741363525391, 0.0068227797746658325, 111.0
1535875, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154346.53125, 150891.296875, 164782.171875, 0.0, 0.0, 0.0, 0.0, -0.04940521717071533, -0.9950408935546875, 0.006278082728385925, 111.0
1535885, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154346.53125, 150892.546875, 164779.109375, 0.0, 0.0, 0.0, 0.0, -0.049395859241485596, -0.9949607849121094, 0.006580710411071777, 111.0
1535895, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154344.609375, 150888.8125, 164776.109375, 0.0, 0.0, 0.0, 0.0, -0.04947686195373535, -0.9950962066650391, 0.0059773921966552734, 111.0
1535905, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154349.609375, 150888.8125, 164773.59375, 0.0, 0.0, 0.0, 0.0, -0.049275219440460205, -0.9950389862060547, 0.00685381144285202, 111.0
1535915, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154349.03125, 150884.46875, 164784.6875, 0.0, 0.0, 0.0, 0.0, -0.049431562423706055, -0.9950027465820312, 0.005924604833126068, 111.0
1535925, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154345.953125, 150885.71875, 164771.078125, 0.0, 0.0, 0.0, 0.0, -0.049329400062561035, -0.9950447082519531, 0.006351299583911896, 111.0
1535935, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154350.96875, 150893.171875, 164778.125, 0.0, 0.0, 0.0, 0.0, -0.049320340156555176, -0.9949951171875, 0.006544649600982666, 111.0
