timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, otX, otY, otZ, laserFront
185572, -0.01818794570863247, -0.48193323612213135, 0.011871159076690674, 0.01028717216104269, -0.019504643976688385, 0.009100527502596378, 0, 0, 0, 0, 0, 0, 0, 0
185582, -0.01825505867600441, -0.48202675580978394, 0.011968372389674187, 0.0026356095913797617, -0.019340936094522476, 0.009235715493559837, 0.0, 0.0, 0.0, 0.0, -0.018430769443511963, -0.4818382263183594, 0.012057915329933167, 211.0
185592, -0.018254300579428673, -0.48214346170425415, 0.012011654675006866, 0.0010791426757350564, -0.017905445769429207, 0.009032773785293102, 0.0, 0.0, 0.0, 0.0, -0.01828181743621826, -0.4819221496582031, 0.011895045638084412, 211.0
185603, -0.01835506409406662, -0.48225855827331543, 0.012132445350289345, -0.002590158488601446, -0.012836110778152943, 0.008870875462889671, 0.0, 0.0, 0.0, 0.0, -0.01824912428855896, -0.48186302185058594, 0.011885195970535278, 211.0
185612, -0.01832466758787632, -0.48213067650794983, 0.012087715789675713, -0.0020865951664745808, -0.009600942954421043, 0.008584331721067429, 0.0, 0.0, 0.0, 0.0, -0.018391430377960205, -0.4818239212036133, 0.011877477169036865, 211.0
185622, -0.01832975633442402, -0.48211410641670227, 0.012119638733565807, -0.001931642764247954, -0.007328602485358715, 0.008122044615447521, 0.0, 0.0, 0.0, 0.0, -0.018291950225830078, -0.4818716049194336, 0.011861130595207214, 211.0
185632, -0.018306156620383263, -0.4820537269115448, 0.012149824760854244, -0.001244181883521378, -0.004976736847311258, 0.007526958826929331, 0.0, 0.0, 0.0, 0.0, -0.018163621425628662, -0.48177528381347656, 0.012002915143966675, 211.0
185642, -0.01832810789346695, -0.48202934861183167, 0.012163450010120869, -0.001485442859120667, -0.003964772913604975, 0.006927861366420984, 0.0, 0.0, 0.0, 0.0, -0.01832851767539978, -0.4818286895751953, 0.01186816394329071, 211.0
185652, -0.018323643133044243, -0.48203355073928833, 0.012161565944552422, -0.001118366257287562, -0.0035366774536669254, 0.006270665675401688, 0.0, 0.0, 0.0, 0.0, -0.01827862858772278, -0.48189353942871094, 0.01201048493385315, 211.0
185663, -0.01834358647465706, -0.48202306032180786, 0.012152100913226604, -0.0013110152212902904, -0.003036640817299485, 0.005678658839315176, 0.0, 0.0, 0.0, 0.0, -0.018335670232772827, -0.48191165924072266, 0.011911779642105103, 212.0
