timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight, flowX, flowY, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
379667, -0.027278391644358635, 0.1720421463251114, 0.2439793348312378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
379677, 0.010065246373414993, 0.14343179762363434, 0.24632106721401215, 0.15668871998786926, -0.054905857890844345, 0.15725842118263245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, 4.0, -4.0, 0.0, 0.0, 0.0, -0.01939176768064499, -0.041470710188150406, 0.01700643263757229, -0.0009010836365632713, -0.0011317249154672027, -0.004207521677017212
379687, 0.010588757693767548, 0.1420094519853592, 0.246872216463089, -0.07535786926746368, -0.07352194935083389, -0.05972918123006821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, 0.0, 1.0, 0.0, 0.0, 0.0, -0.019390247762203217, -0.04167960211634636, 0.01696273870766163, -0.0008881087996996939, -0.0022902581840753555, -0.004440646152943373
379697, 0.019919810816645622, 0.14295066893100739, 0.2478323131799698, 0.10054060816764832, -0.2135298103094101, -0.020091766491532326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.019004590809345245, -0.040606845170259476, 0.0161503404378891, 0.0013914010487496853, 0.003370581893250346, -0.008819712325930595
379707, -0.027422193437814713, 0.12280523031949997, 0.23818017542362213, 0.030451713129878044, 0.0594513937830925, -0.13923010230064392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -5.0, -2.0, 0.0, 0.0, 0.0, -0.019378021359443665, -0.04164982587099075, 0.016069304198026657, -0.0009942703181877732, -0.0022261636331677437, -0.008840843103826046
379717, 0.020326031371951103, 0.1449565291404724, 0.24768006801605225, 0.1770859956741333, -0.33039233088493347, 0.06089828163385391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 5.0, 2.0, 0.0, 0.0, 0.0, -0.019573865458369255, -0.04186780005693436, 0.01597960665822029, -0.002110010478645563, -0.0029840716160833836, -0.008919492363929749
379727, 0.030095575377345085, 0.15469549596309662, 0.2494782954454422, 0.21512949466705322, 0.040178682655096054, 0.04793005436658859, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.01959468424320221, -0.04189754277467728, 0.015889456495642662, -0.002128290245309472, -0.0029551852494478226, -0.009095919318497181
379737, 0.02908487804234028, 0.15681229531764984, 0.24892674386501312, -0.21429146826267242, -0.2506294846534729, 0.05477151647210121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0194160845130682, -0.04058125987648964, 0.015881044790148735, -0.0009360332624055445, 0.004126823507249355, -0.008775903843343258
379747, -0.02994055673480034, 0.1445714384317398, 0.23907391726970673, 0.10368389636278152, -0.2291981428861618, 0.07795131206512451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, -6.0, -1.0, 0.0, 0.0, 0.0, -0.019380591809749603, -0.041883938014507294, 0.015800967812538147, -0.000979629228822887, -0.0033518087584525347, -0.00877345446497202
379757, 0.056420546025037766, 0.10544519871473312, 0.24812838435173035, -0.14230948686599731, 0.18338580429553986, 0.029027225449681282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, 6.0, 0.0, 0.0, 0.0, 0.0, -0.018535060808062553, -0.04251578450202942, 0.015710359439253807, 0.0038686981424689293, -0.0069047994911670685, -0.008819629438221455
379767, 0.05794283375144005, 0.10680252313613892, 0.2472461313009262, 0.1565762162208557, -0.2835201621055603, -0.09155654907226562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, 3.0, -4.0, 0.0, 0.0, 0.0, -0.019180769100785255, -0.04167121648788452, 0.015638362616300583, 0.00015959130541887134, -0.002004704438149929, -0.008766263723373413
379777, 0.01761632040143013, 0.13910341262817383, 0.24385853111743927, 0.01786719262599945, -0.2958855926990509, 0.03706953674554825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, -4.0, 3.0, 0.0, 0.0, 0.0, -0.019193550571799278, -0.04145656153559685, 0.01555037684738636, 5.033501292928122e-05, -0.0007275861571542919, -0.008968849666416645
379787, 0.00776432640850544, 0.1411951184272766, 0.2416008561849594, -0.056455742567777634, -0.4668958783149719, -0.18549881875514984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 19.0, -1.0, 0.0, 0.0, 0.0, 0.0, -0.0186015572398901, -0.040805429220199585, 0.0168698038905859, 0.0033250711858272552, 0.002705681836232543, -0.0016013628337532282
379797, -0.020442737266421318, 0.11515618115663528, 0.23402942717075348, 0.08419054746627808, -0.35276368260383606, 0.06842844188213348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 19.0, -3.0, -3.0, 0.0, 0.0, 0.0, -0.019383033737540245, -0.042097099125385284, 0.016863124445080757, -0.0014032154576852918, -0.004308750852942467, -0.0018274671165272593
379807, 0.0374019593000412, 0.15228956937789917, 0.24546431005001068, 0.09143888205289841, 0.19480599462985992, -0.3099518120288849, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 19.0, 6.0, 4.0, 0.0, 0.0, 0.0, -0.019593650475144386, -0.0418885163962841, 0.01684415526688099, -0.002305376809090376, -0.0030904472805559635, -0.0022081462666392326
379817, 0.026330232620239258, 0.160294309258461, 0.24398432672023773, 0.06408066302537918, 0.045038290321826935, -0.010440743528306484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 19.0, -1.0, 1.0, 0.0, 0.0, 0.0, -0.01940210908651352, -0.0416763536632061, 0.016823451966047287, -0.0010214817011728883, -0.0019429964013397694, -0.0023559837136417627
379827, 0.01762482523918152, 0.15223947167396545, 0.24170133471488953, 0.25621297955513, -0.32063254714012146, 0.04937288537621498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 19.0, -1.0, -1.0, 0.0, 0.0, 0.0, -0.01859177276492119, -0.04186941683292389, 0.01687702164053917, 0.0036067510955035686, -0.003025959711521864, -0.0018924027681350708
379837, 0.0258571058511734, 0.11605837941169739, 0.23934806883335114, -0.03616100922226906, -0.26901471614837646, 0.13631969690322876, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 1.0, -4.0, 0.0, 0.0, 0.0, -0.019198205322027206, -0.04167220741510391, 0.016862379387021065, 0.00013011855480726808, -0.0017227192874997854, -0.0019031038973480463
379847, 0.015396911650896072, 0.14527006447315216, 0.24040447175502777, -0.03330089896917343, 0.008204269222915173, -0.08889403194189072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -1.0, 3.0, 0.0, 0.0, 0.0, -0.019196253269910812, -0.04168914631009102, 0.016843430697917938, 0.00023628211056347936, -0.0016678572865203023, -0.0018864780431613326
379857, 0.01791280508041382, 0.14682665467262268, 0.24094630777835846, 0.23486049473285675, -0.2908210754394531, 0.07508201897144318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.019190886989235878, -0.04190835356712341, 0.01682411879301071, 0.00038207657053135335, -0.0026628500781953335, -0.0019115898758172989
379867, 0.02652715891599655, 0.1461913138628006, 0.24170461297035217, -0.0671156644821167, 0.07782717794179916, -0.01984088309109211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.01920260116457939, -0.0414719432592392, 0.01680745743215084, 0.0003595591988414526, -0.00019708150648511946, -0.001783454092219472
379877, 0.00594910467043519, 0.14714281260967255, 0.2387816160917282, 0.1324535459280014, -0.08546102792024612, -0.05970732867717743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -2.0, 0.0, 0.0, 0.0, 0.0, -0.018341664224863052, -0.04232504218816757, 0.016079986467957497, 0.004905925132334232, -0.0049349116161465645, -0.005688140634447336
379887, 0.0451703704893589, 0.10955784469842911, 0.2401665598154068, 0.06466437131166458, -0.26564499735832214, -0.12055186927318573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 4.0, -4.0, 0.0, 0.0, 0.0, -0.018338777124881744, -0.042537666857242584, 0.016022052615880966, 0.004657829646021128, -0.005893641151487827, -0.005774892866611481
379897, 0.05231008306145668, 0.11366882920265198, 0.2415432184934616, 0.013473885133862495, 0.01812567748129368, -0.008292957209050655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.019399529322981834, -0.04169577732682228, 0.01597946137189865, -0.0015132225817069411, -0.0009935960406437516, -0.00575740821659565
379907, 0.011506007984280586, 0.1648278832435608, 0.2405042052268982, -0.05097312107682228, -0.3305398225784302, 0.057923972606658936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -4.0, 5.0, 0.0, 0.0, 0.0, -0.019415097311139107, -0.04170626401901245, 0.01592039130628109, -0.0016429387032985687, -0.0010930090211331844, -0.006046795751899481
379917, 0.011396856047213078, 0.16592955589294434, 0.24044831097126007, -0.10913403332233429, 0.1311502456665039, -0.01589776948094368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01858394406735897, -0.039658430963754654, 0.015534808859229088, 0.003304347163066268, 0.010029549710452557, -0.008126970380544662
379927, -0.07743674516677856, 0.12662699818611145, 0.2242603600025177, 0.11895354092121124, 0.08432472497224808, -0.15132983028888702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -9.0, -4.0, 0.0, 0.0, 0.0, -0.018743079155683517, -0.04258538782596588, 0.015498735010623932, 0.0019255165243521333, -0.006013958249241114, -0.008204133249819279
379937, 0.05719555541872978, 0.14006388187408447, 0.24274669587612152, 0.22154493629932404, -0.29520052671432495, 0.0946674793958664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 13.0, 1.0, 0.0, 0.0, 0.0, -0.018986590206623077, -0.04147525131702423, 0.015426254831254482, 0.00041353143751621246, 0.00025313079822808504, -0.008378221653401852
379947, 0.006894212681800127, 0.15139853954315186, 0.23741735517978668, 0.15547309815883636, -0.24177969992160797, -0.05054974555969238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -5.0, 1.0, 0.0, 0.0, 0.0, -0.018972322344779968, -0.04192059487104416, 0.015334833413362503, 0.00019657595839817077, -0.0022856590803712606, -0.008333638310432434
379957, 0.026335861533880234, 0.1502189189195633, 0.23917438089847565, -0.048565275967121124, 0.17427700757980347, -0.05279349535703659, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 2.0, 0.0, 0.0, 0.0, 0.0, -0.01918726973235607, -0.04192083701491356, 0.015251378528773785, -0.0012536805588752031, -0.0023159696720540524, -0.008314228616654873
379967, 0.025149958208203316, 0.15999676287174225, 0.24027499556541443, -0.029543327167630196, -0.055830664932727814, 0.1553787738084793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 1.0, 0.0, 0.0, 0.0, -0.019002290442585945, -0.04060494527220726, 0.017498042434453964, -0.00012109996896469966, 0.004800011869519949, 0.003971476573497057
379977, -0.03278828412294388, 0.1489364504814148, 0.23332948982715607, -0.011535109020769596, 0.11270767450332642, 0.08045200258493423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 21.0, -6.0, -1.0, 0.0, 0.0, 0.0, -0.019190121442079544, -0.04191704839468002, 0.01754617504775524, -0.0011442690156400204, -0.002553231781348586, 0.0036122652236372232
379987, 0.02628181502223015, 0.15748563408851624, 0.24118466675281525, -0.011535109020769596, 0.11270767450332642, 0.08045200258493423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 21.0, 6.0, 1.0, 0.0, 0.0, 0.0, -0.019199909642338753, -0.04169873520731926, 0.017581826075911522, -0.0011270343093201518, -0.0013035881565883756, 0.003342254785820842
379997, 0.016833025962114334, 0.15812917053699493, 0.2392219454050064, -0.09745633602142334, -0.39068472385406494, -0.08244642615318298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 21.0, -1.0, 0.0, 0.0, 0.0, 0.0, -0.019405916333198547, -0.041701436042785645, 0.017613952979445457, -0.002193601569160819, -0.0012627503601834178, 0.0031920261681079865
380007, 0.016521114856004715, 0.16557340323925018, 0.23921042680740356, 0.018478507176041603, 0.16662108898162842, -0.10452669858932495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 1.0, 0.0, 0.0, 0.0, -0.018344298005104065, -0.04276213049888611, 0.01778317615389824, 0.003613044274970889, -0.007202268578112125, 0.003883060533553362
380017, 0.06462360173463821, 0.12032496929168701, 0.23960235714912415, 0.27957454323768616, -0.2585647404193878, 0.01697164960205555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, 5.0, -5.0, 0.0, 0.0, 0.0, -0.018775589764118195, -0.04191136732697487, 0.01783299446105957, 0.0010347584029659629, -0.002394818002358079, 0.003808370791375637
380027, 0.025215189903974533, 0.14103305339813232, 0.23734484612941742, 0.010359888896346092, 0.02126998081803322, 0.0728893131017685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, -4.0, 2.0, 0.0, 0.0, 0.0, -0.01940133050084114, -0.04191961511969566, 0.017870884388685226, -0.0025789167266339064, -0.002316961996257305, 0.0036180720198899508
