timeTick, roll, pitch, yaw, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
718993, 0.2433462291955948, -0.9936645030975342, -0.259492963552475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
719003, 0.2710169851779938, -1.007470965385437, -0.5479223132133484, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02961578406393528, -0.9146456122398376, 0.01937091164290905, -0.001813601003959775, 0.0017252805409952998, -0.0007026892271824181
719013, 0.2778090238571167, -1.0503517389297485, -0.6750398874282837, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02956364117562771, -0.9146342277526855, 0.01923886314034462, 0.003149487776681781, 0.0015126741491258144, -0.0012681972002610564
719023, 0.27934321761131287, -1.0495858192443848, -0.9740260243415833, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029813384637236595, -0.9147710204124451, 0.018950557336211205, 0.003262746147811413, 0.0013313961680978537, -0.0026407791301608086
719033, 0.29139184951782227, -0.9879339933395386, -0.9902396202087402, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02995351143181324, -0.9146809577941895, 0.01867583394050598, -0.005508481990545988, 0.0011397183407098055, -0.004198076203465462
719044, 0.29339832067489624, -1.0569429397583008, -0.9737326502799988, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02977914921939373, -0.9146955609321594, 0.018944676965475082, 0.0035176377277821302, 0.0009726024582050741, -0.0021967825014144182
719053, 0.29667049646377563, -0.971652626991272, -0.9413425922393799, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.030070381239056587, -0.9146585464477539, 0.0188420582562685, -0.007543787360191345, 0.0009259767830371857, -0.0026905557606369257
719063, 0.2809979021549225, -1.013707160949707, -0.9495863318443298, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029978850856423378, -0.9146031141281128, 0.018619615584611893, -0.0020071740727871656, 0.003152739256620407, -0.0038109554443508387
719073, 0.29894667863845825, -1.0158321857452393, -0.937306821346283, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02994038537144661, -0.9146636128425598, 0.018376382067799568, -0.0016595229972153902, 0.0006639976054430008, -0.004876981023699045
719084, 0.30493462085723877, -1.0476354360580444, -0.9850755333900452, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029820110648870468, -0.9147070050239563, 0.01840164139866829, 0.002074754098430276, 0.00031553368899039924, -0.0040421742014586926
719093, 0.30463680624961853, -1.065598487854004, -0.9925161600112915, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029664406552910805, -0.9146580100059509, 0.018212733790278435, 0.004352231975644827, 0.00014853282482363284, -0.004625281319022179
719103, 0.37543821334838867, -1.0536099672317505, -0.9925346374511719, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029697692021727562, -0.9150874614715576, 0.01801683008670807, 0.0032465974800288677, -0.009451514109969139, -0.005299856886267662
719113, 0.3025786578655243, -1.0251224040985107, -0.9969695806503296, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02983766980469227, -0.9146389961242676, 0.017912961542606354, -0.00017251494864467531, 0.00018467369955033064, -0.005639989860355854
719123, 0.3857637941837311, -1.0323359966278076, -1.0090727806091309, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029865724965929985, -0.9152286648750305, 0.017685161903500557, 0.00014850734442006797, -0.010427271947264671, -0.006695879157632589
719133, 0.38283175230026245, -1.0714824199676514, -1.008448839187622, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029595617204904556, -0.9152500629425049, 0.017621895298361778, 0.00487976660951972, -0.010242514312267303, -0.006424594204872847
719144, 0.35091355443000793, -1.062316656112671, -1.0078479051589966, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0296286903321743, -0.9150659441947937, 0.01745353825390339, 0.003767716232687235, -0.006601656787097454, -0.006615846883505583
719153, 0.35341301560401917, -1.0651315450668335, -1.0472524166107178, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029665064066648483, -0.9151957035064697, 0.017252961173653603, 0.003728638868778944, -0.007681854069232941, -0.007233398500829935
719163, 0.29326143860816956, -1.0435867309570312, -1.0519299507141113, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02989562228322029, -0.9147258996963501, 0.01712959073483944, 0.00024065545585472137, 0.00026106805307790637, -0.007614134345203638
719173, 0.2965647578239441, -1.104934573173523, -1.0375101566314697, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029289884492754936, -0.9146878719329834, 0.016953639686107635, 0.008037700317800045, 0.00030777015490457416, -0.007962976582348347
719184, 0.3029271066188812, -1.0684078931808472, -1.0415765047073364, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029636910185217857, -0.9147077798843384, 0.016767486929893494, 0.0030365525744855404, 0.0001546731509733945, -0.008543437346816063
719193, 0.31145918369293213, -1.0351200103759766, -1.041049838066101, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029913729056715965, -0.9147669076919556, 0.01662410981953144, -0.0012681408552452922, -0.0009305619751103222, -0.008887785486876965
719203, 0.32979142665863037, -1.0552854537963867, -1.0705797672271729, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029779838398098946, -0.9149888157844543, 0.016481265425682068, 0.0008876590873114765, -0.0031987072434276342, -0.009198769927024841
719213, 0.3072049021720886, -1.041967749595642, -1.0654102563858032, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029916593804955482, -0.9146929383277893, 0.016304759308695793, -0.0011494940845295787, 0.00015918219287414104, -0.009673959575593472
719223, 0.32633426785469055, -1.0447977781295776, -1.0631593465805054, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029896222054958344, -0.9148530960083008, 0.016076305881142616, -0.0008332657744176686, -0.002027861773967743, -0.010198171250522137
719234, 0.3116619288921356, -1.0466289520263672, -1.0626299381256104, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02987530082464218, -0.914671003818512, 0.015930434688925743, -0.0006372798816300929, 9.346334263682365e-05, -0.01019642036408186
719243, 0.3109866678714752, -1.0442757606506348, -1.062343716621399, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029889844357967377, -0.9146968126296997, 0.015780624002218246, -0.0005461653345264494, -0.00020625941397156566, -0.010281230323016644
719253, 0.31130632758140564, -1.0231995582580566, -1.0616602897644043, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.030080385506153107, -0.914696991443634, 0.015653954818844795, -0.002722072182223201, -0.00039262473001144826, -0.010288121178746223
719263, 0.3107788562774658, -1.0487977266311646, -1.0611953735351562, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0297431331127882, -0.914716362953186, 0.01749681867659092, 0.000823691429104656, -0.0005169818759895861, 0.001968183321878314
719273, 0.37893620133399963, -1.0768182277679443, -1.0591075420379639, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02944168634712696, -0.9155289530754089, 0.01740347035229206, 0.004124516621232033, -0.009168863296508789, 0.0016216823132708669
719284, 0.312539666891098, -1.043654203414917, -1.0852346420288086, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029862338677048683, -0.914766788482666, 0.017310548573732376, -0.0004418425087351352, -0.0004830792313441634, 0.0010587439173832536
719293, 0.3408623933792114, -1.0538500547409058, -1.0634779930114746, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029753731563687325, -0.9150670766830444, 0.017200730741024017, 0.0006904765614308417, -0.003961693495512009, 0.0002492514904588461
719303, 0.32023677229881287, -1.0476685762405396, -1.073215126991272, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029835980385541916, -0.9147794842720032, 0.017073726281523705, -0.0003060502640437335, -0.0009504130575805902, -0.0006354336510412395
719313, 0.32009193301200867, -1.0871753692626953, -1.0721648931503296, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029304267838597298, -0.9147824048995972, 0.017000144347548485, 0.005004053469747305, -0.0009804170113056898, -0.0010058290790766478
719323, 0.37798812985420227, -1.1197199821472168, -1.0699080228805542, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.028886884450912476, -0.9155108332633972, 0.016888439655303955, 0.009043876081705093, -0.008286241441965103, -0.0015203688526526093
719333, 0.3453119993209839, -1.0621377229690552, -1.0701651573181152, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029606355354189873, -0.9150863289833069, 0.016805307939648628, 0.001358499052003026, -0.0037578775081783533, -0.0020282615441828966
719343, 0.3434983789920807, -1.0454813241958618, -1.069234848022461, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029798313975334167, -0.9150673151016235, 0.01668812707066536, -0.0006504665361717343, -0.0034046496730297804, -0.002749760402366519
719353, 0.3181188106536865, -1.0427594184875488, -1.0687910318374634, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02980065532028675, -0.9147520065307617, 0.016110677272081375, -0.0005892997141927481, -9.234572644345462e-05, -0.006205338053405285
