timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, otRoll, otPitch, otYaw, otq0, otq1, otq2, otq3
330964, 0.8776711225509644, 0.4200180172920227, 0.03206992521882057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
330974, 0.9107146263122559, 0.3710293471813202, -0.04317902401089668, -0.17748522758483887, -0.3492598533630371, -0.08815371990203857, 0.03820718452334404, -1.738977313041687, 0.015215662308037281, 0.00849378202110529, -0.0023565413430333138, -0.00048324489034712315, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
330984, 0.890612781047821, 0.41201773285865784, -0.21794629096984863, 0.005901983007788658, -0.07110226899385452, 0.18129689991474152, 0.03798917308449745, -1.7392709255218506, 0.015111876651644707, 0.00863109901547432, -0.002602188615128398, -0.0010589048033580184, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
330994, 0.8911601305007935, 0.4068565368652344, -0.25478923320770264, -0.35701343417167664, 0.054323986172676086, 0.013015528209507465, 0.03763006255030632, -1.7395356893539429, 0.014929691329598427, 0.002442940603941679, 0.0008864807314239442, -0.0019125911640003324, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
331004, 0.9092267155647278, 0.42815542221069336, -0.32504624128341675, 0.04037373140454292, 0.10816583782434464, -0.1556764841079712, 0.03750469908118248, -1.7396916151046753, 0.014715292491018772, 0.002770631108433008, 0.0007143658003769815, -0.002964709885418415, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
331014, 0.8836921453475952, 0.35682153701782227, -0.3463805913925171, -0.0696113333106041, 0.24444562196731567, 0.11495036631822586, 0.03735804930329323, -1.7397990226745605, 0.014591114595532417, -0.001062704250216484, -0.0005000599776394665, -0.003310103202238679, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
331024, 0.926973283290863, 0.41332200169563293, -0.42626267671585083, -0.079892098903656, 0.1933116614818573, -0.12296515703201294, 0.03753284364938736, -1.7397756576538086, 0.014822791330516338, 0.008117645047605038, 0.0027677256148308516, -0.0018847458995878696, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
331034, 0.9193894267082214, 0.3902779221534729, -0.4377392828464508, -0.1867656409740448, -0.060967061668634415, -0.09355062246322632, 0.03724532946944237, -1.7399228811264038, 0.014733239077031612, -0.0008227088255807757, -0.0012262392556294799, -0.002191645558923483, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
331044, 0.9272592663764954, 0.38123834133148193, -0.4791571795940399, 0.0009024216560646892, 0.4493567645549774, 0.11017991602420807, 0.037329379469156265, -1.7399078607559204, 0.014544565230607986, 0.002100244862958789, -0.00010080786887556314, -0.003140176646411419, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
331054, 0.9336037635803223, 0.3536798655986786, -0.4986039400100708, -0.21820932626724243, 0.23423413932323456, 0.13266700506210327, 0.037312962114810944, -1.7399624586105347, 0.014356282539665699, 0.0026258225552737713, -0.0003769504255615175, -0.004117255564779043, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
