timeTick, roll, pitch, yaw, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
575009, 1.1960681676864624, -2.322789192199707, -12.666961669921875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
575019, 1.7718318700790405, -2.4332516193389893, -12.40029239654541, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03141999989748001, -0.409795343875885, 0.014879366382956505, 0.01085489522665739, -0.05781318247318268, 0.002702551195397973
575029, 2.058525562286377, -2.648465156555176, -12.302082061767578, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03330251947045326, -0.40980514883995056, 0.015052692033350468, 0.011905805207788944, -0.06755421310663223, 0.004049462731927633
575039, 2.0764784812927246, -2.6646602153778076, -12.275090217590332, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03329615667462349, -0.4093887507915497, 0.015755537897348404, 0.03337666392326355, -0.060654427856206894, 0.008255473338067532
575049, 2.1772894859313965, -2.739978790283203, -12.25688648223877, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0343276709318161, -0.40954717993736267, 0.016001814976334572, 0.01496155932545662, -0.06578661501407623, 0.009455304592847824
575059, 2.2786927223205566, -2.7584540843963623, -12.20842170715332, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03482383117079735, -0.4100264608860016, 0.016064031049609184, 0.016287479549646378, -0.0744810551404953, 0.009774584323167801
575069, 2.3142757415771484, -2.823545217514038, -12.214951515197754, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.035015769302845, -0.4103928506374359, 0.016125431284308434, 0.020115520805120468, -0.07713703066110611, 0.009604224003851414
575079, 2.3762972354888916, -2.8285908699035645, -12.194000244140625, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03515903279185295, -0.41088080406188965, 0.016223376616835594, 0.024602480232715607, -0.08119698613882065, 0.010087383911013603
575089, 2.4241018295288086, -2.842568874359131, -12.161532402038574, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03523654863238335, -0.4111432135105133, 0.01700739935040474, 0.022809214890003204, -0.07746929675340652, 0.01431006845086813
575099, 2.4688241481781006, -2.8775579929351807, -12.150643348693848, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03548930957913399, -0.4114093780517578, 0.017101872712373734, 0.02104201167821884, -0.07956738024950027, 0.014337950386106968
