timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, otX, otY, otZ, laserFront
1567853, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 0, 0, 0, 0, 0, 0, 0
1567863, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154596.125, 151310.40625, 165086.3125, -0.0494002103805542, -0.9950580596923828, 0.006311237812042236, 113.0
1567873, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154591.109375, 151314.15625, 165084.28125, -0.049408137798309326, -0.9950084686279297, 0.006284758448600769, 113.0
1567883, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154596.703125, 151309.796875, 165091.828125, -0.04915761947631836, -0.9950447082519531, 0.007159560918807983, 113.0
1567893, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154603.640625, 151316.640625, 165077.21875, -0.04944205284118652, -0.9950656890869141, 0.00604778528213501, 113.0
1567903, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.125, 151302.34375, 165084.28125, -0.04940420389175415, -0.9950370788574219, 0.006157293915748596, 113.0
1567913, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154596.125, 151311.671875, 165091.34375, -0.04922562837600708, -0.9949474334716797, 0.007297083735466003, 113.0
1567923, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154597.265625, 151309.796875, 165083.796875, -0.04941880702972412, -0.9950675964355469, 0.006036706268787384, 113.0
1567933, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154596.703125, 151305.4375, 165088.828125, -0.04933887720108032, -0.9949970245361328, 0.006244570016860962, 113.0
1567943, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154606.140625, 151304.828125, 165081.28125, -0.04938101768493652, -0.9951381683349609, 0.006270863115787506, 113.0
1567953, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.703125, 151309.796875, 165091.34375, -0.049470603466033936, -0.9949264526367188, 0.006331652402877808, 113.0
1567963, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154603.0625, 151312.28125, 165083.796875, -0.04933035373687744, -0.9950370788574219, 0.0063963159918785095, 121.0
1567973, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154597.265625, 151309.1875, 165086.796875, -0.049393415451049805, -0.9949245452880859, 0.006274916231632233, 121.0
1567983, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154605.5625, 151320.984375, 165095.890625, -0.04943978786468506, -0.9950637817382812, 0.006090730428695679, 121.0
1567993, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154605.5625, 151316.640625, 165081.765625, -0.04942941665649414, -0.9950084686279297, 0.006285220384597778, 121.0
1568003, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154594.765625, 151307.921875, 165088.828125, -0.04910343885421753, -0.9950714111328125, 0.007127381861209869, 121.0
