timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, laserFront
197071, -0.01630367524921894, -0.7442479133605957, 0.009530124254524708, 0.019993342459201813, -0.0016097001498565078, -0.00023286559735424817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01884782314300537, -0.744049072265625, 0.00981670618057251, 32766.0
197081, -0.01610853709280491, -0.7442607283592224, 0.009530204348266125, 0.02085150219500065, -0.001477558515034616, -0.0001242687867488712, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01858001947402954, -0.7441425323486328, 0.009965106844902039, 32766.0
197092, -0.016222527250647545, -0.7442545890808105, 0.009544434025883675, 0.020409466698765755, -0.0014554123627021909, -5.909222818445414e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01876211166381836, -0.7441158294677734, 0.009803548455238342, 32766.0
197101, -0.016246555373072624, -0.744246244430542, 0.009521041996777058, 0.02037637121975422, -0.0012535961577668786, -0.00028605517582036555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.019041866064071655, -0.7439765930175781, 0.009271442890167236, 32766.0
197111, -0.016306934878230095, -0.7442546486854553, 0.009470059536397457, 0.020216988399624825, -0.0012517720460891724, -0.0005752698052674532, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.019359886646270752, -0.7438716888427734, 0.008948251605033875, 32766.0
197121, -0.016326725482940674, -0.74427330493927, 0.009511379525065422, 0.020055033266544342, -0.0013720742426812649, -0.0003156192251481116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018722862005233765, -0.7441234588623047, 0.010110586881637573, 32766.0
197131, -0.016230270266532898, -0.7442716360092163, 0.009535113349556923, 0.02047133445739746, -0.0013461889466270804, -0.0003233831957913935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018714159727096558, -0.7442131042480469, 0.01003691554069519, 32766.0
197141, -0.016250235959887505, -0.7442643642425537, 0.009515511803328991, 0.020520998165011406, -0.0013076451141387224, -0.0006431170040741563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01895320415496826, -0.7439956665039062, 0.00942261517047882, 32766.0
197151, -0.016265645623207092, -0.744257926940918, 0.009506775066256523, 0.020283829420804977, -0.0012368513271212578, -0.0007466411334462464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018951088190078735, -0.7440195083618164, 0.009722530841827393, 32766.0
197161, -0.016302186995744705, -0.7442705035209656, 0.009542512707412243, 0.01993340626358986, -0.0013576401397585869, -0.0002977197873406112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018675804138183594, -0.7441473007202148, 0.010472714900970459, 207.0
197171, -0.016336308792233467, -0.744284987449646, 0.009539371356368065, 0.01955270580947399, -0.0015594627475365996, -0.00020778791804332286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01894986629486084, -0.7440433502197266, 0.009712383151054382, 207.0
197181, -0.01623888500034809, -0.7442853450775146, 0.009559941478073597, 0.019724015146493912, -0.0016109126154333353, -0.00023794191656634212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018576115369796753, -0.7441749572753906, 0.009987235069274902, 207.0
197192, -0.016245169565081596, -0.7442878484725952, 0.00959292147308588, 0.019709020853042603, -0.0015460525173693895, -7.884731166996062e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01879352331161499, -0.7441043853759766, 0.009852334856987, 207.0
197201, -0.016279585659503937, -0.7442810535430908, 0.009570769965648651, 0.01964281126856804, -0.001380567904561758, -0.00020325354125816375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.019329965114593506, -0.7436027526855469, 0.008689835667610168, 207.0
197211, -0.0163118876516819, -0.7442787289619446, 0.00955657847225666, 0.019446030259132385, -0.0013513386948034167, -0.00041897871415130794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01923900842666626, -0.7438201904296875, 0.008838042616844177, 207.0
197221, -0.01622620038688183, -0.7442787289619446, 0.0095763448625803, 0.019728638231754303, -0.0013596308417618275, -0.00032875436590984464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01871466636657715, -0.7440328598022461, 0.010012120008468628, 207.0
197231, -0.01625782437622547, -0.7442773580551147, 0.009564457461237907, 0.01947620138525963, -0.0015315101481974125, -0.000330607988871634, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018514543771743774, -0.7441778182983398, 0.010259270668029785, 207.0
197242, -0.01630331203341484, -0.7442840337753296, 0.009524690918624401, 0.01941766031086445, -0.00159263436216861, -0.00047755654668435454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.019105613231658936, -0.7439765930175781, 0.009291127324104309, 207.0
197251, -0.016284089535474777, -0.744273841381073, 0.009552309289574623, 0.01965791918337345, -0.0014097467064857483, -0.0003853790112771094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01874387264251709, -0.7439584732055664, 0.0099516361951828, 207.0
197261, -0.016317082569003105, -0.7442629933357239, 0.009550042450428009, 0.019512418657541275, -0.0012171822600066662, -0.00035160561674274504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018663346767425537, -0.7442197799682617, 0.009842455387115479, 203.0
197271, -0.016340555623173714, -0.7442562580108643, 0.009546246379613876, 0.019605904817581177, -0.0010184450075030327, -0.0004133351321797818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018923133611679077, -0.7440729141235352, 0.00945638120174408, 203.0
197281, -0.016256263479590416, -0.7442657351493835, 0.009584596380591393, 0.01979045756161213, -0.0010543566895648837, -0.0002797868219204247, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018689066171646118, -0.7442560195922852, 0.010360091924667358, 203.0
197291, -0.016277890652418137, -0.7442601919174194, 0.009566320106387138, 0.019564758986234665, -0.0010865895310416818, -0.00035513349575921893, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.019109517335891724, -0.7438459396362305, 0.009084880352020264, 203.0
