timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
363893, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
363903, -92.59960174560547, 2.0955605506896973, 4.782724380493164, 2.04209303855896, -0.512058675289154, 0.0029210790526121855, 0.0, 0.0, 0.0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0
363913, -90.29642486572266, 2.7875113487243652, 4.2789506912231445, 2.0420725345611572, -0.5124824643135071, 0.003380547044798732, -0.029041456058621407, -0.10244452208280563, 0.945478618144989, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0420725345611572, -0.5124824643135071, 0.003380547044798732, 0.00369043811224401, -0.9512137174606323, 0.02122562751173973
363923, -89.475830078125, 3.061925172805786, 3.832707166671753, 2.042203903198242, -0.5119779706001282, 0.000641964899841696, -0.010455039329826832, 0.0871187224984169, 0.27180546522140503, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042203903198242, -0.5119779706001282, 0.000641964899841696, 0.008580632507801056, -0.2624446153640747, 0.11236865073442459
363933, -89.13900756835938, 3.156806468963623, 3.458712577819824, 2.042255401611328, -0.5111849904060364, -0.006628050003200769, -0.007947553880512714, 0.18971270322799683, -0.20834103226661682, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042255401611328, -0.5111849904060364, -0.006628050003200769, -0.006384127773344517, 0.2100256383419037, 0.18790648877620697
363943, -88.93603515625, 3.1471643447875977, 3.136666774749756, 2.042267322540283, -0.5118133425712585, -0.0071930913254618645, -0.007108025718480349, 0.18368154764175415, -0.2569657266139984, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042267322540283, -0.5118133425712585, -0.0071930913254618645, -0.01017059851437807, 0.25952839851379395, 0.17989668250083923
363953, -86.27420806884766, 3.053642749786377, 2.8283348083496094, 2.0423154830932617, -0.5111570358276367, -0.008030540309846401, -0.005700210575014353, 0.23620140552520752, -0.30389606952667236, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0423154830932617, -0.5111570358276367, -0.008030540309846401, -0.00946232583373785, 0.3081681430339813, 0.230477437376976
363963, -86.38328552246094, 2.995110511779785, 2.6305010318756104, 2.042387008666992, -0.5101059079170227, -0.009143853560090065, -0.00434336019679904, 0.29391977190971375, -0.35141465067863464, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042387008666992, -0.5101059079170227, -0.009143853560090065, -0.008531278930604458, 0.3576083183288574, 0.2862592339515686
363973, -86.52549743652344, 2.8987789154052734, 2.453953266143799, 2.042279005050659, -0.5072408318519592, -0.009450029581785202, -0.006632617674767971, 0.38124632835388184, -0.3699325919151306, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042279005050659, -0.5072408318519592, -0.009450029581785202, -0.008472571149468422, 0.3933027386665344, 0.3570507764816284
363983, -86.58592987060547, 2.782679557800293, 2.303934097290039, 2.0423099994659424, -0.5084377527236938, -0.01020631194114685, -0.005984661169350147, 0.3871171176433563, -0.4118702709674835, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0422565937042236, -0.5069921612739563, -0.009554479271173477, -0.00909546110779047, 0.4166471064090729, 0.38532283902168274
363993, -86.64301300048828, 2.649662494659424, 2.182785987854004, 2.042285680770874, -0.5059595108032227, -0.0104818195104599, -0.005921972915530205, 0.4541979432106018, -0.4318270683288574, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042285680770874, -0.5059595108032227, -0.0104818195104599, -0.008637120015919209, 0.45819181203842163, 0.427542507648468
364003, -88.3551254272461, 2.6262130737304688, 2.237309217453003, 2.0422720909118652, -0.5045016407966614, -0.011917216703295708, -0.005804418586194515, 0.5034345984458923, -0.47805917263031006, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0422720909118652, -0.5045016407966614, -0.011917216703295708, -0.008740085177123547, 0.5068179965019226, 0.4744277894496918
364013, -88.30412292480469, 2.485856533050537, 2.144270420074463, 2.0422284603118896, -0.500627875328064, -0.017510131001472473, -0.006499627139419317, 0.5839595198631287, -0.5857219696044922, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0422284603118896, -0.500627875328064, -0.017510131001472473, -0.010552761144936085, 0.6023703217506409, 0.5667121410369873
364023, -88.2388916015625, 2.3351967334747314, 2.075502634048462, 2.0422284603118896, -0.49985426664352417, -0.01827167347073555, -0.006122290156781673, 0.6174595355987549, -0.6171151399612427, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0422284603118896, -0.49985426664352417, -0.01827167347073555, -0.009797281585633755, 0.6352691650390625, 0.5987194180488586
364033, -86.59713745117188, 2.2225613594055176, 1.9533545970916748, 2.042227268218994, -0.4971887469291687, -0.020673779770731926, -0.005580406170338392, 0.6737428307533264, -0.6674563884735107, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042227268218994, -0.4971887469291687, -0.020673779770731926, -0.0083877919241786, 0.68805330991745, 0.652667224407196
364043, -86.63019561767578, 2.0801265239715576, 1.924458384513855, 2.042224884033203, -0.4956215023994446, -0.02221093885600567, -0.005234031938016415, 0.7145899534225464, -0.7065508961677551, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042224884033203, -0.4956215023994446, -0.02221093885600567, -0.006850057747215033, 0.7287466526031494, 0.6919289827346802
364054, -86.65727996826172, 1.9405264854431152, 1.9023483991622925, 2.042245626449585, -0.4936659634113312, -0.024059370160102844, -0.004587707109749317, 0.7587472200393677, -0.7486209869384766, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042245626449585, -0.4936659634113312, -0.024059370160102844, -0.004690283909440041, 0.7722761631011963, 0.7346590161323547
364063, -86.6244125366211, 1.7957228422164917, 1.9079996347427368, 2.0422472953796387, -0.4913308918476105, -0.026331555098295212, -0.004118975717574358, 0.8053662180900574, -0.7938462495803833, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0422472953796387, -0.4913308918476105, -0.026331555098295212, -0.0024630343541502953, 0.8190858960151672, 0.7796927690505981
364073, -86.61509704589844, 1.6540679931640625, 1.9239884614944458, 2.0422444343566895, -0.48877280950546265, -0.028817759826779366, -0.004027259536087513, 0.8534929752349854, -0.8391789793968201, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0422444343566895, -0.48877280950546265, -0.028817759826779366, 0.00020380645582918078, 0.8668042421340942, 0.8254356384277344
364083, -88.06302642822266, 1.6071527004241943, 2.026010513305664, 2.0422024726867676, -0.4837765097618103, -0.03224797174334526, -0.003901471383869648, 0.9210885763168335, -0.8754279017448425, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0422024726867676, -0.4837765097618103, -0.03224797174334526, 0.0017445432022213936, 0.9286782145500183, 0.8673832416534424
364093, -88.00917053222656, 1.4713622331619263, 2.0635812282562256, 2.042191505432129, -0.48157018423080444, -0.03431382030248642, -0.0040998938493430614, 0.9632070660591125, -0.9138973951339722, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042191505432129, -0.48157018423080444, -0.03431382030248642, 0.004594889935106039, 0.969828724861145, 0.9068686962127686
364103, -87.97801208496094, 1.3434244394302368, 2.119046211242676, 2.0421559810638428, -0.4789963662624359, -0.03683384135365486, -0.0047149364836514, 1.0074882507324219, -0.955379068851471, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0421559810638428, -0.4789963662624359, -0.03683384135365486, 0.007444277871400118, 1.01442289352417, 0.9479993581771851
364114, -87.98399353027344, 1.2215651273727417, 2.1908700466156006, 2.0421230792999268, -0.47210976481437683, -0.04492993652820587, -0.005570045672357082, 1.0785174369812012, -1.0522723197937012, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0421230792999268, -0.47210976481437683, -0.04492993652820587, 0.009632891975343227, 1.090168833732605, 1.0401713848114014
364123, -88.01477813720703, 1.1065336465835571, 2.273446798324585, 2.0420877933502197, -0.4729003310203552, -0.0426996648311615, -0.0060762627981603146, 1.0998073816299438, -1.0428674221038818, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0420877933502197, -0.4729003310203552, -0.0426996648311615, 0.014223688282072544, 1.1070643663406372, 1.0350847244262695
364133, -86.4921875, 1.039090871810913, 2.2254912853240967, 2.042025327682495, -0.46662870049476624, -0.05027882009744644, -0.007578039076179266, 1.1594616174697876, -1.1339190006256104, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.042025327682495, -0.46662870049476624, -0.05027882009744644, 0.016517482697963715, 1.1739153861999512, 1.1188571453094482
364143, -88.04680633544922, 0.9100476503372192, 2.480522871017456, 2.041971445083618, -0.463968425989151, -0.05299660190939903, -0.00904869195073843, 1.1981236934661865, -1.1746386289596558, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.041971445083618, -0.463968425989151, -0.05299660190939903, 0.019915476441383362, 1.2153006792068481, 1.1567270755767822
364153, -86.51478576660156, 0.8559648990631104, 2.4439921379089355, 2.041879415512085, -0.4608929753303528, -0.056104402989149094, -0.010920368134975433, 1.23963463306427, -1.2166748046875, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.041879415512085, -0.4608929753303528, -0.056104402989149094, 0.023411555215716362, 1.2587226629257202, 1.1967425346374512
364163, -86.51929473876953, 0.7831504344940186, 2.5676119327545166, 2.041796922683716, -0.45751556754112244, -0.05951075255870819, -0.012884257361292839, 1.2819328308105469, -1.260047435760498, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.041796922683716, -0.45751556754112244, -0.05951075255870819, 0.027078764513134956, 1.3033853769302368, 1.2376198768615723
364173, -86.5339126586914, 0.7235478162765503, 2.6977782249450684, 2.0416955947875977, -0.4483707845211029, -0.06666074693202972, -0.013776800595223904, 1.3660786151885986, -1.3049955368041992, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0416955947875977, -0.4483707845211029, -0.06666074693202972, 0.0296834297478199, 1.3794599771499634, 1.283945083618164
364183, -86.50262451171875, 0.6928088068962097, 2.833794355392456, 2.0415616035461426, -0.44289952516555786, -0.07208844274282455, -0.01634788326919079, 1.4197908639907837, -1.3520606756210327, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0415616035461426, -0.44289952516555786, -0.07208844274282455, 0.03341880068182945, 1.4359078407287598, 1.334619402885437
364193, -88.0677490234375, 0.6857138872146606, 3.004014253616333, 2.041379451751709, -0.43735843896865845, -0.07760323584079742, -0.01934826374053955, 1.4728813171386719, -1.403725504875183, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.041379451751709, -0.43735843896865845, -0.07760323584079742, 0.036515973508358, 1.4914554357528687, 1.3836337327957153
364203, -88.0240478515625, 0.6706007122993469, 3.1431500911712646, 2.0412678718566895, -0.434789776802063, -0.0804625153541565, -0.021639617159962654, 1.5051040649414062, -1.4391990900039673, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0412678718566895, -0.434789776802063, -0.0804625153541565, 0.03960054740309715, 1.5282295942306519, 1.4142365455627441
364213, -87.99480438232422, 0.6730844974517822, 3.281888961791992, 2.041038751602173, -0.42574530839920044, -0.09171704947948456, -0.025275295600295067, 1.5593374967575073, -1.5438144207000732, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.041038751602173, -0.42574530839920044, -0.09171704947948456, 0.04218969866633415, 1.5972316265106201, 1.5042027235031128
364223, -87.98806762695312, 0.6873574256896973, 3.4220495223999023, 2.040964365005493, -0.4282541871070862, -0.08756551146507263, -0.027109695598483086, 1.5758870840072632, -1.5151554346084595, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0408642292022705, -0.42231231927871704, -0.09547390043735504, 0.044534895569086075, 1.6372491121292114, 1.5369913578033447
364233, -88.03797149658203, 0.7152889370918274, 3.564523935317993, 2.0406975746154785, -0.4186006784439087, -0.09958997368812561, -0.031017284840345383, 1.6296306848526, -1.6216121912002563, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0406975746154785, -0.4186006784439087, -0.09958997368812561, 0.04685336351394653, 1.6784694194793701, 1.5706207752227783
364243, -88.02711486816406, 0.7644822001457214, 3.703011989593506, 2.0405056476593018, -0.4146420359611511, -0.10406017303466797, -0.03390682488679886, 1.663758397102356, -1.6641440391540527, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0405056476593018, -0.4146420359611511, -0.10406017303466797, 0.04881863296031952, 1.7208346128463745, 1.60467529296875
364253, -86.52323150634766, 0.7801137566566467, 3.659791946411133, 2.0402750968933105, -0.4087401330471039, -0.11052289605140686, -0.036971401423215866, 1.7093820571899414, -1.715253472328186, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0402750968933105, -0.4087401330471039, -0.11052289605140686, 0.050613850355148315, 1.7738749980926514, 1.6481133699417114
364264, -86.56907653808594, 0.8522064089775085, 3.7856688499450684, 2.0400378704071045, -0.39744895696640015, -0.11916498839855194, -0.03878452628850937, 1.7947883605957031, -1.7370320558547974, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.0400378704071045, -0.39744895696640015, -0.11916498839855194, 0.05211680009961128, 1.845800518989563, 1.6823729276657104
364273, -86.51602172851562, 0.9410591721534729, 3.8990063667297363, 2.040001392364502, -0.4029843807220459, -0.11793945729732513, -0.04091561585664749, 1.7604625225067139, -1.7868086099624634, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 2.040001392364502, -0.4029843807220459, -0.11793945729732513, 0.05218106135725975, 1.8472615480422974, 1.6966185569763184
