timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw
42766, 0.0, 0.0, 82.86075592041016, 0.0, 0.0, 0.87127685546875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42776, 0.0, 0.0, 82.8647689819336, 0.0, 0.0, 0.40130615234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015656739473342896, -0.7385196685791016, 0.018807724118232727, 0.5971123576164246
42786, 0.0, 0.0, 82.8683853149414, 0.0, 0.0, 0.36163330078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01574137806892395, -0.7384719848632812, 0.018770858645439148, 0.5962218046188354
42796, 0.0, 0.0, 82.87492370605469, 0.0, 0.0, 0.653839111328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015655308961868286, -0.738555908203125, 0.0187055766582489, 0.5969480276107788
42806, 0.0, 0.0, 82.88080596923828, 0.0, 0.0, 0.588226318359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015556633472442627, -0.738591194152832, 0.01867331564426422, 0.5974104404449463
42816, 0.0, 0.0, 82.8882827758789, 0.0, 0.0, 0.7476806640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01598033308982849, -0.7364501953125, -0.0025888681411743164, 0.5980668663978577
42826, 0.0, 0.0, 82.89501190185547, 0.0, 0.0, 0.67291259765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01590520143508911, -0.7365407943725586, -0.002572871744632721, 0.5989108085632324
42836, 0.0, 0.0, 82.91529083251953, 0.0, 0.0, 2.02789306640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016091346740722656, -0.7366533279418945, -0.0027128085494041443, 0.5989605784416199
42846, 0.0, 0.0, 82.93354034423828, 0.0, 0.0, 1.824951171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016376614570617676, -0.7366514205932617, -0.003346860408782959, 0.6000325083732605
42856, 0.0, 0.0, 82.94558715820312, 0.0, 0.0, 1.204681396484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01602032780647278, -0.7365217208862305, -0.0026882514357566833, 0.6007512807846069
42866, 0.0, 0.0, 82.95642852783203, 0.0, 0.0, 1.084136962890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015583723783493042, -0.7385406494140625, 0.018636584281921387, 0.6008807420730591
42876, 0.0, 0.0, 82.96017456054688, 0.0, 0.0, 0.374603271484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015718281269073486, -0.7386407852172852, 0.018478915095329285, 0.6005519032478333
42886, 0.0, 0.0, 82.96354675292969, 0.0, 0.0, 0.33721923828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015605539083480835, -0.7384262084960938, 0.018654927611351013, 0.6009314060211182
42896, 0.0, 0.0, 82.96603393554688, 0.0, 0.0, 0.24871826171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01568472385406494, -0.7385406494140625, 0.018377825617790222, 0.600358247756958
42906, 0.0, 0.0, 82.96826934814453, 0.0, 0.0, 0.223541259765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015523821115493774, -0.738682746887207, 0.018493875861167908, 0.6007411479949951
42916, 0.0, 0.0, 82.97247314453125, 0.0, 0.0, 0.420379638671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016085296869277954, -0.7365579605102539, -0.002598389983177185, 0.6005297899246216
42926, 0.0, 0.0, 82.97625732421875, 0.0, 0.0, 0.37841796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015906453132629395, -0.7366418838500977, -0.0030616149306297302, 0.6000605821609497
42936, 0.0, 0.0, 82.98348999023438, 0.0, 0.0, 0.7232666015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016163557767868042, -0.7365016937255859, -0.002745389938354492, 0.5992790460586548
42946, 0.0, 0.0, 82.98999786376953, 0.0, 0.0, 0.650787353515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016021400690078735, -0.7365436553955078, -0.0027464106678962708, 0.5995063185691833
42956, 0.0, 0.0, 82.99038696289062, 0.0, 0.0, 0.038909912109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01603761315345764, -0.7365789413452148, -0.0027836188673973083, 0.5999854803085327
42966, 0.0, 0.0, 82.99073791503906, 0.0, 0.0, 0.03509521484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015607357025146484, -0.7386188507080078, 0.01844628155231476, 0.6002304553985596
42976, 0.0, 0.0, 82.99542999267578, 0.0, 0.0, 0.469207763671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015698283910751343, -0.7385377883911133, 0.01872144639492035, 0.6001304388046265
42986, 0.0, 0.0, 82.99964904785156, 0.0, 0.0, 0.421905517578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015654951333999634, -0.7384300231933594, 0.018911108374595642, 0.6006786823272705
42996, 0.0, 0.0, 82.99524688720703, 0.0, 0.0, -0.440216064453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015663355588912964, -0.7385673522949219, 0.018544644117355347, 0.6019843220710754
43006, 0.0, 0.0, 82.99127960205078, 0.0, 0.0, -0.396728515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01573348045349121, -0.7385892868041992, 0.018728673458099365, 0.6007835865020752
43016, 0.0, 0.0, 82.98060607910156, 0.0, 0.0, -1.067352294921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016121119260787964, -0.7365198135375977, -0.0027221888303756714, 0.6014351844787598
43026, 0.0, 0.0, 82.97100067138672, 0.0, 0.0, -0.960540771484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01590147614479065, -0.7365341186523438, -0.0026039928197860718, 0.6002252101898193
43036, 0.0, 0.0, 82.97438049316406, 0.0, 0.0, 0.337982177734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016072183847427368, -0.7365207672119141, -0.0028822720050811768, 0.6005090475082397
