timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ
160698, 0.0, 0.0, 81.49292755126953, 0.0, 0.0, -0.6378173828125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
160708, 0.0, 0.0, 81.48828125, 0.0, 0.0, -0.464630126953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.023006707429885864, -0.790308952331543, 0.0094672292470932
160718, 0.0, 0.0, 81.48409271240234, 0.0, 0.0, -0.418853759765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.022898226976394653, -0.7905340194702148, 0.009179875254631042
160728, 0.0, 0.0, 81.4896240234375, 0.0, 0.0, 0.553131103515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.022845685482025146, -0.7906007766723633, 0.009231805801391602
160738, 0.0, 0.0, 81.49459838867188, 0.0, 0.0, 0.4974365234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02272823452949524, -0.790349006652832, 0.009371250867843628
160748, 0.0, 0.0, 81.49524688720703, 0.0, 0.0, 0.064849853515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02296695113182068, -0.7903432846069336, 0.009141013026237488
160758, 0.0, 0.0, 81.49583435058594, 0.0, 0.0, 0.058746337890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.023028284311294556, -0.7904491424560547, 0.00864604115486145
160768, 0.0, 0.0, 81.48925018310547, 0.0, 0.0, -0.658416748046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02282637357711792, -0.7903432846069336, 0.009573474526405334
160778, 0.0, 0.0, 81.48332977294922, 0.0, 0.0, -0.592041015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.023188263177871704, -0.7903108596801758, 0.008943319320678711
160788, 0.0, 0.0, 81.47362518310547, 0.0, 0.0, -0.970458984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.023165464401245117, -0.7903985977172852, 0.009197697043418884
