timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, laserFront
609190, 0.0, 0.0, -102.49015808105469, 0.0, 0.0, 0.759124755859375, 157453.15625, 144409.953125, 149381.3125, 181.0
609210, 0.0, 0.0, -102.4648666381836, 0.0, 0.0, 1.845550537109375, 157445.625, 144416.65625, 149384.421875, 181.0
609230, 0.0, 0.0, -102.43248748779297, 0.0, 0.0, 1.576995849609375, 157450.09375, 144410.625, 149380.109375, 181.0
609250, 0.0, 0.0, -102.4063491821289, 0.0, 0.0, 1.19476318359375, 157450.640625, 144409.515625, 149374.515625, 181.0
609270, 0.0, 0.0, -102.38208770751953, 0.0, 0.0, 1.35040283203125, 157453.703125, 144419.796875, 149373.296875, 176.0
609290, 0.0, 0.0, -102.35133361816406, 0.0, 0.0, 1.86004638671875, 157455.671875, 144414.875, 149370.1875, 176.0
609310, 0.0, 0.0, -102.32418060302734, 0.0, 0.0, 1.041412353515625, 157450.09375, 144414.875, 149378.265625, 176.0
609330, 0.0, 0.0, -102.31292724609375, 0.0, 0.0, 0.18768310546875, 157455.109375, 144416.890625, 149382.578125, 176.0
609350, 0.0, 0.0, -102.31245422363281, 0.0, 0.0, -0.121307373046875, 157447.578125, 144413.09375, 149386.90625, 176.0
609370, 0.0, 0.0, -102.31535339355469, 0.0, 0.0, -0.1800537109375, 157448.6875, 144413.765625, 149372.09375, 178.0
609390, 0.0, 0.0, -102.32609558105469, 0.0, 0.0, -0.911712646484375, 157453.15625, 144407.0625, 149380.109375, 178.0
609410, 0.0, 0.0, -102.33512115478516, 0.0, 0.0, -0.0823974609375, 157455.109375, 144413.09375, 149378.265625, 178.0
609430, 0.0, 0.0, -102.33817291259766, 0.0, 0.0, -0.231170654296875, 157445.625, 144418.015625, 149377.625, 178.0
609450, 0.0, 0.0, -102.34320831298828, 0.0, 0.0, -0.2960205078125, 157451.75, 144411.96875, 149385.0625, 178.0
609470, 0.0, 0.0, -102.3436279296875, 0.0, 0.0, 0.225067138671875, 157450.640625, 144419.796875, 149386.90625, 178.0
609490, 0.0, 0.0, -102.34525299072266, 0.0, 0.0, -0.36468505859375, 157448.6875, 144413.765625, 149375.78125, 178.0
609510, 0.0, 0.0, -102.3555908203125, 0.0, 0.0, -0.705718994140625, 157450.640625, 144411.75, 149377.0, 178.0
609530, 0.0, 0.0, -102.37284851074219, 0.0, 0.0, -1.09100341796875, 157448.140625, 144406.375, 149377.625, 178.0
609550, 0.0, 0.0, -102.39095306396484, 0.0, 0.0, -0.82855224609375, 157458.171875, 144415.546875, 149372.671875, 178.0
609570, 0.0, 0.0, -102.40020751953125, 0.0, 0.0, -0.179290771484375, 157458.171875, 144417.328125, 149377.0, 174.0
609590, 0.0, 0.0, -102.39070129394531, 0.0, 0.0, 1.11236572265625, 157458.171875, 144411.296875, 149380.109375, 174.0
609610, 0.0, 0.0, -102.37085723876953, 0.0, 0.0, 0.983428955078125, 157450.640625, 144419.125, 149371.453125, 174.0
609630, 0.0, 0.0, -102.36907958984375, 0.0, 0.0, -0.707244873046875, 157458.734375, 144413.09375, 149388.75, 174.0
609650, 0.0, 0.0, -102.38801574707031, 0.0, 0.0, -1.256561279296875, 157453.703125, 144407.0625, 149382.578125, 174.0
609670, 0.0, 0.0, -102.40485382080078, 0.0, 0.0, -0.553131103515625, 157451.203125, 144414.875, 149378.265625, 174.0
609690, 0.0, 0.0, -102.41185760498047, 0.0, 0.0, -0.202178955078125, 157458.171875, 144418.015625, 149373.296875, 174.0
609710, 0.0, 0.0, -102.42160034179688, 0.0, 0.0, -0.792694091796875, 157454.5625, 144410.625, 149375.15625, 174.0
609730, 0.0, 0.0, -102.43515014648438, 0.0, 0.0, -0.641632080078125, 157457.625, 144409.953125, 149385.0625, 174.0
609750, 0.0, 0.0, -102.44940185546875, 0.0, 0.0, -0.847625732421875, 157455.109375, 144412.421875, 149380.109375, 174.0
609770, 0.0, 0.0, -102.46280670166016, 0.0, 0.0, -0.577545166015625, 157456.21875, 144412.421875, 149378.265625, 178.0
609790, 0.0, 0.0, -102.47076416015625, 0.0, 0.0, -0.27618408203125, 157453.15625, 144425.390625, 149380.109375, 178.0
609810, 0.0, 0.0, -102.47549438476562, 0.0, 0.0, -0.22430419921875, 157452.609375, 144408.84375, 149375.78125, 178.0
609830, 0.0, 0.0, -102.47604370117188, 0.0, 0.0, 0.146484375, 157453.703125, 144412.421875, 149380.734375, 178.0
609850, 0.0, 0.0, -102.47736358642578, 0.0, 0.0, -0.26397705078125, 157456.765625, 144413.09375, 149370.828125, 178.0
609870, 0.0, 0.0, -102.48269653320312, 0.0, 0.0, -0.2960205078125, 157446.734375, 144414.875, 149382.578125, 179.0
609890, 0.0, 0.0, -102.48611450195312, 0.0, 0.0, -0.075531005859375, 157446.171875, 144417.328125, 149377.0, 179.0
609910, 0.0, 0.0, -102.48494720458984, 0.0, 0.0, 0.18463134765625, 157446.734375, 144413.765625, 149375.15625, 179.0
609930, 0.0, 0.0, -102.48233032226562, 0.0, 0.0, 0.095367431640625, 157453.15625, 144416.65625, 149381.3125, 179.0
609950, 0.0, 0.0, -102.4809799194336, 0.0, 0.0, 0.049591064453125, 157448.6875, 144416.21875, 149380.734375, 179.0
609970, 0.0, 0.0, -102.47138214111328, 0.0, 0.0, 0.914764404296875, 157454.5625, 144416.21875, 149387.53125, 178.0
609990, 0.0, 0.0, -102.45463562011719, 0.0, 0.0, 0.850677490234375, 157444.765625, 144413.765625, 149380.109375, 178.0
610010, 0.0, 0.0, -102.44364929199219, 0.0, 0.0, 0.333404541015625, 157462.640625, 144409.515625, 149380.734375, 178.0
610030, 0.0, 0.0, -102.44204711914062, 0.0, 0.0, -0.139617919921875, 157453.15625, 144415.546875, 149369.609375, 178.0
610050, 0.0, 0.0, -102.44635009765625, 0.0, 0.0, -0.304412841796875, 157460.140625, 144413.765625, 149375.15625, 178.0
610070, 0.0, 0.0, -102.46085357666016, 0.0, 0.0, -1.17645263671875, 157463.1875, 144407.5, 149380.109375, 174.0
610090, 0.0, 0.0, -102.47113037109375, 0.0, 0.0, 0.031280517578125, 157455.671875, 144415.546875, 149372.671875, 174.0
610110, 0.0, 0.0, -102.47087097167969, 0.0, 0.0, -0.002288818359375, 157450.640625, 144411.296875, 149389.390625, 174.0
610130, 0.0, 0.0, -102.47117614746094, 0.0, 0.0, -0.02899169921875, 157458.171875, 144410.625, 149380.109375, 174.0
610150, 0.0, 0.0, -102.47549438476562, 0.0, 0.0, -0.4058837890625, 157458.171875, 144413.09375, 149382.578125, 174.0
610170, 0.0, 0.0, -102.4870834350586, 0.0, 0.0, -0.79345703125, 157451.203125, 144418.015625, 149385.0625, 179.0
610190, 0.0, 0.0, -102.49436950683594, 0.0, 0.0, -0.014495849609375, 157448.140625, 144419.796875, 149378.890625, 179.0
610210, 0.0, 0.0, -102.49078369140625, 0.0, 0.0, 0.371551513671875, 157457.625, 144413.09375, 149378.265625, 179.0
610230, 0.0, 0.0, -102.47869110107422, 0.0, 0.0, 0.875091552734375, 157441.703125, 144411.296875, 149370.828125, 179.0
610250, 0.0, 0.0, -102.46318817138672, 0.0, 0.0, 0.762939453125, 157455.671875, 144422.921875, 149386.90625, 179.0
610270, 0.0, 0.0, -102.45697021484375, 0.0, 0.0, -0.064849853515625, 157459.578125, 144419.796875, 149384.421875, 176.0
610290, 0.0, 0.0, -102.4632797241211, 0.0, 0.0, -0.57220458984375, 157448.6875, 144417.328125, 149380.109375, 176.0
610310, 0.0, 0.0, -102.47087860107422, 0.0, 0.0, -0.244903564453125, 157463.75, 144411.96875, 149385.0625, 176.0
610330, 0.0, 0.0, -102.47042083740234, 0.0, 0.0, 0.266265869140625, 157453.15625, 144411.75, 149378.265625, 176.0
610350, 0.0, 0.0, -102.46669006347656, 0.0, 0.0, 0.133514404296875, 157458.171875, 144413.09375, 149381.953125, 176.0
610370, 0.0, 0.0, -102.46904754638672, 0.0, 0.0, -0.356292724609375, 157460.140625, 144414.875, 149391.859375, 175.0
610390, 0.0, 0.0, -102.47459411621094, 0.0, 0.0, -0.234222412109375, 157453.703125, 144418.453125, 149389.390625, 175.0
610410, 0.0, 0.0, -102.4780502319336, 0.0, 0.0, -0.135040283203125, 157453.15625, 144418.015625, 149390.65625, 175.0
