timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ
127014, 0.0005884668789803982, 8.874781608581543, -8.312074661254883, 0.6864715814590454, 10.185866355895996, -7.237247467041016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127024, 0.00751811359077692, 8.976993560791016, -8.384594917297363, 0.6963081359863281, 10.24399471282959, -7.284605979919434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127034, 0.014546695165336132, 9.079788208007812, -8.457589149475098, 0.7062411904335022, 10.30237865447998, -7.332261562347412, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127044, 0.021675022318959236, 9.183167457580566, -8.531061172485352, 0.716234564781189, 10.360941886901855, -7.3802361488342285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127054, 0.028903793543577194, 9.28713321685791, -8.605012893676758, 0.7263091802597046, 10.419443130493164, -7.4283366203308105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127064, 0.03623310849070549, 9.391683578491211, -8.67944622039795, 0.7363202571868896, 10.477947235107422, -7.476523399353027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127074, 0.04366256669163704, 9.496820449829102, -8.754362106323242, 0.7463213801383972, 10.536529541015625, -7.525073528289795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127084, 0.05119224265217781, 9.602542877197266, -8.829764366149902, 0.7563376426696777, 10.595027923583984, -7.573878765106201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127094, 0.05882320553064346, 9.708850860595703, -8.905654907226562, 0.7665560245513916, 10.653512001037598, -7.622844696044922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127104, 0.06655678898096085, 9.815744400024414, -8.982036590576172, 0.7768423557281494, 10.712130546569824, -7.67207670211792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
