timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserFront
73262, 0.0, 0.0, 57.27324295043945, 0.0, 0.0, 0.7785797119140625, 0, 0, 0, 0, 0, 0, 0, 0
73272, 0.0, 0.0, 57.26548767089844, 0.0, 0.0, -0.7755279541015625, 155876.09375, 152666.859375, 166419.53125, 0.0, 0.0, 0.0, 0.0, 120.0
73282, 0.0, 0.0, 57.258506774902344, 0.0, 0.0, -0.698089599609375, 155873.015625, 152667.46875, 166422.046875, 0.0, 0.0, 0.0, 0.0, 120.0
73292, 0.0, 0.0, 57.252769470214844, 0.0, 0.0, -0.57373046875, 155888.046875, 152667.46875, 166422.046875, 0.0, 0.0, 0.0, 0.0, 120.0
73302, 0.0, 0.0, 57.24760818481445, 0.0, 0.0, -0.5161285400390625, 155888.046875, 152671.234375, 166410.4375, 0.0, 0.0, 0.0, 0.0, 120.0
73312, 0.0, 0.0, 57.24296188354492, 0.0, 0.0, -0.464630126953125, 155885.546875, 152662.5, 166425.046875, 0.0, 0.0, 0.0, 0.0, 120.0
73322, 0.0, 0.0, 57.2387809753418, 0.0, 0.0, -0.4180908203125, 155874.15625, 152671.234375, 166410.4375, 0.0, 0.0, 0.0, 0.0, 120.0
73332, 0.0, 0.0, 57.23994064331055, 0.0, 0.0, 0.115966796875, 155876.09375, 152671.234375, 166414.984375, 0.0, 0.0, 0.0, 0.0, 120.0
73342, 0.0, 0.0, 57.24098205566406, 0.0, 0.0, 0.1041412353515625, 155882.46875, 152667.46875, 166425.046875, 0.0, 0.0, 0.0, 0.0, 120.0
73352, 0.0, 0.0, 57.24465560913086, 0.0, 0.0, 0.3673553466796875, 155878.03125, 152655.046875, 166411.390625, 0.0, 0.0, 0.0, 0.0, 120.0
73362, 0.0, 0.0, 57.24795913696289, 0.0, 0.0, 0.330352783203125, 155876.09375, 152661.890625, 166412.46875, 0.0, 0.0, 0.0, 0.0, 132.0
73372, 0.0, 0.0, 57.2569465637207, 0.0, 0.0, 0.89874267578125, 155871.65625, 152666.859375, 166410.4375, 0.0, 0.0, 0.0, 0.0, 132.0
73382, 0.0, 0.0, 57.265037536621094, 0.0, 0.0, 0.8090972900390625, 155865.5, 152673.109375, 166415.953125, 0.0, 0.0, 0.0, 0.0, 132.0
73392, 0.0, 0.0, 57.27122497558594, 0.0, 0.0, 0.618743896484375, 155866.640625, 152666.859375, 166420.015625, 0.0, 0.0, 0.0, 0.0, 132.0
73402, 0.0, 0.0, 57.27679443359375, 0.0, 0.0, 0.55694580078125, 155878.59375, 152661.890625, 166415.46875, 0.0, 0.0, 0.0, 0.0, 132.0
73412, 0.0, 0.0, 57.276885986328125, 0.0, 0.0, 0.0091552734375, 155877.46875, 152660.625, 166410.4375, 0.0, 0.0, 0.0, 0.0, 132.0
73422, 0.0, 0.0, 57.2769660949707, 0.0, 0.0, 0.0080108642578125, 155876.09375, 152663.765625, 166415.953125, 0.0, 0.0, 0.0, 0.0, 132.0
73432, 0.0, 0.0, 57.27485275268555, 0.0, 0.0, -0.211334228515625, 155869.140625, 152671.84375, 166419.53125, 0.0, 0.0, 0.0, 0.0, 132.0
73442, 0.0, 0.0, 57.27294921875, 0.0, 0.0, -0.1903533935546875, 155874.15625, 152671.84375, 166415.953125, 0.0, 0.0, 0.0, 0.0, 132.0
73452, 0.0, 0.0, 57.26850128173828, 0.0, 0.0, -0.444793701171875, 155879.96875, 152671.234375, 166412.46875, 0.0, 0.0, 0.0, 0.0, 132.0
73462, 0.0, 0.0, 57.26449966430664, 0.0, 0.0, -0.4001617431640625, 155876.09375, 152662.5, 166422.53125, 0.0, 0.0, 0.0, 0.0, 121.0
73472, 0.0, 0.0, 57.259803771972656, 0.0, 0.0, -0.4695892333984375, 155873.59375, 152672.5, 166415.953125, 0.0, 0.0, 0.0, 0.0, 121.0
73482, 0.0, 0.0, 57.255577087402344, 0.0, 0.0, -0.42266845703125, 155881.90625, 152673.71875, 166422.046875, 0.0, 0.0, 0.0, 0.0, 121.0
73492, 0.0, 0.0, 57.24958801269531, 0.0, 0.0, -0.598907470703125, 155882.46875, 152666.859375, 166412.46875, 0.0, 0.0, 0.0, 0.0, 121.0
73502, 0.0, 0.0, 57.244197845458984, 0.0, 0.0, -0.5390167236328125, 155877.46875, 152669.34375, 166408.40625, 0.0, 0.0, 0.0, 0.0, 121.0
