timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, laserHeight
258905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
258915, -0.04770982638001442, -1.2968206405639648, 0.007607816718518734, -0.0012561981566250324, -0.0003875461407005787, -0.00013053002476226538, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0477290153503418, -1.2968158721923828, 0.00756499171257019, 0.0
258925, -0.04777374863624573, -1.2968281507492065, 0.0075610061176121235, -0.0028599079232662916, -0.000946251442655921, -0.00030951350345276296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04782366752624512, -1.2968292236328125, 0.007389441132545471, 0.0
258935, -0.04778699949383736, -1.296829342842102, 0.007549235597252846, -0.0042709605768322945, -0.0013268854236230254, -0.00030997899011708796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04774343967437744, -1.296823501586914, 0.0077518075704574585, 0.0
258945, -0.047811608761548996, -1.296836256980896, 0.007588846143335104, -0.005320059601217508, -0.0017649481305852532, -0.000249032600549981, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0477641224861145, -1.2967872619628906, 0.00781257450580597, 0.0
258955, -0.047872766852378845, -1.2968541383743286, 0.007600113283842802, -0.0065003945492208, -0.0023066143039613962, -3.554442446329631e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04781383275985718, -1.2967967987060547, 0.007703378796577454, 0.0
258966, -0.047912389039993286, -1.2968742847442627, 0.0076043554581701756, -0.007013283669948578, -0.002806758275255561, 0.00012308346049394459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04786413908004761, -1.296731948852539, 0.007650583982467651, 0.0
258975, -0.04793678596615791, -1.2969001531600952, 0.007598890457302332, -0.007225822191685438, -0.003545771585777402, 0.00015530086238868535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.047736406326293945, -1.296722412109375, 0.00755174458026886, 0.0
258985, -0.04795512557029724, -1.2969272136688232, 0.007621598895639181, -0.007177349179983139, -0.004338957369327545, 0.00017576481332071126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.047683119773864746, -1.2967414855957031, 0.007775068283081055, 0.0
258995, -0.04802682623267174, -1.2969655990600586, 0.007702198810875416, -0.0074982233345508575, -0.004900917876511812, 0.00018702003580983728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04808664321899414, -1.2968215942382812, 0.008830323815345764, 0.0
259006, -0.04803764447569847, -1.2970165014266968, 0.00765469204634428, -0.00715962378308177, -0.0057052974589169025, 3.970407851738855e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04773169755935669, -1.2967891693115234, 0.00739268958568573, 0.0
