timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight, flowX, flowY, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
31652, 1.2610610723495483, -2.795736789703369, -0.023406626656651497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31663, 1.6239330768585205, -3.2318434715270996, -8.110031127929688, 0.08457835763692856, -0.2588443458080292, -0.188784658908844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, -1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31672, 1.9587124586105347, -3.55146861076355, -7.47161340713501, 0.01122769434005022, 0.11226348578929901, 0.056494180113077164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04753342270851135, -0.29664257168769836, 0.013463289476931095, 0.01959543116390705, -0.02928907796740532, -0.002119901590049267
31682, 2.210439682006836, -3.695063352584839, -7.4857177734375, -0.10544665902853012, 0.36458587646484375, -0.023999782279133797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 10.0, -4.0, 8.0, 0.0, 0.0, 0.0, -0.047035250812768936, -0.2965790331363678, 0.015315569005906582, 0.01625012792646885, -0.03335786983370781, 0.008755819872021675
31692, 2.297510862350464, -3.821622610092163, -7.454869270324707, 0.10856129229068756, 0.17543399333953857, -0.1364581137895584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.04685065895318985, -0.29677680134773254, 0.015521029941737652, 0.020494332537055016, -0.03724099323153496, 0.009901056997478008
31702, 2.4598426818847656, -3.9315481185913086, -7.413487911224365, -0.05173454433679581, 0.0861586406826973, -0.10732084512710571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, 3.0, -8.0, 0.0, 0.0, 0.0, -0.046498436480760574, -0.29732653498649597, 0.015596830286085606, 0.03042050078511238, -0.043253712356090546, 0.010556311346590519
31712, 2.441525459289551, -3.9506139755249023, -7.361953258514404, 0.10896476358175278, 0.05433255806565285, -0.07934150099754333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0462539866566658, -0.2976197898387909, 0.015779150649905205, 0.034286439418792725, -0.046569064259529114, 0.01162296999245882
31723, 2.476369619369507, -4.025057792663574, -7.311980724334717, 0.17189224064350128, -0.46180447936058044, 0.026146387681365013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.046160757541656494, -0.29795193672180176, 0.01597464829683304, 0.037971869111061096, -0.04932904988527298, 0.012715457007288933
31732, 2.5577430725097656, -4.133563041687012, -7.250200271606445, 0.21727822721004486, 0.05341089144349098, 0.030453288927674294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, 11.0, 0.0, 0.0, 0.0, 0.0, -0.04591932147741318, -0.29851338267326355, 0.013365404680371284, 0.040744174271821976, -0.06227891147136688, -0.0019043775973841548
31742, 2.5630075931549072, -4.113480567932129, -7.2789716720581055, 0.035461895167827606, 0.06966715306043625, 0.016584308817982674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 8.0, 4.0, 0.0, 0.0, 0.0, 0.0, -0.04593835398554802, -0.29895254969596863, 0.01352505199611187, 0.04018919914960861, -0.06542805582284927, -0.00023216170666273683
31752, 2.5485446453094482, -4.102538585662842, -7.2891621589660645, -0.10944363474845886, 0.048020027577877045, 0.08878903836011887, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 8.0, -13.0, 4.0, 0.0, 0.0, 0.0, -0.045857783406972885, -0.2986606955528259, 0.0139436274766922, 0.03598294034600258, -0.05045872554183006, 0.0022878372110426426
31763, 2.601041078567505, -4.111694812774658, -7.2911763191223145, -0.07665708661079407, -0.01804284006357193, -0.08740805834531784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 8.0, -4.0, 7.0, 0.0, 0.0, 0.0, -0.04606827720999718, -0.29859480261802673, 0.014328302815556526, 0.029266297817230225, -0.046910855919122696, 0.004527525510638952
31772, 2.5789873600006104, -4.167022705078125, -7.2385172843933105, -0.13509702682495117, -0.01650485210120678, 0.10019754618406296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 8.0, -2.0, -4.0, 0.0, 0.0, 0.0, -0.045699089765548706, -0.2986287772655487, 0.014536712318658829, 0.035068199038505554, -0.04408762976527214, 0.005962084047496319
31782, 2.6160519123077393, -4.161533832550049, -7.250739097595215, 0.03225075453519821, -0.04325130209326744, 0.026927359402179718, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 18.0, -1.0, -3.0, 0.0, 0.0, 0.0, -0.04540981724858284, -0.29880085587501526, 0.015881234779953957, 0.038468725979328156, -0.04362265765666962, 0.01420644111931324
