timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, pitch, laserFront
39151, 0.23572559654712677, -0.2775992155075073, 1.3698207139968872, 0.0035929882433265448, 0.0007786836940795183, -0.015921831130981445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39171, 0.23603953421115875, -0.27778998017311096, 1.3695085048675537, 0.004007959272712469, 0.000529365730471909, -0.016658348962664604, 82895.359375, 113500.1484375, 76137.5703125, 47171.40625, 130967.2109375, 128809.125, 41102.0, 45805.0, 47678.0, 46496.0, 5.801131725311279, 0.10931029170751572, 916.0
39191, 0.23636989295482635, -0.2780030071735382, 1.3692402839660645, 0.004543817602097988, 0.0002336474135518074, -0.013392820954322815, 82895.359375, 113498.71875, 76130.546875, 47170.515625, 130974.984375, 128812.34375, 41773.0, 44699.0, 47201.0, 47514.0, 5.778830528259277, -0.03741704300045967, 916.0
39211, 0.23666971921920776, -0.27816784381866455, 1.3689826726913452, 0.00560655677691102, 0.00021265153191052377, -0.013754921965301037, 82890.6171875, 113502.296875, 76128.7890625, 47169.10546875, 130965.578125, 128808.4921875, 43755.0, 43892.0, 45215.0, 48193.0, 5.770813941955566, -0.20660129189491272, 916.0
39232, 0.23716379702091217, -0.2784525156021118, 1.3688554763793945, 0.00866185873746872, 0.000146564663737081, -0.010301549918949604, 82889.796875, 113503.0234375, 76128.7890625, 47165.69921875, 130973.9765625, 128819.71875, 45793.0, 42174.0, 42854.0, 49568.0, 5.750535011291504, -0.6516911387443542, 914.0
39251, 0.23761186003684998, -0.27862313389778137, 1.3687186241149902, 0.013228232972323895, 0.00026678305584937334, -0.010759067721664906, 82890.8359375, 113494.4140625, 76133.921875, 47167.32421875, 130976.234375, 128806.2421875, 45611.0, 42044.0, 43048.0, 49433.0, 5.737179279327393, -1.248887062072754, 914.0
39272, 0.23820888996124268, -0.27878105640411377, 1.3686275482177734, 0.020354030653834343, 0.0005800836370326579, -0.008991862647235394, 82891.6484375, 113502.296875, 76123.375, 47167.48046875, 130989.15625, 128809.125, 45915.0, 41480.0, 42751.0, 49679.0, 5.715885639190674, -1.9051697254180908, 914.0
39291, 0.23905053734779358, -0.27896907925605774, 1.368599534034729, 0.029559768736362457, 0.0010748887434601784, -0.01078416220843792, 82891.4296875, 113495.84375, 76128.6484375, 47168.73828125, 130998.1875, 128810.734375, 45337.0, 41808.0, 43275.0, 49510.0, 5.7010416984558105, -2.501085042953491, 919.0
39311, 0.2401081621646881, -0.2791191339492798, 1.368558645248413, 0.04068778455257416, 0.0019476868910714984, -0.009531502611935139, 82890.6171875, 113496.5703125, 76127.8359375, 47163.91796875, 130975.609375, 128812.984375, 45060.0, 41984.0, 43579.0, 49439.0, 5.683765411376953, -2.974419593811035, 919.0
39332, 0.24129271507263184, -0.27923858165740967, 1.3684933185577393, 0.05263878032565117, 0.0028546315152198076, -0.009643681347370148, 82886.90625, 113508.7578125, 76126.0859375, 47166.22265625, 130961.6875, 128810.734375, 45299.0, 42705.0, 42785.0, 49188.0, 5.6619486808776855, -3.3227195739746094, 919.0
