timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, pitch, laserFront
2423886, 0.3078192174434662, -0.388188898563385, 1.373942494392395, 0.01852094940841198, -0.025528941303491592, -0.015715910121798515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2423907, 0.3086063861846924, -0.3892737329006195, 1.3736202716827393, 0.01800333335995674, -0.024856936186552048, -0.016400866210460663, 75738.9765625, 102323.5078125, 76614.4765625, 46623.6484375, 127227.1796875, 122883.8046875, 37734.0, 43166.0, 43385.0, 43664.0, 4.453952312469482, 0.5524446368217468, 846.0
2423926, 0.30950844287872314, -0.3905315697193146, 1.3733549118041992, 0.018453694880008698, -0.02500297501683235, -0.014302940107882023, 75745.1796875, 102318.609375, 76620.7421875, 46621.921875, 127220.125, 122879.8125, 38434.0, 42131.0, 42676.0, 44501.0, 4.4553608894348145, 0.43411335349082947, 846.0
2423946, 0.31042006611824036, -0.39180928468704224, 1.373130440711975, 0.01978296972811222, -0.02505013346672058, -0.012673032470047474, 75744.234375, 102312.3984375, 76607.5703125, 46620.55078125, 127245.7578125, 122877.59375, 40433.0, 41552.0, 40678.0, 45074.0, 4.451539039611816, 0.1285495012998581, 846.0
2423966, 0.3112896978855133, -0.39290109276771545, 1.3729606866836548, 0.022320011630654335, -0.02402449958026409, -0.010557428933680058, 75746.9375, 102321.984375, 76602.109375, 46623.6484375, 127249.28125, 122883.578125, 40178.0, 40705.0, 40692.0, 45537.0, 4.444949626922607, -0.40887632966041565, 843.0
2423986, 0.3122258484363556, -0.3939662575721741, 1.3728047609329224, 0.026910891756415367, -0.02318853698670864, -0.011736150830984116, 75749.4921875, 102317.3046875, 76610.140625, 46621.77734375, 127248.640625, 122882.9140625, 40722.0, 40604.0, 40174.0, 45559.0, 4.428988933563232, -1.0148515701293945, 843.0
2424007, 0.3136202096939087, -0.3953707218170166, 1.3726789951324463, 0.035124003887176514, -0.023535601794719696, -0.009243865497410297, 75753.9453125, 102324.8125, 76601.3046875, 46621.77734375, 127249.28125, 122890.234375, 40759.0, 40697.0, 40168.0, 45498.0, 4.424752235412598, -1.6400866508483887, 843.0
2424026, 0.31492260098457336, -0.39642566442489624, 1.372544765472412, 0.044366203248500824, -0.022535227239131927, -0.011397120542824268, 75746.7890625, 102321.4453125, 76599.375, 46621.921875, 127248.640625, 122888.6796875, 41437.0, 39677.0, 39347.0, 46252.0, 4.4204206466674805, -2.2629168033599854, 837.0
2424047, 0.31639161705970764, -0.3974529504776001, 1.3723888397216797, 0.055204324424266815, -0.021537229418754578, -0.011335835792124271, 75751.2421875, 102325.578125, 76595.84375, 46623.2890625, 127243.515625, 122894.0, 41763.0, 39190.0, 39353.0, 46394.0, 4.422860622406006, -2.7652885913848877, 837.0
2424066, 0.3182965815067291, -0.39871740341186523, 1.3722906112670898, 0.06827200949192047, -0.02135753072798252, -0.01091119647026062, 75752.8515625, 102323.5078125, 76597.609375, 46627.46875, 127219.484375, 122900.65625, 41720.0, 40325.0, 39163.0, 45672.0, 4.435222148895264, -3.1599228382110596, 837.0
