whisker1_1,whisker1_2,whisker1_3,whisker2_1,whisker2_2,whisker2_3,Laser1,Laser2,laser,yaw,pitch,positionX,positionY,positionZ,velocityX,velocityY,velocityZ,GT,GT1,GT2
72.86978330472918,-22.386857694511722,-7.230013038265535,-6.066768283086592,342.45994389341035,-155.89623641695073,54.85408506527881,69.14591493472119,156.0,15.951874732971191,0.5420979261398315,0.998945951461792,-0.9273881912231444,1.3086938858032229,-0.1866544038057327,-0.0586641505360603,-0.0240712724626064,171.6446218010011,39.2094632642777,53.50129313372008
71.99278346978723,-21.583316795443682,-4.968109768683196,-6.8618119713417265,337.00233737894536,-153.1970456181971,44.17566135315283,57.82433864684717,167.0,15.268251419067385,0.3830288648605346,0.9968562126159668,-0.9278528690338136,1.3085280656814575,-0.1876368969678878,-0.0582109615206718,-0.023652222007513,173.20431997547064,37.971341377682194,51.62001867137653
70.83421891944894,-21.035839281846755,-2.8789634548548375,-7.66889073328963,330.7595874795544,-150.49738836302166,44.52825458041201,57.47174541958799,167.0,14.513545036315918,0.1783146113157272,0.9931848645210266,-0.9287737607955932,1.308244705200195,-0.1881973594427108,-0.0579291358590126,-0.0236270185559988,176.34494118063859,35.183313399773425,48.126804238949404
69.74963733864794,-20.190370053123246,-1.845146023484891,-8.42701065850983,323.733705751087,-147.799330881593,44.872414454634225,57.127585545365775,167.0,13.771890640258787,-0.0117942607030272,0.9894835948944092,-0.9297713041305542,1.3079328536987305,-0.1880769729614257,-0.0580130852758884,-0.0207497328519821,179.53858015249696,32.33383430213726,44.58900539286881
68.88085239041835,-19.323454087773765,-0.5505326514058948,-8.851241755416847,316.77997852554097,-145.01439107920763,38.24146543681832,49.75853456318168,174.0,12.97134017944336,-0.188028946518898,0.985609769821167,-0.9308220148086548,1.3076553344726562,-0.1873664259910583,-0.058073703199625,-0.0200601574033498,182.87739173291172,29.364073703906598,40.881142830269965
68.19271953390869,-18.518338113747156,0.5326195800461837,-9.17210846548874,309.9866498996296,-142.53376420000748,38.598476593295516,49.401523406704484,174.0,12.19196891784668,-0.3427183032035827,0.9820606708526612,-0.9318237900733948,1.3073980808258057,-0.1855898201465606,-0.0579802021384239,-0.0165695361793041,185.91931891145785,26.679157681837665,37.482204495246634
67.57374187599338,-17.4069557502036,-0.16702234969055874,-9.517336087335005,302.1071383344528,-140.3791677869333,38.95788263778343,49.04211736221657,174.0,11.402715682983398,-0.4792760610580444,0.97856205701828,-0.9328118562698364,1.3072658777236938,-0.183401346206665,-0.0579387843608856,-0.0139621058478951,188.92403455681423,24.033848080969193,34.11808280540234
66.335921702897,-16.38637438417194,-0.023045273481008766,-9.787217470916328,293.2341383308104,-137.4136064022899,37.336295016641145,46.663704983358855,176.0,10.566964149475098,-0.6060342788696289,0.9749743938446044,-0.9339210391044616,1.3070882558822632,-0.1803885102272033,-0.0580911189317703,-0.01334192417562,192.0115473556928,21.324747660948333,30.652157627666043
64.80329690400822,-15.042683553418474,2.0751013084062913,-9.981237921289873,283.9026421392938,-134.20038794806965,37.6983779368332,46.3016220631668,176.0,9.762991905212402,-0.7076245546340942,0.971651017665863,-0.9349806904792786,1.3069143295288086,-0.1770187616348266,-0.0581518225371837,-0.0107735767960548,194.87932583163868,18.819052105194515,27.422296231528122
63.67902430678491,-13.577213622786417,3.174886714260718,-10.116839916414525,275.1158735686323,-131.18528532721453,38.05745290814477,45.94254709185523,176.0,8.961845397949219,-0.7792645692825317,0.968412697315216,-0.9360702633857728,1.306828498840332,-0.1734316647052765,-0.0581901594996452,-0.0080393701791763,197.69102019367278,16.366432714471983,24.251526898182448
62.51477824696201,-12.20612656004375,2.98365735478243,-10.160860800383416,266.184108747233,-128.29401499268187,25.417428599104255,32.582571400895745,189.0,8.15512752532959,-0.8304868936538696,0.9652990698814392,-0.9371698498725892,1.3067570924758911,-0.1694536060094833,-0.0581647716462612,-0.0065843798220157,200.40453854260932,14.012890056494939,21.17803285828643
61.01635695114554,-10.87882853724848,3.431854383333341,-10.06632412967344,256.05892916175196,-125.69539556851441,25.773139749410603,32.2268602505894,189.0,7.35475492477417,-0.8542934656143188,0.9622382521629332,-0.93827486038208,1.3066740036010742,-0.1654260754585266,-0.0580061040818691,-0.0043512186966836,203.1005738955839,11.672565853826711,18.126286355005504
59.99442228783247,-9.792705276637214,4.599459976795011,-9.954660859349993,246.20767743260336,-122.72616073906867,26.124788767518993,31.875211232481007,189.0,6.56067419052124,-0.8642119765281677,0.9593132138252258,-0.9394297003746032,1.306623458862305,-0.1612550467252731,-0.0580047406256198,-0.002965536667034,205.69595163072785,9.428837136791145,15.17925960175316
58.865567041610134,-8.639850959293957,5.466521617354393,-10.003667929147117,236.29753644118526,-118.92456518087377,25.472578739907107,30.527421260092893,190.0,5.772809028625488,-0.8490625619888306,0.9564971923828124,-0.9405784010887146,1.306568264961243,-0.1569315493106842,-0.0578829869627952,-0.0024043335579335,208.21936609094416,7.253212648962943,12.30805516914873
57.22812823912362,-7.508832867070747,6.31035701390329,-10.18615657616144,225.29137166836335,-114.67676580666343,25.8249705968214,30.1750294031786,190.0,4.972280025482178,-0.8105777502059937,0.953815460205078,-0.941740334033966,1.3064676523208618,-0.1526108086109161,-0.0577639378607273,-0.0032856916077435,210.6405692995152,5.184401297306209,9.534460103663406
55.19839944094191,-6.2359070426393535,6.439079680016611,-10.291329184496115,213.2298094716545,-110.97508099454595,17.17503544252679,20.82496455747321,199.0,4.175105094909668,-0.7676326036453247,0.9510512351989746,-0.943015456199646,1.3062899112701416,-0.1484091281890869,-0.0577987879514694,-0.0073243854567408,213.1829052600236,2.992130182503189,6.642059297449606
53.19088387187898,-5.201486814110065,6.375124033493841,-10.25998149075374,201.3832398665607,-107.29104629891489,17.53715602710949,20.46284397289051,199.0,3.348773002624512,-0.7038323283195496,0.9485787749290466,-0.9442415833473206,1.3060585260391235,-0.1442447155714035,-0.0577885322272777,-0.0086949048563838,215.46867956037013,1.0684764667393551,3.9941644125203766
51.34290839910445,-4.258291425335627,7.078213455734737,-10.31195222407455,189.79176170970533,-102.86678053060062,17.877370472050785,20.122629527949215,199.0,2.571150064468384,-0.6486479043960571,0.9461107850074768,-0.9454509019851683,1.3057961463928225,-0.1405688226222992,-0.0575907714664936,-0.0104028722271323,217.80151108614876,0.0,1.3211184418004507
