timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
268118, -0.23867909610271454, -0.13340047001838684, 0.021804675459861755, 0.15157794952392578, -0.06515638530254364, -0.0008392392774112523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
268136, -0.23668886721134186, -0.13407713174819946, 0.021798286586999893, 0.15508773922920227, -0.053827784955501556, -0.00045065043377690017, 158083.609375, 132977.625, 158204.15625, 0.0, 0.0, 0.0, 0.0, -0.23912334442138672, -0.13321232795715332, 0.021941572427749634, -0.02424066700041294, 75.0
268156, -0.23515120148658752, -0.13430462777614594, 0.021795842796564102, 0.153566375374794, -0.041179802268743515, -0.0001989973388845101, 158083.609375, 132970.125, 158200.25, 0.0, 0.0, 0.0, 0.0, -0.2390737533569336, -0.13319659233093262, 0.02181875705718994, -0.036954160779714584, 75.0
268176, -0.23363131284713745, -0.13442735373973846, 0.02180413343012333, 0.14753468334674835, -0.03147828206419945, -0.0002077820390695706, 158083.609375, 132977.625, 158204.15625, 0.0, 0.0, 0.0, 0.0, -0.23915624618530273, -0.13334274291992188, 0.021970897912979126, -0.04755552113056183, 75.0
268196, -0.2330787628889084, -0.1341465562582016, 0.021813631057739258, 0.13271695375442505, -0.019396962597966194, -8.459411765215918e-05, 158089.4375, 132975.34375, 158206.09375, 0.0, 0.0, 0.0, 0.0, -0.23909807205200195, -0.1331486701965332, 0.021747201681137085, -0.06035063415765762, 75.0
268216, -0.23315675556659698, -0.13385142385959625, 0.021819645538926125, 0.11208249628543854, -0.010989299975335598, -0.0003398423723410815, 158089.4375, 132980.9375, 158204.15625, 0.0, 0.0, 0.0, 0.0, -0.23906421661376953, -0.13316941261291504, 0.021866321563720703, -0.06844949722290039, 75.0
268236, -0.23221085965633392, -0.1337801218032837, 0.02181221917271614, 0.1042741909623146, -0.0075414786115288734, -0.00040825130417943, 158083.609375, 132979.28125, 158206.09375, 0.0, 0.0, 0.0, 0.0, -0.23905420303344727, -0.13324403762817383, 0.02195116877555847, -0.07419152557849884, 75.0
268256, -0.233449324965477, -0.13339488208293915, 0.021829010918736458, 0.0800229087471962, -0.001418059691786766, -0.0004673289367929101, 158083.609375, 132981.578125, 158204.15625, 0.0, 0.0, 0.0, 0.0, -0.2391071319580078, -0.1333470344543457, 0.021927863359451294, -0.07791513204574585, 75.0
268276, -0.23351718485355377, -0.1332048773765564, 0.021814215928316116, 0.06955745816230774, 0.0010192657355219126, -0.0006440402357839048, 158087.5, 132986.15625, 158204.15625, 0.0, 0.0, 0.0, 0.0, -0.23900794982910156, -0.13317418098449707, 0.021814733743667603, -0.08717455714941025, 74.0
268296, -0.23357810080051422, -0.13304226100444794, 0.02179795131087303, 0.06147489324212074, 0.002420743927359581, -0.0004075582546647638, 158085.546875, 132978.65625, 158202.203125, 0.0, 0.0, 0.0, 0.0, -0.23912668228149414, -0.13327312469482422, 0.021954506635665894, -0.09240299463272095, 74.0
