timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
100955, 0.0, 0.0, 60.68574142456055, 0.0, 0.0, -0.2590179443359375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100975, 0.0, 0.0, 60.67802810668945, 0.0, 0.0, -0.537872314453125, 157701.71875, 147164.546875, 154248.859375, 0.0, 0.0, 0.0, 0.0, -0.18049263954162598, -0.08381986618041992, 0.019444018602371216, -18.920608520507812, 32766.0
100995, 0.0, 0.0, 60.66664123535156, 0.0, 0.0, -0.65460205078125, 157707.296875, 147169.328125, 154236.40625, 0.0, 0.0, 0.0, 0.0, -0.18064618110656738, -0.08360064029693604, 0.018906116485595703, -18.925861358642578, 32766.0
101015, 0.0, 0.0, 60.660369873046875, 0.0, 0.0, -0.03814697265625, 157701.71875, 147174.265625, 154255.734375, 0.0, 0.0, 0.0, 0.0, -0.1805715560913086, -0.08354270458221436, 0.01843738555908203, -18.92880630493164, 32766.0
101035, 0.0, 0.0, 60.65370559692383, 0.0, 0.0, -0.6320953369140625, 157695.3125, 147173.609375, 154251.34375, 0.0, 0.0, 0.0, 0.0, -0.180586576461792, -0.08389675617218018, 0.01955246925354004, -18.9315185546875, 32766.0
101055, 0.0, 0.0, 60.63906478881836, 0.0, 0.0, -0.894927978515625, 157707.296875, 147171.140625, 154250.75, 0.0, 0.0, 0.0, 0.0, -0.1806795597076416, -0.08356285095214844, 0.018554776906967163, -18.935258865356445, 32766.0
101075, 0.0, 0.0, 60.62157440185547, 0.0, 0.0, -0.943756103515625, 157697.8125, 147166.859375, 154257.03125, 0.0, 0.0, 0.0, 0.0, -0.1806318759918213, -0.08353352546691895, 0.018697619438171387, -18.94040870666504, 32766.0
101095, 0.0, 0.0, 60.612003326416016, 0.0, 0.0, -0.1079559326171875, 157703.390625, 147167.515625, 154248.859375, 0.0, 0.0, 0.0, 0.0, -0.1806037425994873, -0.08386969566345215, 0.019509494304656982, -18.94379997253418, 32766.0
101115, 0.0, 0.0, 60.61835479736328, 0.0, 0.0, 0.732421875, 157697.265625, 147162.578125, 154240.09375, 0.0, 0.0, 0.0, 0.0, -0.180558443069458, -0.08356249332427979, 0.018605172634124756, -18.94805908203125, 32766.0
101135, 0.0, 0.0, 60.629241943359375, 0.0, 0.0, 0.429534912109375, 157694.75, 147158.296875, 154248.859375, 0.0, 0.0, 0.0, 0.0, -0.18052172660827637, -0.0836799144744873, 0.01831933856010437, -18.949954986572266, 32766.0
101155, 0.0, 0.0, 60.63603591918945, 0.0, 0.0, 0.29296875, 157709.796875, 147165.046875, 154241.390625, 0.0, 0.0, 0.0, 0.0, -0.18058347702026367, -0.08369386196136475, 0.018944144248962402, -18.9537410736084, 32766.0
101175, 0.0, 0.0, 60.646514892578125, 0.0, 0.0, 0.7843017578125, 157705.34375, 147163.234375, 154241.984375, 0.0, 0.0, 0.0, 0.0, -0.1806926727294922, -0.08389723300933838, 0.019566982984542847, -18.957048416137695, 32766.0
101195, 0.0, 0.0, 60.663204193115234, 0.0, 0.0, 0.9632110595703125, 157702.28125, 147167.515625, 154236.40625, 0.0, 0.0, 0.0, 0.0, -0.18062782287597656, -0.08380687236785889, 0.019262462854385376, -18.962371826171875, 32766.0
101215, 0.0, 0.0, 60.677490234375, 0.0, 0.0, 0.5615234375, 157704.234375, 147168.671875, 154248.859375, 0.0, 0.0, 0.0, 0.0, -0.18066072463989258, -0.08362209796905518, 0.019190967082977295, -18.964494705200195, 32766.0
101235, 0.0, 0.0, 60.68545150756836, 0.0, 0.0, 0.290679931640625, 157702.28125, 147150.90625, 154238.3125, 0.0, 0.0, 0.0, 0.0, -0.18071651458740234, -0.08367633819580078, 0.019152551889419556, -18.969152450561523, 32766.0
101255, 0.0, 0.0, 60.690425872802734, 0.0, 0.0, 0.235748291015625, 157704.78125, 147155.828125, 154246.375, 0.0, 0.0, 0.0, 0.0, -0.18053555488586426, -0.08378207683563232, 0.01892542839050293, -18.97101593017578, 32766.0
