timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
35721, 0.0, 0.0, 65.65674591064453, 0.0, 0.0, 0.70648193359375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35741, 0.0, 0.0, 65.6710205078125, 0.0, 0.0, 0.791168212890625, 155445.921875, 141867.5, 150201.671875, 0.0, 0.0, 0.0, 0.0, -0.2422776222229004, -0.045050084590911865, 0.022745132446289062, -1.510077953338623, 119.0
35761, 0.0, 0.0, 65.67142486572266, 0.0, 0.0, -0.67138671875, 155442.046875, 141874.84375, 150198.5625, 0.0, 0.0, 0.0, 0.0, -0.24239635467529297, -0.044768691062927246, 0.022423893213272095, -1.5122119188308716, 93.0
35781, 0.0, 0.0, 65.65611267089844, 0.0, 0.0, -0.926971435546875, 155451.5, 141879.75, 150194.234375, 0.0, 0.0, 0.0, 0.0, -0.24224853515625, -0.04480642080307007, 0.02245539426803589, -1.5129531621932983, 93.0
35801, 0.0, 0.0, 65.64846801757812, 0.0, 0.0, 0.069427490234375, 155440.109375, 141879.75, 150203.53125, 0.0, 0.0, 0.0, 0.0, -0.24229907989501953, -0.04477965831756592, 0.022264957427978516, -1.5145405530929565, 93.0
35821, 0.0, 0.0, 65.65840911865234, 0.0, 0.0, 0.931549072265625, 155437.59375, 141871.703125, 150194.234375, 0.0, 0.0, 0.0, 0.0, -0.24221372604370117, -0.04506164789199829, 0.02227422595024109, -1.5155556201934814, 93.0
35841, 0.0, 0.0, 65.67269897460938, 0.0, 0.0, 0.59051513671875, 155444.546875, 141873.09375, 150201.046875, 0.0, 0.0, 0.0, 0.0, -0.24231386184692383, -0.04484283924102783, 0.022526651620864868, -1.5166661739349365, 93.0
35861, 0.0, 0.0, 65.67623138427734, 0.0, 0.0, -0.177764892578125, 155440.671875, 141870.640625, 150194.859375, 0.0, 0.0, 0.0, 0.0, -0.24226093292236328, -0.04499053955078125, 0.02301010489463806, -1.5207158327102661, 118.0
35881, 0.0, 0.0, 65.67045593261719, 0.0, 0.0, -0.417327880859375, 155451.5, 141879.0625, 150196.09375, 0.0, 0.0, 0.0, 0.0, -0.2422466278076172, -0.04485905170440674, 0.022760480642318726, -1.5232218503952026, 118.0
35901, 0.0, 0.0, 65.66604614257812, 0.0, 0.0, -0.064849853515625, 155443.984375, 141874.15625, 150203.53125, 0.0, 0.0, 0.0, 0.0, -0.24226617813110352, -0.04479426145553589, 0.022600889205932617, -1.5256661176681519, 118.0
35921, 0.0, 0.0, 65.65509033203125, 0.0, 0.0, -1.036834716796875, 155446.484375, 141868.1875, 150199.1875, 0.0, 0.0, 0.0, 0.0, -0.24223899841308594, -0.04482191801071167, 0.022438347339630127, -1.525517225265503, 118.0
35941, 0.0, 0.0, 65.6368179321289, 0.0, 0.0, -0.8941650390625, 155443.984375, 141874.15625, 150207.875, 0.0, 0.0, 0.0, 0.0, -0.24233531951904297, -0.04479038715362549, 0.022846341133117676, -1.5286155939102173, 118.0
35961, 0.0, 0.0, 65.62261962890625, 0.0, 0.0, -0.61492919921875, 155452.640625, 141871.328125, 150207.875, 0.0, 0.0, 0.0, 0.0, -0.24229001998901367, -0.04497087001800537, 0.02270364761352539, -1.5299861431121826, 94.0
35981, 0.0, 0.0, 65.6142807006836, 0.0, 0.0, -0.279998779296875, 155454.0, 141879.75, 150210.359375, 0.0, 0.0, 0.0, 0.0, -0.2422022819519043, -0.04479408264160156, 0.02265492081642151, -1.53205144405365, 94.0
36001, 0.0, 0.0, 65.61058807373047, 0.0, 0.0, -0.11749267578125, 155452.0625, 141868.875, 150199.1875, 0.0, 0.0, 0.0, 0.0, -0.24226140975952148, -0.04500693082809448, 0.022685348987579346, -1.5333819389343262, 94.0
36021, 0.0, 0.0, 65.609130859375, 0.0, 0.0, -0.040435791015625, 155442.609375, 141872.390625, 150203.53125, 0.0, 0.0, 0.0, 0.0, -0.24228239059448242, -0.04479634761810303, 0.022457271814346313, -1.5343539714813232, 94.0
